char	root1	band1	gloss1	root2	band2	gloss2
粟	panic	basic	【料】キビ団子	mili	pejvo	{Ｏ}【植】雑穀（アワ，キビ，ヒエ，モロコシなど）,>>setario,>>panico,>>ekinoklo,>>sorgo;=>mileo（キビ）
案	projekt	basic	［他］計画する,企画する,立案する	pupitr	pejvo	{Ｏ}（傾斜した）見台,書見台,記帳台,立ち机;【楽】譜面台
杏	anzu	piv	【植】【PIV】1 Var. (Vari(aj^)o) de abrikotarbo (Prunus armeniaca var. (vari(aj^)o) ansu) el E 	abrikot	basic	アンズの
胃	gastr	sci	【医】【PIV】Stomako (en kunmetaj^oj).	stomak	basic	胃の
引	gravit	pejvo	重力の	cit	basic	{Ｂ}［他］引用する;（名前や例を）挙げる,引き合いに出す
淫	porn	pejvo	［略］=pornografio（ポルノグラフィー）	obscen	pejvo	わいせつな,みだらな,>>malc^asta,>>maldeca
羽	volan	pejvo	【運】（バドミントンの）羽根,シャトル	plum	basic	羽根の,羽根のような
疫	epidemi	basic	【病】流行性の;流行病の;《転》伝染性の,流行性の	pest	pejvo	ペストの;《転》悪疫の,有害な
益	benefic	pejvo	慈善興行;【法】（法律で認められた）特典,特権	util	basic	{Ｂ}有用な,有益な,役に立つ;便利な,実用的な
悦	plac^		感じの良い,気持ちのよい	delekt	piv	【PIV】(tr (transitiva)) Tre plezurigi: la pas^tisto pri l' ondaro sin delektis kun admiro .
越	ju	pejvo	(語釈なし)	trans	prep	向こうの,向こう側の;【情】遠隔の,リモートの
宴	festen	basic	{Ｂ}［自］ごちそうを食べる;宴会に参加する;祝宴を催す	banked	pejvo	［自］宴会に参加する;会食する
炎	katar	basic	【医】カタル性の	inflam	sci	［自］炎症を起こしている
横	transvers	pejvo	横の,横線状の,横断の,>>lau^larg^a,><lau^longa	horizontal	basic	{Ｂ}水平の,横の,>>vertikala
王	rag^	pejvo	ラージャ（インドの王・王族の称号）	reg^		王の,国王の;王立の
黄	flav	basic	{Ｂ}黄色い,黄色の	flavin	piv	【化】【PIV】Rug^flava hetero-kvarcikla aromata ketono, C 10 H 6 N 4 O 2.
加	adici	basic	{Ｂ}［他］【数】加える,足し算する,>>aldoni	plus	func	超過,余剰
寡	vidv	basic	配偶者を失った,やもめの	oligo	piv	(語釈なし)
蚊	kul	pejvo	{Ｏ}【虫】カ（蚊）;（特に）イエカ（属）,>>moskito	moskit	basic	{Ｂ}《般》【虫】蚊（か）,>>kulo
我	mi	func	私の,僕の,あたしの	atm	piv	【哲】【PIV】Koncepto de persona memo en la hinda filozofio, pritraktata de la Upanis^adoj.
快	alegr	pejvo	【楽】（速度標語）速く,快速に	agrabl	basic	{Ｂ}快い,心地よい,気持ちのよい
