char	root1	gloss1	root2	gloss2
粟	panic	【料】キビ団子	mili	{Ｏ}【植】雑穀（アワ，キビ，ヒエ，モロコシなど）,>>setario,>>pa
案	projekt	［他］計画する,企画する,立案する	pupitr	{Ｏ}（傾斜した）見台,書見台,記帳台,立ち机;【楽】譜面台
杏	anzu	【植】【PIV】1 Var. (Vari(aj^)o) de abrikotar	abrikot	アンズの
胃	gastr	【医】【PIV】Stomako (en kunmetaj^oj).	stomak	胃の
引	gravit	重力の	cit	{Ｂ}［他］引用する;（名前や例を）挙げる,引き合いに出す
淫	porn	［略］=pornografio（ポルノグラフィー）	obscen	わいせつな,みだらな,>>malc^asta,>>maldeca
羽	volan	【運】（バドミントンの）羽根,シャトル	plum	羽根の,羽根のような
疫	epidemi	【病】流行性の;流行病の;《転》伝染性の,流行性の	pest	ペストの;《転》悪疫の,有害な
益	benefic	慈善興行;【法】（法律で認められた）特典,特権	util	{Ｂ}有用な,有益な,役に立つ;便利な,実用的な
悦	plac^	感じの良い,気持ちのよい	delekt	【PIV】(tr (transitiva)) Tre plezurigi: la
越	ju	(語釈なし)	trans	向こうの,向こう側の;【情】遠隔の,リモートの
宴	festen	{Ｂ}［自］ごちそうを食べる;宴会に参加する;祝宴を催す	banked	［自］宴会に参加する;会食する
炎	katar	【医】カタル性の	inflam	［自］炎症を起こしている
横	transvers	横の,横線状の,横断の,>>lau^larg^a,><lau^longa	horizontal	{Ｂ}水平の,横の,>>vertikala
王	rag^	ラージャ（インドの王・王族の称号）	reg^	王の,国王の;王立の
黄	flav	{Ｂ}黄色い,黄色の	flavin	【化】【PIV】Rug^flava hetero-kvarcikla aroma
加	adici	{Ｂ}［他］【数】加える,足し算する,>>aldoni	plus	超過,余剰
寡	vidv	配偶者を失った,やもめの	oligo	(語釈なし)
蚊	kul	{Ｏ}【虫】カ（蚊）;（特に）イエカ（属）,>>moskito	moskit	{Ｂ}《般》【虫】蚊（か）,>>kulo
我	mi	私の,僕の,あたしの	atm	【哲】【PIV】Koncepto de persona memo en la h
快	alegr	【楽】（速度標語）速く,快速に	agrabl	{Ｂ}快い,心地よい,気持ちのよい
悔	rimors	【PIV】Konsciencriproc^o: vermo la hau^ton	pent	{Ｂ}［他］後悔する,悔悟する,改悛する
芥	sinap	【医】からし泥（でい）	mustard	【軍】マスタードガス,=iperito
害	noc	《稀》=malutili（有害である）	atenc	{Ｏ}［他］危害を加える,侵害する
廓	kontur	［他］輪郭を描く,かたどる	profil	横顔の;縦断面の;輪郭の
割	serp	［他］（鎌で）刈る	sekant	【数】セカント（正割）,>>kosinuso
褐	bistr	ビスタ色の,焦げ茶色の	brun	{Ｂ}褐色の,栗色の,茶色の
汗	s^vit	汗の;汗ばんだ,汗まみれの	h^an	【史】ハーン,カン（汗）（中央アジア遊牧民の族長・君主の称号）
