root	kanji	gloss
eksport	出	輸出の
penetr	穿	=penetrema（鋭い）
opozici	对	（政治的に）反対の,対立する
kontrast	对	対照的に,対比して
kaŭz	因	(基本形gloss無)
faktor	因	{Ｏ}要因,因子,ファクター;【数】因数;【理】因子,率;【商】仲買人,代理業者
neni	无	(基本形gloss無)
komun	共	{Ｂ}共通の,共有の,共同の;一般の,普通の
agent	代	{Ｂ}代理人,エージェント;（公的機関の）職員,係官
pronom	代	{Ｂ}【Ｇ】代名詞
generaci	代	{Ｂ}世代,同時代の人々;【生】世代
intern	内	{Ｂ}内部の,内側の;国内の;内心の,精神的な
porci	份	{Ｂ}分け前,割当て,配給量;（料理の）一人前
front	前	正面の,前面の
dat	期	［他］日付をつける
period	期	周期的な,定期的な
pas	过	=pasema（一時的な）
kilometr	千	(基本形gloss無)
membr	员	{Ｂ}会員,一員,構成員,メンバー;（構成）要素,部分;【解】肢（手または足）;（人・動植物の）体の一部器官（肢，手，足，脚
gigant	巨	巨人の;巨大な
ambasad	使	{Ｂ}大使館,大使と随員
apostol	使	{Ｂ}【キ】使徒（十二使徒のひとりを指す）;《転》伝道者
ambasador	使	{Ｂ}大使
minuskl	小	小文字の
inklin	倾	{Ｂ}傾向のある,心の傾いた
mebl	具	［他］家具を備付ける
konkret	具	{Ｏ}具体的な,具象的な,現実の
sukces	成	成功した,うまくいった,上首尾の,上出来の
konsist	成	構成する
atom	子	原子の;原子力の,核の
divid	分	{Ｂ}［他］分ける,分割する,区切る;分け与える,分配する;分け合う;【数】割る
minut	分	一分間の;ちょっとの間の
frakci	分	［他］【化】分留する
molekul	分	分子の
grajn	粒	{Ｂ}穀粒;（粒状の）実,種子;（一般的に）粒;《転》微量
organ	器	器官の,器官を備えた
vaz	器	{Ｂ}容器,うつわ,つぼ,かめ,花びん,はち,>>poto,>>pelvo,>>kruc^o
aparat	器	{Ｂ}装置,機械一式;【解】器官;【政】機関;【情】装置,デバイス
instrument	器	器具の,道具の
greg	群	群れの,群集の
seks	性	性の,性的な
amor	性	性愛の,情欲の,色恋の
valor	值	価値のある,値打ちのある,貴重な
merit	值	功績のある,称賛に値する;当然受けるべき,ふさわしい
long	长	{Ｂ}（空間的・時間的に）長い;【声】長音の
feminism	女	(基本形gloss無)
objekt	物	物体の
hejm	家	家庭の,自宅の;（動物が）飼いならされた
famili	家	家族の,家庭の;家族的な,水入らずの
kompon	组	{Ｂ}［他］（芸術作品を）構成する,創作する;【楽】作曲する
organiz	组	(基本形gloss無)
distr	散	気晴らしの
original	原	原作の,原本の;独創的な,独自の;奇抜な,風変わりな
primitiv	原	{Ｏ}原始の,原始的な,初期の,>>praa
opon	反	{Ｂ}［自］反対する,反駁する,逆らう,>>opozicii,>>kontrau^stari
ironi	反	皮肉な
komenc	始	はじめの,最初の,手始めの
or	金	金の,黄金の,金製の;金色の;《転》（金のように）貴重な,すばらしい
metal	金	金属の,金属製の,金属質の,金属的な
blond	金	{Ｂ}ブロンドの（毛髪が金色と栗色の中間）
fajr	火	火の;火のような,燃えるような
tag	日	昼の,日中の;一日の
lign	木	木製の
grund	土	［自］【海】座礁する
akv	水	水の;【生】水生の
lun	月	月の
monat	月	一ヶ月の,毎月の
kapric	任	気まぐれな,移り気な;予測できない
geni	才	天才的な
talent	才	才能のある,腕のある,有能な
general	将	{Ｂ}【軍】将軍;将官
cert	确	{Ｂ}確かな,確実な;ある（特定の）
konfirm	确	証拠として;承認して
konstat	确	{Ｂ}［他］（調べて）確認する,確かめる,確証する,>>konfirmi
pac	和	平和の,平和な;平安な,平穏な
akord	和	［自］調和している
afer	事	{Ｂ}物事（ものごと）,事,事柄,事項;用件,用事,問題;事件,出来事;事業,業務;【法】訴訟事件;【商】取引,>>nego
fakt	事	事実上の,真実の
event	事	{Ｂ}行事,催し,イベント;（重大な）出来事,大事件
aper	现	{Ｂ}［自］現われる,（刊行物が）出る
modern	现	{Ｂ}現代の,現代的な;近代の,近代的な
aktual	现	{Ｂ}現行の,最新の
fenomen	现	現象の;驚くべき,異常な,めずらしい
kontant	现	{Ｂ}【商】即時払いの,即金の;現金の,>>kredita
proporci	比	釣り合いのとれた;比例した
hom	人	人間の,人間的な
person	人	個人の,個人的な,>>individua
propr	己	{Ｂ}固有の,特有の,独自の,本来の;自分自身の
egoist	己	(基本形gloss無)
redukt	减	{Ｂ}［他］削減する,縮小する,縮写する;（人を悪い状態に）追いやる;【写】減力する;【化】還元する;【医】整復する
subtrah	减	{Ｂ}［他］【数】引き算する,引く
adici	加	{Ｂ}［他］【数】加える,足し算する,>>aldoni
rest	余	残りの,余りの
ceter	余	{Ｂ}残りの,そのほかの,その他の
ali	别	{Ｂ}ほかの,別の,その他の;もう一つの
alt	高	{Ｂ}高い;高貴な,高級な
am	爱	{Ｂ}［他］愛する,好きである
amik	友	友達の,友好的な
bel	美	{Ｂ}美しい,きれいな;立派な,すばらしい;（天気が）晴れた
bon	良	{Ｂ}良い,善良な,りっぱな
konscienc	良	良心的な,まじめな
ĉambr	室	(基本形gloss無)
demand	问	質問の;【Ｇ】疑問の
salut	问	{Ｂ}［他］挨拶する,会釈する,お辞儀する,敬礼する;《転》敬意を表する,歓迎する;【情】ログインする,>>adiau^i
dev	应	{Ｂ}［自］〜しなければならない;〜にちがいない;〜はずである
dezir	欲	{Ｂ}［他］欲する,〜したい,望む;願う,（成功などを）いのる
apetit	欲	食欲をそそる
dir	说	{Ｂ}［他］言う,述べる,告げる
don	给	{Ｂ}［他］与える;渡す,もたらす;おこなう
est	是	{Ｂ}［自］（〜）である;いる,存在する
facil	易	{Ｂ}容易な,簡単な;軽やかな
far	做	{Ｂ}［他］する,遂行する;作る,つくり出す
feliĉ	幸	(基本形gloss無)
fin	终	終わりの,最後の;末端の
flank	侧	側面の;副次的な
foj	次	一度,ある時
form	形	形式の,外形の
figur	形	形象の;図示の;【Ｇ】転義の,比喩の
formal	形	{Ｏ}外形的な,形式上の;正式の,正規の;儀礼的な;明確な,明言された
adjektiv	形	{Ｂ}【Ｇ】形容詞
fort	强	{Ｂ}強い,力強い;強固な;激しい
trud	强	{Ｂ}［他］押し付ける,無理強いする
emfaz	强	語気の強い,強調の
ĝoj	喜	(基本形gloss無)
ŝat	喜	(基本形gloss無)
grand	大	{Ｂ}大きい,強大な,多大の,偉大な
majuskl	大	大文字の
pez	重	{Ｂ}重い;重さがある;《転》重苦しい;重々しい
grav	重	{Ｂ}重要な,重大な;深刻な
akcent	重	アクセントの;アクセントのある
hav	有	{Ｂ}［他］持っている,〜がある;所有する
posed	有	所有の
help	助	手助けの,援助の;補助的な
infan	童	子供の,子供らしい
fabel	童	おとぎ話の,架空の;信じられないような,驚くほどの
ir	往	{Ｂ}［自］行く,行き着く,向かう;（物事が）運ぶ;（機械が）動く
jar	年	年間の,=unujara;年次の,毎年の,=c^iujara
jun	幼	{Ｂ}若い,年の若い,年少の,幼い
kamp	田	［自］キャンプする,野営する
kap	头	頭の
kelk	些	{Ｂ}（数について）いくつかの,何人かの;（量について）いくらかの,多少の
klar	清	{Ｂ}澄みきった,明るい;明瞭（めいりょう）な,明白な
net	清	{Ｂ}正味の;（汚れやくずのつかない）きれいな,整った;清書の
kompren	解	{Ｂ}［他］理解する,わかる;了解する,納得する;精通している
solv	解	{Ｂ}［他］解決する,解く;溶解させる,溶かす
kon	认	{Ｂ}［他］（体験して）知っている;知り合いである,面識がある;精通している;経験する
konfes	认	{Ｂ}［他］告白する,打ち明ける;白状する;（信仰を）告白する;【キ】告解する,ざんげする
kor	心	心臓の;心の,心からの
mens	心	精神の,心の,精神的な;知的な,知能の
psikologi	心	(基本形gloss無)
kred	信	{Ｂ}［他］信じる,確信する,信用する;［自］信仰する
fid	信	{Ｂ}［他］信頼する,信用する
leter	信	手紙の,手紙による
mesaĝ	信	(基本形gloss無)
konfid	信	信頼の
labor	劳	労働の,仕事の,作業の
land	国	国の
ŝtat	国	(基本形gloss無)
regn	国	国の,国家の
last	末	{Ｂ}最後の,最終の,後者の;最近の,最新の,直前の,この前の;最下位の,最低の
leg	读	{Ｂ}［他］読む,音読する;読み取る,解読する;【情】読み取る
