判定	見出し	ラテン維持分節	学習者版	学術版	学術版の当該字	語釈
受理済	anodonto	odont	an/odont/o⟦无ᴬ/odont/o⟧	anodont/o⟦贝ᴬ/o⟧	贝ᴬ	【動】【PIV】G. (Genro) (Anodonta) de duvalvaj moluskoj kun maldikaj, sende
受理済	biliono	lion	bi/lion/o⟦二ᴮ/lion/o⟧	bilion/o⟦兆/o⟧	兆	（米英で）十億,=miliardo;（独仏で）一兆,=duiliono,=mil miliardoj##偽分解(PIV正式分解)
受理済	dentino	in	dent/in/o⟦齿/in/o⟧	dentin/o⟦齿质/o⟧	齿质	【解】【PIV】(dentinum) Malmola substanco k histo de la dentoj de vertebrul
受理済	diodonto	odont	di/odont/o⟦二ᴰᴵ/odont/o⟧	diodont/o⟦鱼ᴰ/o⟧	鱼ᴰ	【動】【PIV】G. (Genro) (Diodon) de globformaj tropikaj marfis^oj, kies skv
受理済	diskontaprocento	pro	diskont/a/pro/cent/o⟦减ᴰ/a/pro/百/o⟧	diskont/a/procent/o⟦减ᴰ/a/率/o⟧	率	【商】割引率##偽分解
受理済	ditionato	tion	di/tion/at/o⟦二ᴰᴵ/tion/盐ᴬ/o⟧	ditionat/o⟦二硫/o⟧	二硫	【化】【PIV】Salo de ditionata acido, H 2 O 6 S 2, unu el la politionataj a
受理済	duonduto	t	du/on/du/t/o⟦二/分/二/t/o⟧	du/on/dut/o⟦二/分/二度/o⟧	二度	【PIV】En la Okcidenta muziko, la plej malgranda intervalo inter du sins
受理済	duto	t	du/t/o⟦二/t/o⟧	dut/o⟦二度/o⟧	二度	【楽】二度音程##偽分解(PIV正式分解)
受理済	dutonaleco	al	du/ton/al/ec/o⟦二/调/al/性/o⟧	du/tonal/ec/o⟦二/调ᵀᴸ/性/o⟧	调ᵀᴸ	【PIV】Kunekzisto de du tonaloj.##偽分解
受理済	efedrino	in	efedr/in/o⟦木ᴱᶠ/in/o⟧	efedrin/o⟦麻黄碱/o⟧	麻黄碱	【化】【PIV】Alkaloido el efedro, ekstraktata i.a. (interalie, inter aliaj)
受理済	ekzoftalmia	ekz	ekz/oftalm/i/a⟦ekz/目ᴼᶠ/i/a⟧	ekzoftalmi/a⟦凸眼/a⟧	凸眼	【PIV】Rilata al ekzoftalmio: la ekzoftalmia strumo ofte kuntrovig^as ku
受理済	ekzoftalmio	ekz	ekz/oftalm/i/o⟦ekz/目ᴼᶠ/i/o⟧	ekzoftalmi/o⟦凸眼/o⟧	凸眼	【医】【PIV】Elstareco de la okulgloboj el la orbitoj.##偽分解(PIV正式分解)
受理済	eritropoezino	in	eritr/o/poez/in/o⟦红ᴱ/o/生ᴾ/in/o⟧	eritropoezin/o⟦红生素/o⟧	红生素	【PIV】Poezino, stimulanta la produktadon de eritrocitoj en la osta medo
受理済	erudito	erud	erud/it/o⟦erud/受/o⟧	erudit/o⟦博ᴱᵀ/o⟧	博ᴱᵀ	=erudiciulo（博学な人）##偽分解(PIV正式分解)
受理済	fibrino	in	fibr/in/o⟦纤/in/o⟧	fibrin/o⟦纤蛋白/o⟧	纤蛋白	【化】フィブリン,繊維素##偽分解(PIV正式分解)
受理済	fibrinogeno	in	fibr/in/o/gen/o⟦纤/in/o/生ᴳ/o⟧	fibrinogen/o⟦纤蛋白生/o⟧	纤蛋白生	【生】【PIV】Solvebla proteino, sintezata en la hepato, cirkulanta en la sa
受理済	flavino	in	flav/in/o⟦黄/in/o⟧	flavin/o⟦黄ᶠᴺ/o⟧	黄ᶠᴺ	【化】【PIV】Rug^flava hetero-kvarcikla aromata ketono, C 10 H 6 N 4 O 2.##
受理済	glikolo	ol	glik/ol/o⟦糖ᴳᴵ/ol/o⟧	glikol/o⟦醇ᴳ/o⟧	醇ᴳ	【化】【PIV】1 Senkolora likvo, diolo, HOCH 2-CH 2 OH. Sin. (sinonimo) 1,2-
受理済	globino	in	glob/in/o⟦球ᴳ/in/o⟧	globin/o⟦珠蛋白/o⟧	珠蛋白	【化】【生】【PIV】(kn (kolektiva nomo)) Globforma proteino, kombinig^anta kun
