語根	鏡像案A	学習者版成分	見出し数	見出し例	備考
farad	做行	做/行	1	farad/o	
ferik	铁学ᴵ	铁/学ᴵ	1	ferik/a	
grenadil	手雷具	手雷/具	1	grenadil/o	
onj	女ᴺ	o/女ᴺ	1	onj/o	
agami	无ᴬ配ᴳ	无ᴬ/配ᴳ	1	agami/a	登録済
arkipter	首ᴬ翅	首ᴬ/翅	1	arkipter/oj	
ensintez	内合ˢ	内/合ˢ	1	ensintez/o	
kaloz	茧糖ᴼ	茧/糖ᴼ	1	kaloz/o	
katet	股小	股/小	1	katet/o	
okzalil	酸模基	酸模/基	1	okzalil/o	
portovin	运酒	运/o/酒	1	portovin/o	
rinkocefal	嘴头ᶜ	嘴/o/头ᶜ	1	rinkocefal/oj	
silvikultur	莺耕	莺/耕	1	silvikultur/o	
spionit	谍受	谍/受	1	spionit/o	
sulfuril	硫ˢᴿ基	硫ˢᴿ/基	1	sulfuril/o	
tornad	旋行	旋/行	1	tornad/o	
jodit	碘盐ᴵ	碘/盐ᴵ	1	hipo/jodit/a⟦亚/jodit/a⟧	
aldoz	中音糖ᴼ	中音/糖ᴼ	1	aldoz/o	
