root	kanji	gloss
perfor	穿	【PIV】(tr (transitiva)) Okazigi perforadon.
pamp	原	【植】【生態】【地理】【PIV】S-Amerika stepo. Vd prerio.
reni	金	【化】【PIV】1 Elemento, Re, kun amfotera karaktero, atomnumero 7
hafni	金	【化】【PIV】1 Elemento, Hf, atomnumero 72. atommaso 178,49, kvar
neodim	金	【化】【PIV】1 Elemento, Nd, atomnumero 60, atommaso 144,24, lant
neptuni	金	【化】【PIV】Transurania elemento, Np, atomnumero 93, atommaso 23
disprozi	金	【化】【PIV】1 Elemento, Dy, atomnumero 66, atommaso 162,50, lant
protaktini	金	【化】【PIV】Radioaktiva elemento, Pa, atomnumero 91, atommaso 23
kopaiv	木	【PIV】(ark. (arkaismo, arkaisme)) Rezin-esenca sekrecio de ko
akvifoli	木	【植】【PIV】1 (ark. (arkaismo, arkaisme)) Alia nomo (Aquifolium,
dipterokarp	木	【植】【PIV】G. (Genro) (Dipterocarpus el dipterokarpacoj) de gra
morfi	形	【数】【PIV】Baza koncepto en la teorio pri kategorioj, en la ple
poez	生	【生】【PIV】Formig^o de la diversaj c^elspecoj de la sango.
au^k	鸟	【動】【PIV】G. (Genro) (Alca) de N-Atlantikaj nag^birdoj el la o
alced	鸟	【動】【PIV】G (Alcedo) de birdoj el la ordo de koraciformaj, kun
karadri	鸟	【動】【PIV】G. (Genro) (Charadrius) de vadbirdoj el la ordo de k
decidu	落	【植】【動】【PIV】Defalema.
loganber	果	【植】【PIV】Frukto de loganberujo.
melan	黑	【医】【PIV】Mll de melanino en kunmetaj^oj (-> melanoc^elo).
krement	变	【情】【PIV】S^ang^i la valoron de variablo per konstanta diferen
ksenon	气	【化】【PIV】1 Elemento, Xe, atomnumero 54, atommaso 131,29. 2 No
dazipod	兽	【動】【PIV】G. (Genro) (Dasypus) de malgrandaj S-Amerikaj mamulo
brisur	标	【PIV】Distinga marko, aldonita al iu blazono, por g^in distin
seran	鱼	【動】【PIV】G. (Genro) (Serranus el la fam. (familio) de seraned
simbrank	鱼	【動】【PIV】G. (Genro) (Synbranchus, sin. (sinonimo (de latinsci
kolerik	怒	【医】【PIV】Apartenanta al unu el la kvar temperamentoj lau^ la 
salubr	健	【医】【PIV】Favora por la sano: salubra klimato, aero. Vd saniga
propuls	推	【技】【PIV】(tr (transitiva)) (pp (se paroli pri) motoro ks (kaj
akcidenc	偶	【哲】【PIV】Tiu eco de fenomeno, kiu ne estas esenca, sed trovig
kakofoni	噪	【PIV】1 Kunmeto de sonoj, silaboj au^ vortoj, kies senharmoni
gluk	糖	【化】【PIV】Glukozo (en kunmetaj^oj).
oks	牛	【PIV】Kastrita tau^ro. Vd bovo. -> oksovostosupo.
ciper	草	【植】【PIV】G. (Genro) (Cyperus el ciperacoj) de unu-k plur-jara
aizo	草	【植】【PIV】G. (Genro) (Aizoon el aizoacoj) de 11 sp-oj (specioj
lentibulari	草	【植】【PIV】(ark. (arkaismo, arkaisme)) Alia nomo (Lentibularia,
frigan	虫	【動】【PIV】G. (Genro) (Phryganea) de insektoj el la friganedoj,
fuzulin	虫	【動】【PIV】G. (Genro) (Fusulina el fuzulinedoj) de foraminifero
krizomel	虫	【動】【PIV】G. (Genro) (Chrysomela) de pli-malpli duonglobaj, ok
galin	鸡	【動】【PIV】G. (Genro) (Gallus) de birdoj, al kiu apartenas i.a.
su	猪	【動】【PIV】Apro.
jekci	射	【数】【PIV】Bildigo (en iuj kunmetaj^oj).
ovi	羊	【動】【PIV】G. (Genro) (Ovis) de mamuloj el la ordo de parhufulo
ikt	拍	【PIV】1【文】En la antikva metriko, bato kiu akompanis la fortan
rabd	枝	【PIV】Divenvergo.
j^am	扰	【PIV】(tr (transitiva)) Malhelpi au^deblan ricevon de iu send
kopal	脂	【化】【PIV】Malmola, vitreca rezino, ricevata el la trunko de ke
lancin	刺	【医】【PIV】(ntr (netransitiva)) Dolori per sinsekvaj subitaj at
kuspid	尖	【解】【PIV】(cuspis) Pinta elemento, ekz. (ekzemple) de dentoj (
sakral	圣	【PIV】Apartigita for de la komuna uzado pro religia karaktero
skrutini	检	【PIV】Oficiala ekzameno de la voc^donoj por kontroli ties val
sket	滑	【PIV】(ntr (netransitiva)) Gliti 2.
idl	空	【PIV】(ntr (netransitiva)) 1 (pp (se paroli pri) rado) Libere
alien	让	【PIV】(tr (transitiva)) Aliproprigi, translasi en fremdan pos
fantast	幻	【PIV】Literatura g^enro, en kies verkoj c^efan rolon ludas su
grumel	块	【PIV】Malgranda buleto, koagulig^inta en likvo: s^utante la f
etuv	炉	【医】【生】【PIV】Speciala forno, diversmaniere uzata: por sekigi d
petr	岩	【地質】【PIV】1 Konsistiga materialo de la terkrusto, g^enerale k
vobl	摇	【PIV】(ntr (netransitiva)) (pp (se paroli pri) rado) Periode 
prod	杰	【史】【PIV】Kavaliro fama pro siaj kurag^o k aventuroj: la prodo
algid	冷	【医】【PIV】Hipotermia.
frok	袍	【PIV】Longa monah^a robo, kun malstriktaj manikoj.
impregn	浸	【PIV】(tr (transitiva)) 1 S^irmsaturi sub influo de premo mat
dubel	栓	【技】【PIV】Peceto, kiun oni ens^ovas en truon, g^enerale de mur
rimors	悔	【PIV】Konsciencriproc^o: vermo la hau^ton rong^os, kiel rimor
sinistr	灾	【法】【PIV】Okazaj^o (incendio, inundo, s^ippereo ks (kaj simile
sprint	冲	【PIV】Sporta rapidkuro g^is la distanco de 400 m.
kvivit	鸣	【PIV】Tiu krieto: kion birdo havas pro c^iuj siaj kvivitoj, k
abrog	废	【法】【PIV】(tr (transitiva)) Nuligi leg^on au^ dekreton fare de
bri	苔	【植】【PIV】G. (Genro) (Bryum el briacoj) kosmopolita de c^. (c^
plasti	塑	【医】【PIV】Operacio, destinita ripari organon koncerne ties for
ament	穗	【植】【PIV】Infloresko, densa spiko ofte konussimila, kies unuse
anzu	杏	【植】【PIV】1 Var. (Vari(aj^)o) de abrikotarbo (Prunus armeniaca
sfigm	脉	【医】【PIV】Pulso 1.
kandid	菌	【植】【PIV】G. (Genro) (Candida el sakaromicetaloj) kosmopolita 
ambulatori	廊	【PIV】1 Parto de domo, kie c^irkau^ korto estas arang^ita pro
bos	凸	【建】【PIV】1 Elstaraj^o, kruda au^ prilaborita, lasita sur la e
pene	虾	【動】【PIV】G. (Genro) (Penaeus k parencaj g-oj (genroj)) de gra
ekshibici	露	【PIV】Emo sin montri, aparte en erotika situacio: en la norma
sulfin	硫	【化】【PIV】sulfinilo (en kunmetaj^oj).
tiravir	缆	【PIV】S^nuro duige faldita, alligita c^e la supro de deklivaj
blast	胚	【生】【PIV】Fundamenta embria c^eltavolo.
tire	甲状	【解】【PIV】Tireoido (en kunmetaj^oj): tireoaritenoida (muskolo,
bias	偏	【PIV】1 Nemotivita prefero. 2 【統】(pp (se paroli pri) stimanto
sufuz	渗	【医】【PIV】(ntr (netransitiva)) (pp (se paroli pri) organisma l
staz	滞	【医】【PIV】Malrapidig^o, iafoje g^is plena halto, de sangocirku
pubi	耻骨	【解】【PIV】(os pubis) Antau^a parto de la koksosto. Sin. (sinon
banus	督	【史】【PIV】Vicreg^o, komandanta en milito (en Hungario, Kroatio
globin	珠蛋白	【化】【生】【PIV】(kn (kolektiva nomo)) Globforma proteino, kombini
skab	疮疤	【植】【PIV】Plantmalsano, kau^zata de iuj bakterioj k fungoj, ka
sukur	急救	【医】【PIV】(tr (transitiva)) Doni la unuan helpon k flegon al v
hebet	钝	【医】【PIV】Trafita de hebeteco.
pron	俯	【PIV】(tr (transitiva)) Turni la antau^brakon tiel, ke la pol
kondr	软骨	【医】【地質】【PIV】1 Kartilago (en kunmetaj^oj). 2 Minerala grajnet
striptiz	脱衣舞	【PIV】Nudrivela senvestig^a danco.
prokliz	附	【語】【PIV】Kunfandig^o de morfemo kun la posta vorto, el kio re
areol	晕	【解】【医】【PIV】1 Mallarg^a areo c^irkau^ punkto au^ centro: la a
h^ord	脊索	【動】【PIV】(chorda dorsalis) Kartilageca kordo, formanta la baz
peristalt	蠕	【生】【PIV】Nevola muskola kontrahig^o, okazanta en tuboformaj o
gamet	配子	【生】【PIV】Seksa c^elo (tipe unuploida), destinita unuig^i kun 
kac	阳具	【PIV】(fm (familiara, familiare)) Peniso: nur « kaco» tau^gas
lab	皱胃	【PIV】1 = abomaso. 2 La membrano de la stomako de la mamuloj 
lukr	赚	【PIV】(tr (transitiva)) Perlabori: li lukras dolarojn po mil 
kodon	密码子	【生】【PIV】Unuo de gena informo, konsistanta el triopo da nukle
fau^lt	断层	【地質】【PIV】Rezulto de pli-malpli profunda rompig^o de tereno, 
onk	肿瘤	【医】【PIV】Tumoro, precipe maligna.
s^rot	粗粉	【PIV】Interprodukto de muelado (pistado) de grajnoj; furag^o 
greb	潜鸟	【動】【PIV】Podicipo k parencaj g-oj (genroj), akvolog^aj.
remork	拖车	【PIV】1 S^ipo, barko, barg^o, trenata de motors^ipo. Vd trens
procelari	海燕	【動】【PIV】G. (Genro) (Procellaria) de malgrandaj, hirundsimila
ladan	香脂	【植】【PIV】Aroma gumo, liverita de la folioj k tigoj de ladanar
globulin	球蛋白	【生】【化】【PIV】(kn (kolektiva nomo)) Proteino kun pli-malpli glo
jakv	菠萝蜜	【植】【PIV】Frukto (s^ajnfrukto) de jakvarbo.
miring	鼓膜	【解】【PIV】Timpana membrano (membrana tympani): la miringo tran
merd	屎	【PIV】(fm (familiara, familiare)) 1 Fekaj^o. 2 (f (figurasenc
treponem	密螺旋体	【生】【PIV】G. (Genro) (Treponema el spiroketaloj) de eu^bakteri
impetig	脓疮	【医】【PIV】Kontag^a hau^t-afekcio kau^zata de streptokoko au^ s
kupel	炼	【化】【PIV】(tr (transitiva)) Apartigi per varmigado oron au^ ar
signifik	著	【数】【PIV】(ntr (netransitiva)) Havi alian kau^zon ol la hazard
kakinok	柿	【植】【PIV】1 Sp. (Specio) de diospiro (Diospyros kaki), poligam
prokariot	原核	【生】【PIV】Ano de prokariotoj.
turbid	浊	【地質】【PIV】Mara au^ laga detrito, suspensie transportata (-ita
puber	发育	【生】【PIV】Atinginta periodon de la vivo inter infaneco k adole
