# 優先順位(層順)包括監査 v3 台帳  CSV2890(t0)>PEJVO(t1)>PIV(t2) を独立ground-truthで検証
# tier: CSV2890=CSVを独立照合 / PEJVO・PIV=学術版原本の行位置+【PIV】タグ (band非依存)
# base=min band_rank は C=br*1000+P で構造保証。逆転はband誤ラベル/意図的override時のみ。
# CSV2890照合: rows=2890 matched=2799(96.9%) 語根=2695 未照合rows=91

## [A] 層順逆転(bare.tier より高優先=小tierのメンバーが非base) = 全38件
#   NEW=0(0が必須=未説明の違反) / base_override=19(意図) / ratified現状維持=19(既知20群)
groupkey	base	base_tier	高優先メンバー(逆転相手)	分類
傲	arog	1=PEJVO	arogant(t0=CSV2890)	base_override
千足	kilopod	2=PIV	skolopendr(t1=PEJVO)	base_override
厘	centi	1=PEJVO	centimetr(t0=CSV2890)	base_override
咏	c^ant	2=PIV	psalm(t1=PEJVO);kantik(t1=PEJVO)	ratified
哲	filozof	1=PEJVO	filozofi(t0=CSV2890)	base_override
喂	ho	1=PEJVO	he(t0=CSV2890)	base_override
拍型	fototip	2=PIV	fototipi(t1=PEJVO)	ratified
振具	vibrator	2=PIV	oscilator(t1=PEJVO)	ratified
旋	gir	2=PIV	pivot(t1=PEJVO);spiral(t1=PEJVO);rotaci(t1=PEJVO);turb(t1=PEJVO);giro(t1=PEJVO);ciklon(t1=PEJVO);piruet(t1=PEJVO)	ratified
架	rak	2=PIV	trus(t1=PEJVO);stabl(t1=PEJVO);c^arpent(t1=PEJVO);skafald(t1=PEJVO);c^asi(t1=PEJVO)	ratified
梗	infarkt	2=PIV	pedunkl(t1=PEJVO)	ratified
榕	fikus	2=PIV	sikomor(t1=PEJVO)	base_override
毫	mili	1=PEJVO	milimetr(t0=CSV2890)	base_override
气计	gasmetr	2=PIV	aerometr(t1=PEJVO);gasometr(t1=PEJVO)	ratified
水苏	staki	2=PIV	betonik(t1=PEJVO)	base_override
渗计	osmozmetr	2=PIV	osmozometr(t1=PEJVO)	ratified
爬虫	sau^r	2=PIV	reptili(t1=PEJVO)	base_override
猴	ceb	2=PIV	makak(t1=PEJVO);pavian(t1=PEJVO);orangutang(t1=PEJVO)	base_override
皮翅	dermapter	2=PIV	forfikul(t1=PEJVO)	base_override
相关	korelaci	2=PIV	korelativ(t1=PEJVO)	ratified
眼镜蛇	kobr	2=PIV	aspid(t1=PEJVO)	base_override
硫	sulf	2=PIV	sulfur(t1=PEJVO)	ratified
神经学	nervologi	2=PIV	neu^rologi(t1=PEJVO)	ratified
秧鸡	ral	2=PIV	fulik(t1=PEJVO);galinol(t1=PEJVO);galinul(t1=PEJVO)	base_override
胃炎	gastrit	2=PIV	stomakit(t1=PEJVO)	ratified
胖	obez	2=PIV	korpulent(t1=PEJVO)	ratified
胚源	embrigenez	2=PIV	embriogenez(t1=PEJVO)	ratified
脉炎	flebit	2=PIV	vejnit(t1=PEJVO)	ratified
色计	kolormetr	2=PIV	kolorometr(t1=PEJVO)	ratified
苔植	brifit	2=PIV	briofit(t1=PEJVO)	ratified
茅	espart	2=PIV	alf(t1=PEJVO)	base_override
菌学	mikologi	2=PIV	bakteriologi(t1=PEJVO)	ratified
蔓	sarment	2=PIV	lian(t1=PEJVO)	base_override
蛾	mote	2=PIV	hermini(t1=PEJVO);bombiks(t1=PEJVO)	base_override
蠕	helmint	2=PIV	trikin(t1=PEJVO)	base_override
金丝燕	salangan	2=PIV	apus(t1=PEJVO);cipsel(t1=PEJVO)	base_override
香脂	ladan	2=PIV	mirh(t1=PEJVO)	base_override
高测	altometri	2=PIV	hipsometri(t1=PEJVO)	ratified

## [B] CSV2890語根の band誤ラベル(br0でない=優先度喪失の温床) = 39件(うち非bare=20)
#   CSV2890は band∈basic/suf/pref/prep/correl/num/func(br0) が正。bare=True(単独/基本形)なら無害・
#   bare=False(非基本形)は同綴群で下位語にbaseを譲っている可能性。
#   ★点検済(3回): 2026-07-19 第21回④ / 2026-07-21 第26回③ / 2026-08-01 第28レンズ。
#     3回とも同一の分類に到達 = 無害bare19 / 中心義がbase側にある正常な従属9 /
#     七曜7(日月火水木金土は day/moon/fire/water/wood/gold/earth に譲るのが正) /
#     照合の誤マッチ3(kvi←kvin・tam←tamen・pseu^d←pseŭdo-) / 要検討1(ve=哀)。
#     『要点検』の再掘り起こしは不要。ve/哀 のみ §14.2.1 の裁定対象。
root	band	tier	bare?	groupkey	Unified_Level
cigar	pejvo	PEJVO	False	烟	9.0
citron	pejvo	PEJVO	False	果	7.9
dimanĉ	cal	PEJVO	False	日	3.77
gitar	pejvo	PEJVO	False	琴	8.79
ju	pejvo	PEJVO	False	越	6.83
kvi	piv	PIV	False	静	1.77
lund	cal	PEJVO	False	月	3.77
mard	cal	PEJVO	False	火	3.77
merkred	cal	PEJVO	False	水	3.77
nj	pejvo	PEJVO	False	女	7.33
plur	pejvo	PEJVO	False	多	5.83
pseu^d	pejvo	PEJVO	False	伪	8.79
sabat	cal	PEJVO	False	土	3.77
sekc	sci	PEJVO	False	切	9.0
taksi	pejvo	PEJVO	False	车	8.79
tam	piv	PIV	False	草	1.77
ve	pejvo	PEJVO	False	哀	8.79
vendred	cal	PEJVO	False	金	3.77
violon	pejvo	PEJVO	False	琴	8.9
ĵaŭd	cal	PEJVO	False	木	3.77
april	cal	PEJVO	True	四月	3.77
aŭgust	cal	PEJVO	True	八月	3.77
bronz	pejvo	PEJVO	True	青铜	8.9
decembr	cal	PEJVO	True	十二月	3.77
februar	cal	PEJVO	True	二月	3.77
ha	pejvo	PEJVO	True	啊	5.67
ho	pejvo	PEJVO	True	喂	5.67
januar	cal	PEJVO	True	一月	3.77
juli	cal	PEJVO	True	七月	3.77
juni	cal	PEJVO	True	六月	3.77
kilogram	piv	PEJVO	True	千克	6.0
maj	cal	PEJVO	True	五月	3.77
mart	cal	PEJVO	True	三月	3.77
mikrofon	piv	PEJVO	True	微声	8.79
novembr	cal	PEJVO	True	十一月	3.77
nu	pejvo	PEJVO	True	嘿	1.77
oktobr	cal	PEJVO	True	十月	3.77
septembr	cal	PEJVO	True	九月	3.77
telefon	piv	PEJVO	True	远声	5.83

## [C] band=piv だが真PEJVO(<=44440・PIVタグ無) = 824件 (★内訳: 隙間充填規約=P=5センチネル 818件 / 真の誤ラベル 6件)
#   ★大半は『誤ラベル』ではない。仕様書L28『隙間充填で後から追加する語根は出典がPEJVO領域でも
#     一律 band=piv』+ L29『P=5 を手動固定』という規約どおりの姿(2026-08-01 第28レンズで確定)。
#   真の誤ラベル(P≠5)のみ: bari, ele, nomenklatur, ro, sargas, transit
#   bare列=その語が漢字群のbare基本形か(Trueなら真PEJVO語が正しくbare保持=無害)
root	行	groupkey	bareか
acetat	173	醋盐	True
administrator	282	管员	True
aerobi	414	气生	True
aerodrom	416	气道	True
aerolit	420	气石	True
aerometr	421	气计	False
aeronau^tik	422	气航学	True
aeronau^t	423	气航	True
aeroplan	424	气划	True
aerosol	427	气胶ˢ	True
aerostat	429	气态	True
afoni	506	无声	True
agend	552	办须	True
agnostikism	587	不可知主义	True
agorafobi	594	场症	True
agronomi	644	农学	False
agronom	646	农学	True
akonit	785	草	False
akromat	815	无色	True
akvedukt	921	水管ᴰ	True
albatros	1024	鸟	False
albuminuri	1035	白蛋白尿	True
alkaloid	1217	碱似	True
alopati	1279	异病	True
alsin	1309	草	False
alternator	1359	替具	True
altometr	1383	高计	True
altruism	1394	他主义	True
altruist	1396	他家	True
ameboid	1522	变形虫似	True
amorf	1587	无形	True
amplifikator	1616	扩具	True
analfabet	1652	无字	True
anarkism	1680	无政主义	True
anarkist	1681	无政家	True
anemometr	1720	风计	True
anestez	1724	无感	True
anhidr	1778	无水	True
anonim	1833	无名	True
antagonism	1856	敌主义	True
antagonist	1858	敌家	True
antibiotik	1998	抗生布	True
anticiklon	1999	抗旋	True
antifon	2003	抗声	True
antifraz	2004	抗句	True
antigen	2005	抗原	True
antikorp	2009	抗体	True
antikorpuskl	2010	抗粒	False
antineu^trin	2025	抗中微子	True
antinomi	2026	抗律	True
antipartikl	2027	抗粒	True
antipati	2028	抗情	True
antipod	2032	抗足	True
antiproton	2034	抗质子子	True
antiseps	2039	抗腐	True
antitez	2043	抗题	True
antitoksin	2044	抗毒	True
antonim	2046	反名	True
antropoid	2052	人似	True
antropologi	2054	人学	True
antropolog	2055	人学家	True
antropometri	2056	人测	True
antropomorfism	2057	人形主义	True
apati	2090	无情	True
apendicit	2103	虫垂炎	True
apod	2151	无足	True
ara	2245	鹦	False
arh^aism	2335	古主义	True
arh^eologi	2336	古学	True
arh^eolog	2337	古学家	True
arkaism	2375	古主义	False
arkeologi	2381	古学	False
arkeolog	2383	古学家	False
arkeopterig	2384	古翅	True
artritism	2515	节炎主义	True
artrit	2516	节炎	True
artropod	2517	节足	True
aseps	2544	无腐	True
asparag	2588	菜	False
astigmatism	2611	散光主义	True
astrologi	2621	星学	False
astrolog	2622	星学家	True
astronau^t	2623	星航	True
astronom	2632	星学	True
atavism	2651	祖主义	True
ateism	2652	无神主义	True
ateist	2653	无神家	True
atoni	2740	无张	True
atrofi	2745	无养	True
au^tism	2826	自主义	True
au^tobiografi	2831	自生志	True
au^togir	2840	自旋	True
au^tografi	2841	自志	True
au^tograf	2842	自记	True
au^tokrati	2845	专制	False
au^tokrat	2847	专制	False
azuki	2991	豆	False
bakteriofag	3063	菌吞	True
bakteriologi	3064	菌学	False
baobab	3233	木	False
barbarism	3262	蛮主义	True
bari	3298	金	False
barograf	3309	压记	True
barometr	3313	压计	False
baroskop	3319	压镜	True
bibliofili	3631	经爱	False
bibliofil	3632	经爱	True
bibliografi	3634	经志	True
bibliograf	3635	经记	True
bigami	3670	二配	True
bikonkav	3678	二ᴮ凹	True
bikonveks	3679	二ᴮ凸ᴷ	True
bimetalism	3721	二金主义	True
biofizik	3737	生物理	True
biogeografi	3740	生地志	True
biografi	3742	生志	True
biograf	3743	生记	True
biokemi	3747	生化学	True
biolog	3752	生学家	True
biomas	3757	生团	True
biontologi	3758	生在学	True
biosfer	3759	生球	True
biotop	3760	生境	True
biplan	3761	二ᴮ划	True
bombiks	4035	蛾	False
bradip	4224	兽	False
briofit	4351	苔植	False
brokol	4393	菜	False
bromid	4394	卤化	True
bromoform	4398	卤形	True
bronkit	4401	支炎	True
burd	4625	蜂	False
cefalopod	4731	头足	True
cekumit	4739	盲肠炎	True
celulit	4782	胞炎	True
centiar	4810	厘亩	True
centigram	4811	厘克	True
centilitr	4812	厘升	True
cianid	4951	青化	True
ciklamen	5006	花	False
dali	5796	菊	False
dazip	5924	兽	False
decigram	5976	分克	True
decilitr	5977	分升	True
decimetr	5984	分米	True
deism	6076	神主义	False
deist	6077	神家	False
dekagram	6097	十克	True
dekalitr	6099	十升	True
dekalog	6101	十戒	True
dekametr	6103	十米	True
deltoid	6269	三角洲似	True
demonstrativ	6324	证被能	True
demoraliz	6330	从德化	True
densometr	6364	密计	True
dermatit	6470	皮炎	False
dermatologi	6471	皮学	True
dermatolog	6472	皮学家	True
dermatoz	6473	皮症	True
dermit	6474	皮炎	True
diagram	6677	通图	True
dialektologi	6687	言学	True
dialektolog	6688	言学家	True
diametr	6703	通测	True
diaskop	6713	通镜	True
diaterm	6718	通热	True
diatermi	6719	通温	True
digital	6808	草	False
diklorid	6838	二氯化	True
diktafon	6843	述声	True
dinamism	6889	力主义	True
dinamometr	6893	力计	True
dipter	6940	二翅	True
diskredit	7068	散信受	True
divalent	7247	二价	True
dividend	7291	分须	True
dolc^amar	7375	甘苦	True
dominant	7431	治在	True
dozologi	7568	量学	True
dozometr	7569	量计	True
duodenit	7835	十二指肠炎	True
ekolog	8276	境学家	True
eksponometr	8457	展计	True
ekspresionism	8480	表主义	True
ektoplasm	8622	外浆	True
ekzistencialism	8737	存主义	True
ekzistencialist	8738	存家	True
ekzoterm	8747	外热	True
elateri	8772	瓜	False
elektrodinamism	8902	电力主义	True
elektrolit	8920	电解	True
elektroliz	8922	电解	False
elektrometr	8934	电计	True
elektron	8937	电子	True
elektroskop	8956	电镜	True
elektrotip	8965	电型	True
elektrotipi	8966	电型	False
ele	8979	木	False
emboloz	9283	栓症	True
embriogenez	9289	胚源	False
embriologi	9291	胚学	True
embriolog	9292	胚学家	True
empirism	9360	验主义	True
empirist	9361	验家	True
encefalit	9388	脑炎	True
encefalopati	9390	脑病	True
endokardit	9414	内心炎	True
endokard	9415	内心	True
endoplasm	9422	内浆	True
endoskop	9426	内镜	True
endosmoz	9427	内渗	True
endoterm	9428	内热	True
enterit	9657	肠炎	True
entomologi	9663	虫学	True
entomolog	9664	虫学家	True
ependimit	9725	室膜炎	True
epidemiologi	9733	疫学	True
epiderm	9734	表皮	True
epigastr	9739	表胃	True
epiglot	9741	表声门	True
epigraf	9743	表记	True
epigram	9744	表字	True
epilog	9752	后话	True
erotomani	9844	色情狂	True
eskalator	9880	梯具	True
estrad	9995	讲台	True
etimologi	10056	源学	True
etimolog	10057	源学家	True
etiologi	10059	因学	True
etiolog	10060	因学家	True
etnografi	10074	族志	True
etnograf	10075	族记	True
etnologi	10077	族学	True
etnolog	10078	族学家	True
ezofagit	10186	食管炎	True
fagocit	10258	吞胞	True
faringit	10537	咽炎	False
faringoskop	10539	咽镜	True
farmakologi	10551	药学	True
farmakolog	10552	药学家	True
fekul	10673	淀粉	True
feminist	10714	女家	True
