tier	root	kanji	gloss
CSV2890	abel	蜂	蜜蜂の,蜜蜂のような
CSV2890	ador	拜	{Ｂ}［他］【宗】礼拝する,崇拝する,あがめる;《転》敬慕する,あこがれる;《転》大好きである
CSV2890	akcept	受ᴬ	{Ｂ}［他］受入れる,受理する;迎え入れる;容認する
CSV2890	album	册ᴬ	{Ｂ}（写真・切手の）アルバム,写生帳,サイン帳;（音楽ＣＤの）アルバム,曲集
CSV2890	amik	友	友達の,友好的な
CSV2890	apartament	寓	{Ｂ}アパートメント,フラット（集合住宅内の一区画）
CSV2890	arme	军	{Ｂ}軍隊;〜軍;《転》大群
CSV2890	atmosfer	气ᴬᵀ	{Ｏ}大気;雰囲気;【理】気圧（気圧の単位，atm）
CSV2890	balbut	结巴	{Ｂ}［自］どもる
CSV2890	bat	打	{Ｂ}［他］打つ,たたく,殴る
CSV2890	bien	庄	{Ｂ}領地,地所
CSV2890	bol	沸	{Ｂ}［自］沸騰する,煮えたぎる;《転》荒れ狂う,激高する
CSV2890	bret	板ᴮ	{Ｂ}棚,棚板
CSV2890	bulb	球ᴮ	{Ｂ}【植】球根,りん茎;【料】玉ねぎ,=>cepo;《転》球根状のもの;【解】球（きゅう）
CSV2890	cert	确	{Ｂ}確かな,確実な;ある（特定の）
CSV2890	cit	引	{Ｂ}［他］引用する;（名前や例を）挙げる,引き合いに出す
CSV2890	delikat	细	{Ｂ}繊細な,洗練された;優美な,上品な;鋭敏な,敏感な;きゃしゃな,壊れやすい
CSV2890	diabl	魔ᴰ	悪魔の;悪魔のような,悪辣（あくらつ）な,ひどい
CSV2890	direktor	导ᴰ	{Ｂ}管理者,長;理事,重役;（劇場・ホテルなどの）支配人
CSV2890	don	给	{Ｂ}［他］与える;渡す,もたらす;おこなう
CSV2890	edz	夫	{Ｂ}夫
CSV2890	ekstr	特ᴱ	{Ｏ}特別の,格別の,余分の,臨時の,>>aldona
CSV2890	elokvent	辩ᴱ	{Ｏ}雄弁な,説得力のある;表情の豊かな
CSV2890	escept	除	例外的な
CSV2890	evident	显ᴱ	{Ｂ}明白な,自明の
CSV2890	fald	折	{Ｂ}［他］折りたたむ
CSV2890	favor	利	{Ｂ}好意的な;有利な,好都合な
CSV2890	fiask	败	［自］大失敗する,完全にしくじる
CSV2890	fizik	物理	物理学の,物理的な;物質的な;肉体的な
CSV2890	foj	次	一度,ある時
CSV2890	forum	坛	{Ｏ}フォーラム（公開討論の場）;【史】フォーラム（古代ローマの公共広場）
CSV2890	front	前ᶠ	正面の,前面の
CSV2890	gajn	赢	{Ｂ}［他］（運や偶然によって）得る;勝ち取る;もうける,>>akiri
CSV2890	gimnastik	操ᴳ	体操の,体育の
CSV2890	gramatik	语法	文法上の
CSV2890	grund	土	［自］【海】座礁する
CSV2890	hazard	偶ᴴ	偶然の;一か八かの,運まかせの
CSV2890	hom	人	人間の,人間的な
CSV2890	ident	同ᴵ	{Ｂ}（kun）同一の;同様の,そっくり同じの
CSV2890	indiferent	冷	{Ｂ}どうでもいい,重要でない;無関心な,平然とした
