type	root	kanji	band	F
correl	nenio	无o	correl	2
correl	neniu	无u	correl	2
correl	nenia	无a	correl	1
correl	nenie	无e	correl	2
correl	neniam	无时	correl	1
correl	neniom	无量	correl	2
correl	nenies	无之	correl	2
correl	nenial	无因	correl	1
correl	neniel	无样	correl	1
correl	kio	何o	correl	1
correl	kiu	何u	correl	2
correl	kia	何a	correl	2
correl	kie	何e	correl	2
correl	kiam	何时	correl	7
correl	kiom	何量	correl	10
correl	kies	何之	correl	1
correl	kial	何因	correl	5
correl	kiel	何样	correl	13
correl	ĉio	全o	correl	14
correl	ĉiu	全u	correl	44
correl	ĉia	全a	correl	7
correl	ĉie	全e	correl	5
correl	ĉiam	全时	correl	11
correl	ĉiom	全量	correl	3
correl	ĉies	全之	correl	4
correl	ĉial	全因	correl	1
correl	ĉiel	全样	correl	26
correl	io	某o	correl	2
correl	iu	某u	correl	6
correl	ia	某a	correl	4
correl	ie	某e	correl	2
correl	iam	某时	correl	5
correl	iom	某量	correl	12
correl	ies	某之	correl	1
correl	ial	某因	correl	1
correl	iel	某样	correl	4
correl	tio	那o	correl	19
correl	tiu	那u	correl	14
correl	tia	那a	correl	6
correl	tie	那e	correl	11
correl	tiam	那时	correl	4
correl	tiom	那量	correl	5
correl	ties	那之	correl	2
correl	tial	那因	correl	5
correl	tiel	那样	correl	6
prep	pri	于	prep	160
prep	el	出	prep	449
prep	po	每	prep	25
prep	inter	间	prep	235
prep	tra	穿	prep	139
prep	per	以	prep	55
prep	kontraŭ	对	prep	163
prep	al	向	prep	269
prep	por	为	prep	32
prep	ĝis	至	prep	30
prep	post	后	prep	106
prep	pro	因	prep	17
prep	laŭ	按	prep	88
prep	sen	无	prep	689
prep	sub	下	prep	230
prep	ĉirkaŭ	围	prep	71
prep	ekster	外	prep	78
prep	sur	上	prep	129
prep	trans	越	prep	153
prep	ĉe	在	prep	22
prep	apud	旁	prep	13
prep	kun	共	prep	249
prep	malgraŭ	不顾	prep	6
prep	super	上	prep	160
prep	de	从	prep	417
prep	anstataŭ	代	prep	12
prep	en	内	prep	0
prep	krom	外	prep	41
prep	da	份	prep	15
prep	antaŭ	前	prep	174
prep	dum	期	prep	13
prep	preter	过	prep	38
num	naŭ	九	num	11
num	kvar	四	num	75
num	mil	千	num	32
num	cent	百	num	45
num	tri	三	num	128
num	ses	六	num	35
num	ok	八	num	24
num	du	二	num	319
num	unu	一	num	174
num	dek	十	num	65
num	kvin	五	num	31
num	sep	七	num	22
suf	aĉ	劣	suf	59
suf	an	员	suf	0
suf	eg	巨	suf	269
suf	ig	使	suf	2032
suf	ad	行	suf	1555
suf	ul	者	suf	926
suf	ebl	可	suf	432
suf	obl	倍	suf	56
suf	log	学家	suf	144
suf	et	小	suf	655
suf	em	倾	suf	436
suf	il	具	suf	1276
suf	end	须	suf	14
suf	iĝ	成	suf	1513
suf	id	子	suf	108
suf	on	分	suf	0
suf	er	粒	suf	87
suf	ej	所	suf	743
suf	uj	器	suf	414
suf	ar	群	suf	501
suf	ec	性	suf	1190
suf	ind	值	suf	116
suf	ing	座	suf	63
suf	estr	长	suf	90
suf	in	女	suf	359
suf	aĵ	物	suf	1546
suf	ist	家	suf	1291
suf	ism	主义	suf	683
suf	op	组	suf	37
pref	fi	卑	pref	12
pref	ĉef	首	pref	93
pref	dis	散	pref	205
pref	pra	原	pref	66
pref	mis	误	pref	79
pref	bo	姻	pref	20
pref	re	再	pref	367
pref	mal	反	pref	1357
pref	ek	始	pref	147
