"kanji","base","baseLv","baseJp","cand","candLv","candJp","gap","members"
"代","agent","9","代理人, 代理業者; 係員, 派遣員","anstataŭ","1.77","［前］～の代わりに / {Ｂ}［接］～する代わり","7.23","agent(9) pronom(8.9) anstataŭ(1.77) generaci(8.9) era(100) prokur(100) surogat(100)"
"任","kapric","8.79","気まぐれ, 移り気, むら気; （ものごとの）急","ajn","1.77","［副］～であっても（無差別を示す）","7.02","kapric(8.79) ajn(1.77) investitur(100)"
"才","geni","8.4","天才, 天分; 【神】守護神","apenaŭ","1.77","［副］やっと, かろうじて; ほとんど～ない /","6.63","geni(8.4) talent(8.79) apenaŭ(1.77)"
"清","net","8.79","正味の; （汚れやくずのつかない）きれいな, 整","klar","2.27","澄みきった, 明るい; 明瞭（めいりょう）な, ","6.52","net(8.79) klar(2.27) likvid(100)"
"勇","brav","8.4","勇敢な, 勇ましい, りりしい; 実直な, 律義","kuraĝ","2.77","勇気ある, 勇敢な, 度胸のある, 元気な","5.63","brav(8.4) kuraĝ(2.77)"
"方","kub","8.9","【数】立方体; 【数】立方; サイコロ, =ĵe","direkt","3.27","方向; 方位, 方角","5.63","kub(8.9) direkt(3.27) kvadrat(7.9) recept(8.4)"
"建","fond","8.4","［他］創立する, 創設する, 創建する; 根拠を","konstru","2.77","［他］建造する, 建築する, 建設する; 組み立","5.63","fond(8.4) konstru(2.77)"
"颜","farb","8.4","絵具, 顔料, ペンキ","vizaĝ","2.77","顔, 顔面; 顔つき, 顔色; 《転》正面; 《","5.63","farb(8.4) vizaĝ(2.77) faci(100)"
"团","mas","8.9","かたまり（塊）; 集積, 総体; 【美】マッス;","grup","3.77","グループ, 小集団, 群れ","5.13","mas(8.9) bul(7.9) grup(3.77) trup(8.9) solidar(8.9) regiment(9) bolus(100) aglomer(100) konglomer(100)"
"乳","mam","8.4","【解】乳房, ちぶさ","lakt","3.27","乳, 牛乳; 乳状の液","5.13","mam(8.4) lakt(3.27) cic(100) emulsi(100)"
"土","grund","7.9","土壌, 土地; 地盤, 地面, 土台; 水底; ","sabat","3.77","土曜日; （ユダヤ教の）安息日","4.13","grund(7.9) sabat(3.77) saturn(100)"
"诉","akuz","8.9","［他］【法】告発する, 告訴する; （一般）非難","plend","4.83","［自］苦痛を訴える; 不満を訴える, 文句を言う","4.07","akuz(8.9) plend(4.83) apel(100) reklamaci(100)"
"例","kaz","8.9","【Ｇ】格; 【法】訴訟事件; 事例; 【医】症例","ekzempl","4.83","例, 実例; （語の）用例; 模範, 手本","4.07","kaz(8.9) ekzempl(4.83)"
"独","unik","8.9","類のない, 特異な, 独特の, 独自の; 唯一の","apart","4.83","別の, 別々の; 特別の","4.07","unik(8.9) apart(4.83)"
"法","jur","8.4","【法】法, 法律","rimed","4.33","手段, 方法, 方策; （救済・回復のための）対","4.07","jur(8.4) metod(6.83) rimed(4.33) metodik(100)"
"员","membr","6.33","会員, 一員, 構成員, メンバー; （構成）要","an","2.54","［接尾辞］（構成員・住民・信奉者を示す）, >>","3.79","membr(6.33) an(2.54) komiz(100)"
"园","park","6.83","公園; 大庭園; 狩猟園; （軍・工業）集積所,","ĝarden","3.27","庭, 庭園; ～園","3.56","park(6.83) ĝarden(3.27)"
"复","kopi","8.79","［他］写しとる, 複写する, 模写する; 【情】","ripet","5.33","［他］繰り返す, 反復する; 繰り返して言う; ","3.46","kopi(8.79) ripet(5.33) komplik(8.9) kompleks(8.79) restau^r(100) faksimil(100) anafor(100) recidiv(100) reprograf(100)"
"底","fon","8.79","背景; 下地; 【理】ホン（音の大きさの単位）","fund","5.33","底; 奥; 背景; 《転》どん底","3.46","fon(8.79) fund(5.33)"
"尊","dign","8.79","威厳, 尊厳; 品位, 自尊心","estim","5.33","［他］尊敬する, 尊重する, 高く評価する, >","3.46","dign(8.79) estim(5.33)"
"长","estr","5.67","［接尾辞］（長を示す）, >>urb〜o, >>","long","2.27","（空間的・時間的に）長い; 【声】長音の","3.4","estr(5.67) long(2.27) kapitan(100)"
"突","impet","9","［自］突進する, 激しく動く","subit","5.83","突然の, 不意の, 急な","3.17","impet(9) subit(5.83) sturm(100)"
"响","klak","8.79","［自］かちかち音をたてる（ぶつけて乾いた短い音を","sonor","5.67","［自］（鐘などが）鳴り響く, 響きわたる; （鐘","3.12","klak(8.79) laŭt(6.33) sonor(5.67) bac(100)"
"喂","he","8.79","［間］おい！, もしもし！（呼びかけ・注意）; ","ho","5.67","［間］（驚き・強い感情）おお！, まあ！; （呼","3.12","he(8.79) ho(5.67) hoj(100)"
"笔","penik","8.4","絵筆, 筆, はけ; =kvasto; =gra","krajon","5.33","鉛筆","3.07","penik(8.4) krajon(5.33)"
"危","kriz","8.4","危機, 重大局面; 【医】（病気の）急変, 発作","danĝer","5.33","危険, 危難","3.07","kriz(8.4) danĝer(5.33)"
