root	final	kind	rationale
abrotan	艾	existing_single	ヨモギ属。moks=艾(absint=苦艾)へ
adonid	草	existing_single	キンポウゲ科草本。ranunkol等=草へ
agapant	花	existing_single	ヒガンバナ科。同科amarilid=花へ
agarik	菌	existing_single	ハラタケ属。キノコ属の既定字は菌
agrimoni	草	existing_single	バラ科草本。fragari/potentil=草へ
agropir	麦	existing_single	コムギ連。同連elim/horde=麦へ
agrostem	石	existing_single	ナデシコ科。diant(石竹)=石へ
agrostid	禾	existing_single	イネ科の野草。gramin=禾へ
ailant	木	existing_single	ニガキ科高木。漆は別科で不可、木へ
akile	菊	existing_single	キク科。同属ptarmik=菊へ
akirant	草	existing_single	ヒユ科の非食用草。kenopodi/sued=草へ
akvilegi	草	existing_single	キンポウゲ科草本。ranunkol等=草へ
albumen	乳	existing_single	胚乳。核字の乳(lakt)へ
alc^emil	草	existing_single	alkemilと同語。バラ科草本で草
alf	茅	existing_single	エスパルトと同一草。espart=茅へ
alkemil	草	existing_single	バラ科草本。fragari/potentil=草へ
aln	桦	existing_single	ハンノキ。同亜科betul=桦へ
alpak	驼	existing_single	ラクダ科。同科kamel=驼が最近縁の既存単字
amianti	草	existing_single	シュロソウ科草本。同科veratr=草へ
ampelops	葡	existing_single	ノブドウ。ブドウ科vit=葡へ
anelid	虫	existing_single	環形動物門。虫字はverm(蠕虫)=虫の系
angvis	龙	existing_single	アシナシトカゲ。無足のakonti等トカゲ=龙
ankuz	草	existing_single	ムラサキ科草本。borag等=草へ
antemid	菊	existing_single	キク科カミツレ類。菊へ
anter	药	existing_single	葯。花药の核字である药(oficin)へ
antirin	花	existing_single	キンギョソウ。観賞花卉群irid等=花へ
araŭkari	杉	existing_single	南洋杉。針葉樹abi=杉へ
ardizi	木	existing_single	マンリョウ。常緑低木で木へ
aristoloki	草	existing_single	ウマノスズクサ。草本つるで草へ
artemizi	艾	existing_single	ヨモギ属。moks=艾(absint=苦艾)へ
asfodel	花	existing_single	キジカクシ目の観賞花。amarilid=花へ
askalon	葱	existing_single	シャロット。ŝalot/cep/alium=葱と同属
asperul	草	existing_single	アカネ科草本。草へ
astragal	豆	existing_single	ゲンゲ属。マメ科fab/fazeol=豆へ
atripl	草	existing_single	ハマアカザ。同亜科kenopodi/sued=草へ
au^rikul	花	existing_single	サクラソウ科。同科ciklamen=花と共有
azar	草	existing_single	ウマノスズクサ科に科別字なし。草本の既定字
babirus	猪	existing_single	イノシシ科。apr/su=猪と同科
basi	草	existing_single	ヒユ科。同科kenopodi=草と整合
bast	皮	existing_single	靭皮。同じ皮層のkortik=皮と共有
bazilisk	龙	existing_single	怪蛇かつイグアナ類。drak/igvan=龙
begoni	花	existing_single	観賞草花。balzamin/ciklamen等の花に合流
beladon	颠	existing_single	同一植物の属語根atrop=颠と同一表示
blit	菜	existing_single	ヒユ科の葉野菜。amarant=菜と整合
boa	蛇	existing_single	ボア科。同科anakond=蛇に合わせる
botau^r	鸟	existing_single	サンカノゴイはサギ科。同科ardeも鸟
bulbil	球	existing_single	珠芽=小球根。派生元bulb=球と共有
buldog	犬	existing_single	イヌ品種。dog/ŝpic等の品種も犬
c^impanz	猩	existing_single	ヒト科。goril=猩と同亜科で最近縁
cembr	松	existing_single	Pinus同属のpin=松
centau^re	菊	existing_single	キク科属。種cejan=蓝菊の上位で菊
cerefoli	伞	existing_single	Anthriscus同属のantrisk=伞
citiz	豆	existing_single	マメ科。科別字の豆
civet	兽	existing_single	ジャコウネコ科。同属viver=兽
datur	茄	existing_single	同属stramoni=茄。ナス科既定字
delfini	草	existing_single	キンポウゲ科。ranunkol等=草と整合
desmodi	豆	existing_single	マメ科。科別字の豆
drakunkol	草	existing_single	サトイモ科。arum/anturi=草と整合
ebol	毒	existing_single	ウイルス。virus=毒(前毒)の上位に合わせる
edelvejs	菊	existing_single	キク科。科別字の菊
egopodi	伞	existing_single	セリ科。科別字の伞
eki	草	existing_single	ムラサキ科。科別字なくborag=草と整合
ekinokl	粟	existing_single	ヒエ属。同族の雑穀panic=粟と共有
ekvil	鱼	existing_single	イカナゴ科に専用字なし。汎用鱼
eleagn	木	existing_single	グミ科。同科hipofe=木
enad	鸽	existing_single	ヒメモリバトはColumba属。kolombと同属
enant	芹	existing_single	セリ属。同科同族celeri/api=芹と共有
epilobi	花	existing_single	アカバナ科。同科enoter=花
epizooti	疫	existing_single	獣の流行病。epidemi/pest=疫と同概念
erantid	草	existing_single	キンポウゲ科。ranunkol等=草
eringi	伞	existing_single	セリ科。科別字の伞
eriobotri	果	existing_single	ビワ。同族mespil=果(梨はpir占有)
eriofor	草	existing_single	カヤツリグサ科。ciper/scirp=草
erizim	草	existing_single	アブラナ科の野草。kres等=草
eruk	菜	existing_single	アブラナ科の食用葉菜。菜
estragon	艾	existing_single	Artemisia。moks=艾、absint=苦艾と同属
fakoc^er	猪	existing_single	イノシシ科イボイノシシ。apr=猪
falar	草	existing_single	同属の異綴falarid=草に合わせる
falarop	鸟	existing_single	ヒレアシシギ。専用字なし汎用鸟
farbit	草	existing_single	アサガオ=Ipomoea。同属ipome=草
fasciol	虫	existing_single	寄生吸虫。verm=虫、条虫/血虫と同層
fatsi	木	existing_single	ウコギ科。同科arali=木
felandri	芹	existing_single	Oenanthe同属。上位enant=芹に合わせる
feloid	猫	existing_single	ネコ科の総称。felis/kat=猫と同科
fenkol	伞	existing_single	セリ科。科別字の伞
ferol	伞	existing_single	セリ科。近縁ferolag=伞と同じ
festuk	草	existing_single	イネ科の野草。既定字の草
filant	草	existing_single	旧トウダイグサ科。euforbi=草と整合
filokser	虫	existing_single	ネアブラムシ。afid 等と同じ虫
fimbril	纹	existing_single	房状へり。同義のfranĝ=纹を共有
flakurti	果	existing_single	熱帯果樹。科別字なくmespil等の果
foin	鼠	existing_single	イタチ科テン。mustel/mel=鼠
foliol	叶	existing_single	小葉。葉部位のlob/limb=叶と共有
fragmit	苇	existing_single	ヨシ=kano。同一植物のkan=苇
fraksen	木	existing_single	モクセイ科に科別単字なし。木本の木
frangol	木	existing_single	同属ramn=木と同一表示
fraterkul	鸟	existing_single	ウミスズメ科。alka/pufinも鸟
fringel	雀	existing_single	マヒワはkardelと同属。アトリ科の雀
fuksi	花	existing_single	アカバナ科。同科enoter=花
fuligul	鸭	existing_single	キンクロハジロはカモ科。anas=鸭と同科
fumari	草	existing_single	ケシ科。koridal/papav=草
fur	鼠	existing_single	ケナガイタチ変種。原種putor=鼠
galeopitek	兽	existing_single	皮翼目。同一動物kaguang=兽に合わせる
gastornit	鸟	existing_single	絶滅巨鳥。隆鸟は別系統なので汎用鸟
gek	龙	existing_single	ヤモリ。scink/agam等トカゲ類=龙
genist	豆	existing_single	マメ科。科別字の豆
genot	兽	existing_single	ジャコウネコ科。同科viver=兽
georgin	菊	existing_single	同一植物dali=菊と同一表示
gerbil	鼠	existing_single	ネズミ科。mus/rat=鼠と同科
geum	草	existing_single	バラ科の草本。同科potentil/fragari=草
gipaet	鹰	existing_single	ヒゲワシはタカ科。akcipitr/milvと同科
gladiol	花	existing_single	アヤメ科。同科irid・krokus=花を共有
glareol	鸟	existing_single	ツバメチドリ科。専用字なし汎用鸟
glau^ci	草	existing_single	ケシ科の草本。papav=草に合わせる
glekom	草	existing_single	シソ科の草本。最近縁nepet=草
gliceri	禾	existing_single	イネ科の野草。gramin=禾を共有
globulari	草	existing_single	小草本。近縁veronik・digital=草
gnu	羚	existing_single	ウシ科レイヨウ類。antilop=羚
gramine	禾	existing_single	イネ科=禾本科。gramin=禾と同義
grifon	犬	existing_single	犬品種。dog/ŝpic=犬と同層
gul	鼠	existing_single	イタチ科クズリ。mustel/mel=鼠
gurnard	鱼	existing_single	ホウボウ科。同科triglも鱼
gus^	豆	existing_single	マメ科の莢。同義語legumen=豆
harpi	雕	existing_single	オウギワシは鷲。agl=雕と同類
hedisar	豆	existing_single	マメ科。別綴hedizarが既に豆
heliantem	草	existing_single	ハンニチバナ科の草本。同科cist=草
helikriz	菊	existing_single	キク科。aster等と同じ科別字菊
helvel	菌	existing_single	ノボリリュウ属。キノコ属の既定字は菌
hemerokal	草	existing_single	萱草(多年草)。近縁alo=草
hemerokalid	草	existing_single	キスゲ属。hemerokalと同一で草
hemion	马	existing_single	アジアノロバ。同種onagr=马、kulanも马
herakle	伞	existing_single	セリ科。umbel・angelik等と同じ伞
hermini	蛾	existing_single	ヤガ科の一群。mote/bombiks=蛾
hidrange	木	existing_single	アジサイ科の花木。kornus等の木本と同字
hien	兽	existing_single	ハイエナ科。専用字なく食肉獣の兽
hilum	脐	existing_single	種のへそ・解剖の門。umbilik=脐と同義
himeni	膜	existing_single	子実層。膜菌/膜翅と同じ himen=膜
hiperik	草	existing_single	オトギリソウ科の草本。科別字なし
histrik	鼠	existing_single	齧歯目ヤマアラシ。mus/rat=鼠
hormin	草	existing_single	シソ科の高山草本。nepet=草
hortensi	木	existing_single	hidrangeと同種の花木。同じ木
hortulan	雀	existing_single	Emberiza属。emberiz=雀と同属
hotujni	草	existing_single	ドクダミ科の草本。科別字なし
huz	鱼	existing_single	チョウザメ科。sturgと同科で鱼
ibeks	羊	existing_single	Capra属。kapr=羊と同属
ignam	薯	existing_single	食用塊根。maniok=薯と同類
iksod	虫	existing_single	マダニ科。同群akar=虫
ilici	木	existing_single	シキミ属の木本。科別字なし
indigofer	豆	existing_single	マメ科。科別字の豆
jasmen	木	existing_single	モクセイ科の低木。同科forsiti=木
junk	草	existing_single	イグサ科。同科luzul=草
kalendul	菊	existing_single	キク科。科別字の菊
kalikl	杯	existing_single	副萼。kalik=杯を共有
kalistef	菊	existing_single	キク科。同一植物のaster=菊
kampanul	草	existing_single	キキョウ科の草本。同型digital=草
kampec^	豆	existing_single	マメ科の染料木。科別字の豆
kanaben	雀	existing_single	ムネアカヒワ。kardel/pirolと同群の雀
kapibar	鼠	existing_single	齧歯目カピバラ。mus/rat=鼠
kapitul	头	existing_single	頭状花序。kap/cefal=头と同義の頭
kapsel	草	existing_single	アブラナ科の野草。alis・drab=草
kardamin	草	existing_single	アブラナ科の野草。arabis=草
kardon	菜	existing_single	食用アザミ。同属artis^ok=菜
karlin	菊	existing_single	キク科アザミ類。kardu・cirsi=菊
karpen	木	existing_single	カバノキ科。同亜科koril=木
karvi	伞	existing_single	セリ科。同属karum=伞
keirant	草	existing_single	アブラナ科。同種keir・matiol=草
kelidoni	草	existing_single	ケシ科の草本。papav=草
kerkedul	鸭	existing_single	シマアジはマガモ属。anas=鸭と同属
kiker	豆	existing_single	マメ科の食用豆。科別字の豆
kinu	麦	existing_single	擬似穀物(藜麦)。ソバfagopir=麦
kladoni	菌	existing_single	地衣類。同類usne・parmeli=菌
klangul	鸭	existing_single	コオリガモはカモ科。anasと同科で鸭
klemat	草	existing_single	キンポウゲ科。同属klematit=草
klematid	草	existing_single	klematと同一。同属klematit=草
koal	兽	existing_single	有袋類。同目falanger=兽
kobaj	鼠	existing_single	齧歯目テンジクネズミ。mus/rat=鼠
kojot	狼	existing_single	=prerilupo。lup=狼とCanis属で最近縁
kojp	鼠	existing_single	齧歯目ヌートリア。mus/rat=鼠
koka	木	existing_single	コカ。同属eritroksil=木に合わせる
koleopter	甲	existing_single	鞘翅目。skarab=甲と同じ甲虫字
komatul	虫	existing_single	ウミシダ。同群antedon=虫に合わせる
komisur	结	existing_single	既存単字结(lig=結ぶ)を共有。交連=連結部
konferv	藻	existing_single	糸状緑藻の旧称。klorel等=藻
konifer	松	existing_single	針葉樹類。pin=松、雪松/落松等の族
koregon	鱼	existing_single	サケ科。salm/trutと同科で鱼
kramb	菜	existing_single	アブラナ科の食用浜菜。菜
kratag	木	existing_single	バラ科の木本。同連sorbus・pirus=木
krepid	菊	existing_single	キク科タンポポ類。taraksak=菊
kriptogam	植	existing_single	隠花植物は植物の一群。上位のfit=植に合わせる
kriptoteni	芹	existing_single	セリ科ミツバ(鸭儿芹)。api/celeri=芹と近縁
krizalid	偶	existing_single	チョウの蛹。同義の pup=偶
krotal	蛇	existing_single	クサリヘビ科。同亜科botrop=蛇
krucifer	菜	existing_single	アブラナ科旧称。brasik=菜の科字
ksifi	鱼	existing_single	メカジキ。剣系熟語は不在、汎用鱼
kumin	伞	existing_single	セリ科。anet/dauk/karum=伞と同科
kup	杯	existing_single	吸い玉・吸盤。杯状器具でkalik=杯へ
kupul	壳	existing_single	殻斗。ŝel/krust=壳と同義の殻
kvino	草	existing_single	アカザ属の一種。kenopodi=草と同属
lagenari	瓜	existing_single	ウリ科。kukurb/melon/kukum=瓜と同科
lagri	甲	existing_single	ハムシダマシは甲虫。skarab=甲
laminari	藻	existing_single	褐藻コンブ。fuk/sargas/alg=藻と同類
laniari	犬	existing_single	牧畜犬の品種。dog/ŝpic=犬
leguminoz	豆	existing_single	マメ科。legumen/fab=豆と同
lent	豆	existing_single	マメ科レンズマメ。fazeol=豆と同科
leontod	菊	existing_single	キク科タンポポ類。taraksak=菊と近縁
lepidopter	蝶	existing_single	鱗翅目。papilion/pierid=蝶の上位
lepism	虫	existing_single	シミ。原始的昆虫で最近縁は虫
lian	蔓	existing_single	つる植物。sarment=蔓と同義
liknid	石	existing_single	ナデシコ科。diant=石と同科
likorid	花	existing_single	ヒガンバナ科。amarilid=花と同科
lima	蚌	existing_single	ミノガイは二枚貝。ostr/mitul=蚌と同群
litorin	贝	existing_single	海産巻貝。汎用字贝(konk/folad等)へ
lobeli	草	existing_single	キキョウ科の草本。科字なく草
lodikl	鳞	existing_single	鱗被。skvam=鳞と同じ鱗片
lojt	鱼	existing_single	タラ科。gad/molvと同科で鱼
loksi	雀	existing_single	イスカはアトリ科。kardelと同科で雀
lolig	贝	existing_single	頭足類。arkiteu^t/eledon=贝(軟体)
luf	瓜	existing_single	ウリ科ヘチマ。kukurb=瓜と同科
lumbrik	虫	existing_single	ミミズ=tervermo。verm=虫の鏡像
lunari	菜	existing_single	アブラナ科。brasik/krucifer=菜
lupen	豆	existing_single	マメ科。fab=豆と同科
makak	猴	existing_single	マカク属。同属resus=猴
