# 使用中の単字 = 2260字 / 使用中の master表示 = 5362種
# ★候補にしてよいのは この一覧に載っている字のみ。載っていない字は使わない。

## [A] 生物に使われている字(最近縁字を選ぶ際の第一候補)
字	語根数	既に割り当てられている代表例(語根=語釈)
草	352(生物320)	herb={Ｂ}草;牧草,芝草;【植】草本 / gliciriz={Ｏ}【植】カンゾウ（甘草）（属） / medikag=【植】ウマゴヤシ（属）,>>luzerno / melis={Ｏ}【植】メリッサ,セイヨウヤマハッカ（属 / lavend={Ｏ}【植】ラベンダー（属）
木	271(生物249)	platan={Ｂ}【植】プラタナス,スズカケノキ（篠懸の / arbust={Ｏ}低木,小低木;【植】小低木 / cidoni={Ｏ}【植】マルメロ / peg={Ｏ}【鳥】キツツキ（啄木鳥）（科の総称）; / kapok=【植】カポック,パンヤ綿（クッション・救命胴
鸟	150(生物130)	motacil=【鳥】セキレイ（鶺鴒）（属）,=vostsk / gavi=【鳥】=kolimbo（アビ） / hesperornit=【動】【PIV】G. (Genro) (He / greb=【動】【PIV】Podicipo k par / epiornit=【鳥】エピオルニス（絶滅した大型の走鳥類の鳥
虫	130(生物100)	larv={Ｂ}【虫】幼虫;【動】幼生,>>imagi / cim={Ｏ}【虫】ナンキンムシ（南京虫）;カメムシ / teni={Ｏ}【動】ジョウチュウ（条虫）,サナダムシ / sau^r=【動】【PIV】Kn (Kolektiva  / askarid=【動】回虫
鱼	114(生物93)	ezok={Ｂ}【魚】カワカマス / gobi={Ｂ}【魚】タイリクスナモグリ（属）,川ハゼ / gasteroste=【魚】イトヨ（属）;トゲウオ,=dornfi / pleu^ronekt={Ｏ}【魚】ツノガレイ（属）,>>platf / lofi=【動】【PIV】G. (Genro) (Lo
菌	130(生物74)	fung={Ｂ}【植】キノコ / kandid=【植】【PIV】G. (Genro) (Ca / kantarel=【菌】アンズタケ（属） / hif=【植】【PIV】Fadenforma ele / trikofit=【植】【医】【PIV】G. (Genro) 
兽	77(生物60)	teri=【動】【PIV】Subklaso (Ther / fau^n=【動】動物相,ファウナ,=bestaro / dazipod=【動】【PIV】G. (Genro) (Da / mirmekofag=【動】オオアリクイ（大蟻喰）,=formik / falanger=【動】【PIV】G. (Genro) (Ph
菊	55(生物52)	krizantem={Ｏ}【植】キク（の類）（菊）;《般》菊 / arnik={Ｏ}【植】ウサギギク（兎菊）（属）;アルニ / kamomil={Ｏ}【植】カミツレ,カミルレ（_Matri / kompozit=【植】=asteracoj（キク科） / cejan={Ｏ}【植】ヤグルマギク（矢車菊）
鼠	37(生物29)	mus={Ｂ}【動】ハツカネズミ（二十日鼠）（属）; / rat={Ｂ}【動】クマネズミ（熊鼠）（属）,ドブネ / sciur={Ｂ}【動】リス（栗鼠）（科の総称） / makrop=【動】カンガルー（属）,>>kanguruo / salvi={Ｏ}【植】サルビア（属）,アキギリ（属）;
猴	31(生物29)	kiv=《Ｎ》【果】キウイ / resus=【動】【PIV】Sp. (Specio) d / aktinidi=【植】【PIV】G. (Genro) (Ac / ceb=【動】【PIV】G. (Genro) (Ce / kalitriks=【動】【PIV】G. (Genro) (Ca
