# ★このファイルに載っている表示だけが使用可能。新しい組み合わせを作ってはいけない。

## [1] 既存の単字master = 2091字 (生物に使われているものを先頭に)
字	語根数	既に何に割り当てられているか
草	328	herb={Ｂ}草;牧草,芝草;【植】草本 / sued=【植】【PIV】G. (Genro) (Suae / kenopodi=【植】アカザ（属） / ciper=【植】【PIV】G. (Genro) (Cype / rut={Ｏ}【植】ヘンルーダ（属） / eu^forbi=【植】トウダイグサ（属）
木	249	koril=【植】【PIV】G. (Genro) (Cory / sorp={Ｏ}【植】ナナカマド（実） / kornus=【植】ミズキ（属）;サンシュユ,ミズキ / tili={Ｏ}【植】ボダイジュ（菩提樹）,シナノキ（科木 / muskat={Ｏ}【植】ナツメグ,ニクズク（の種子） / kola=【料】コーラ（飲料）,=kolaaj^o;【植】
鸟	132	motacil=【鳥】セキレイ（鶺鴒）（属）,=vostskua / perdrik={Ｏ}【鳥】ヤマウズラ（属）;イワシャコ（属）, / kivi=【鳥】キウイ / majn=【鳥】キュウカンチョウ（九官鳥）（種） / pelikan={Ｏ}【鳥】ペリカン（属） / skolop={Ｏ}【鳥】ヤマシギ（属）
虫	99	akar={Ｏ}《般》ダニ（壁蝨）;【動】コナダニ（粉ダニ / alcioni=【動】【PIV】G. (Genro) (Alcy / demodeks=【動】【PIV】G. (Genro) (Demo / argonau^t=【動】タコブネ（属） / trombidi=【動】【PIV】G. (Genro) (Trom / lau^s=【動】【PIV】Insekto nesaltan
鱼	93	ezok={Ｂ}【魚】カワカマス / gobi={Ｂ}【魚】タイリクスナモグリ（属）,川ハゼ（通 / raj={Ｏ}【魚】ガンギエイ（属）;《般》エイ（総称） / mugil=【魚】ボラ（鯔）（科の総称） / kalmar=【動】【PIV】Kn (Kolektiva no / bram={Ｏ}【魚】ブリーム（コイ科の淡水魚）
菌	87	fung={Ｂ}【植】キノコ / kandid=【植】【PIV】G. (Genro) (Cand / armilari=【植】【PIV】G. (Genro) (Armi / astre=【植】【PIV】G. (Genro) (Astr / au^rikulari=【植】【PIV】G. (Genro) (Auri / botrit=【植】【PIV】G. (Genro) (Botr
兽	69	teri=【動】【PIV】Subklaso (Theria / dazipod=【動】【PIV】G. (Genro) (Dasy / mirmekofag=【動】オオアリクイ（大蟻喰）,=formikur / falanger=【動】【PIV】G. (Genro) (Phal / lutr={Ｏ}【動】カワウソ（属）（川獺） / viver=【動】【PIV】G. (Genro) (Vive
菊	51	krizantem={Ｏ}【植】キク（の類）（菊）;《般》菊 / kompozit=【植】=asteracoj（キク科） / aster=【植】シオン（紫苑）（属） / lekant={Ｏ}【植】マーガレット,モクシュンギク（種） / agerat=【植】【PIV】G. (Genro) (Ager / ajapan=【植】【PIV】G. (Genro) (Ayap
猴	29	resus=【動】【PIV】Sp. (Specio) de  / ceb=【動】【PIV】G. (Genro) (Cebu / kalitriks=【動】【PIV】G. (Genro) (Call / kolob=【動】【PIV】G. (Genro) (Colo / cerkopitek=【動】【PIV】G. (Genro) (Cerc / aluat=【動】【PIV】G. (Genro) (Alou
鼠	29	mus={Ｂ}【動】ハツカネズミ（二十日鼠）（属）;《般 / rat={Ｂ}【動】クマネズミ（熊鼠）（属）,ドブネズミ / mel={Ｏ}【動】アナグマ（属）（穴熊） / vizon=【動】ミンク,（特に）アメリカミンク / ermen={Ｏ}【動】オコジョ,エゾイタチ,アーミン;=e / mefit=【動】シマスカンク（属）;（一般に）スカンク
伞	25	umbel=【植】散形花序 / angelik={Ｏ}【植】アンゼリカ;シシウド（属） / anet=【料】ディル;【植】イノンド,ヒメウイキョウ / umbelifer=【植】散形科（セリ科の古称）,=apiacoj / ami=【植】【PIV】G. (Genro) (Ammi / antrisk=【植】【PIV】G. (Genro) (Anth
藻	20	bangi=【植】【PIV】G. (Genro) (Bang / fuk={Ｏ}【植】ヒバマタ（属） / ulv=【植】【PIV】G. (Genro) (Ulva / sargas={Ｏ}【植】ホンダワラ属（の海藻） / cerami=【植】【PIV】G. (Genro) (Cera / gonidi=【植】【PIV】(ark. (arkaismo,
豆	18	fab={Ｂ}【植】ソラマメ（空豆）;《般》豆（まめ） / fazeol={Ｂ}【植】インゲンマメ（隠元豆）（属） / legumen=【植】=gus^o（さや） / antilid=【植】【PIV】G. (Genro) (Anth / apios=【植】【PIV】G. (Genro) (Apio / fazeolus=【植】【PIV】G. (Genro) (Phas
贝	19	konk={Ｏ}【動】貝殻,（カタツムリの）殻;《転》貝殻 / folad=【貝】ニオガイ（属） / arkiteu^t=【動】【PIV】G. (Genro) (Arch / dorid=【動】【PIV】Nudbranka mara g / eledon=【動】【PIV】G. (Genro) (Eled / gujdak=【動】【PIV】Kn (Kolektiva no
虾	19	kankr={Ｂ}【動】ザリガニ（の類） / leandr=【動】【PIV】G. (Genro) (Lean / salikok={Ｏ}【動】コエビ（類）;《般》エビ（海老，蝦） / pandal=【動】【PIV】G. (Genro) (Pand / pene=【動】【PIV】G. (Genro) (Pena / armadilidi=【動】【PIV】G. (Genro) (Arma
果	20	nuks={Ｂ}【植】堅果,木の実,ナッツ,>>jugla / frag={Ｂ}【果】オランダイチゴ（実）;《般》イチゴ（ / mirtel={Ｂ}【植】ビルベリー（コケモモの類）;《般》ブ / kurm=【植】【PIV】Speco de pirform / mespil={Ｏ}【果】セイヨウカリン（の実） / lici=【植】クコ（属）（枸杞）
龙	19	drak={Ｏ}竜,ドラゴン;【動】トビトカゲ（属）;《廃 / varan=【動】オオトカゲ（科） / igvan=【動】イグアナ（属） / agam=【動】【PIV】G. (Genro) (Agam / scink=【動】【PIV】G. (Genro) (Scin / akonti=【動】【PIV】G. (Genro) (Acon
兰	15	orkid=【植】ハクサンチドリ（属）,オルキス;【解】精巣 / orkide={Ｏ}《般》【植】ラン（蘭）（科の総称） / angrek=【植】【PIV】G. (Genro) (Angr / bleti=【植】【PIV】G. (Genro) (Blet / cimbidi=【植】【PIV】G. (Genro) (Cymb / cipripedi=【植】【PIV】G. (Genro) (Cypr
瓜	14	melon={Ｂ}【果】メロン;【植】メロン（種） / kukum={Ｂ}【植】キュウリ（種）;キュウリの果実 / kukurb={Ｂ}【植】カボチャ（属） / brioni=【植】【PIV】G. (Genro) (Bryo / citrol=【植】【PIV】G. (Genro) (Citr / ekbali=【植】【PIV】G. (Genro) (Ecba
蛇	14	kolubr={Ｏ}【動】コルブラ,ムチヘビ（ナミヘビ科の無毒 / elap=【動】【PIV】G. (Genro) (Elap / akroh^ord=【動】【PIV】Reptilio (g. (ge / anakond=【動】【PIV】Grandega sufokse / botrop=【動】【PIV】G. (Genro) (Both / bungar=【動】【PIV】G. (Genro) (Bung
茄	10	solan=【植】ナス（茄子）（属） / alkekeng=【植】【PIV】Sp. (Specio) de  / fizalid=【植】【PIV】G. (Genro) (Phys / hiosciam=【植】【PIV】Hiskiamo. / likopersik=【植】【PIV】G. (Genro) (Lyco / petuni=【植】【PIV】G. (Genro) (Petu
蛙	10	ran={Ｂ}【動】トノサマガエル（殿様蛙）（属）;《般 / batrak=【動】無尾類,=senvostuloj / hil=【動】アマガエル（雨蛙）（属）,=verda r / salamandr={Ｏ}【動】サンショウウオ（山椒魚）の類;サラマ / aksolotl=【動】【PIV】La larvo de la M / alit=【動】【PIV】G. (Genro) (Alyt
姜	9	alpini=【植】【PIV】G. (Genro) (Alpi / amom=【植】【PIV】G. (Genro) (Amom / eletari=【植】【PIV】G. (Genro) (Elet / etlinger=【植】【PIV】G. (Genro) (Etli / galang=【植】【PIV】1 (ss (striktase / kardamom=【植】【PIV】1 (ss (striktase
蛛	8	arane={Ｂ}【動】クモ（蜘蛛） / terafoz=【動】【PIV】G. (Genro) (Ther / argiop=【動】【PIV】G. (Genro) (Argi / argironet=【動】【PIV】Araneulo (unuspe / avikulari=【動】【PIV】G. (Genro) (Avic / falangi=【動】【PIV】G. (Genro) (Phal
花	8	irid={Ｏ}【植】アヤメ（属、カキツバタ・ハナショウブ / gerani={Ｏ}【植】フウロソウ（属）;【園】=>pela / amarilid=【植】アマリリス / balzamin={Ｏ}【植】ホウセンカ（鳳仙花） / enoter=【植】マツヨイグサ（属）;月見草,宵待草（よいま / ciklamen=【植】シクラメン（属）
菜	8	brasik={Ｂ}【植】キャベツ,=kapobrasiko; / lap={Ｂ}【植】ゴボウ（種）（牛蒡）;ゴボウの実（と / artis^ok={Ｏ}【植】アーティチョーク,チョウセンアザミ; / amarant=【植】アマランサス,ハゲイトウ（葉鶏頭）,ヒユ / sabelik=【植】チリメンキャベツ,=krispa bras / brokol={Ｏ}【植】ブロッコリー
雀	6	kanari={Ｏ}【鳥】カナリア（種） / paser={Ｂ}【鳥】スズメ（雀）（属） / emberiz=【鳥】ホオジロ（属） / pirol={Ｏ}【鳥】ウソ（鷽） / kardel={Ｏ}【鳥】ゴシキヒワ（種）
鹿	5	cerv={Ｂ}【動】シカ（鹿，属）;シカ（科） / dama=【動】ダマジカ,=damcervo / kapreol={Ｏ}【動】ノロ（シカ科の動物の一種） / tragol=【動】【PIV】G. (Genro) (Trag / boac={Ｏ}【動】トナカイ,カリブー,馴鹿（じゅんろく
鹰	5	falk={Ｏ}【鳥】ハヤブサ（隼）（属） / akcipitr={Ｏ}《般》タカ（鷹）,>>falko,>>ag / bute=【鳥】ノスリ / niz={Ｏ}【鳥】ハイタカ（鷂）（種）,>>akcip / milv={Ｏ}【鳥】トビ（鳶）（属）,トンビ
麦	5	horde={Ｂ}【植】オオムギ（属） / fagopir=【植】ソバ（蕎麦）（属）;ソバの実 / elim=【植】エゾムギ（属） / spelt=【植】スペルト小麦（家畜飼料）
蜂	5	vesp={Ｂ}【虫】スズメバチ（雀蜂）（科の総称）;《般 / cinip=【動】【PIV】G. (Genro) (Cyni / krabr={Ｏ}【虫】モンスズメバチ,>>vespo / burd={Ｏ}【虫】マルハナバチ
葱	5	cep={Ｂ}【料】玉ネギ;【植】タマネギ / alium=【植】【PIV】G. (Genro) (Alli / ampelopraz=【植】【PIV】1 Kf. (Kultivofo / pore={Ｏ}【植】リーキ（種）,ニラネギ（韮葱）,ポロ
龟	5	testud={Ｂ}【動】カメ（亀）;【史】（古代ローマの）亀 / emid=【動】【PIV】Testudulo (Emys  / keloni=【動】ウミガメ（科の総称）,=martestud / karet=【動】【PIV】Mara testudulo (
蝉	5	cikad={Ｂ}【虫】セミ（蝉） / cukcukcikad=《Ｎ》【虫】ツクツクボウシ（speco de c / kanacikad=《Ｎ》【虫】ヒグラシ（speco de cika / mincikad=《Ｎ》【虫】ミンミンゼミ（speco de ci
