root	proposal	tier	rationale	verdict	problem	fix
abrotan	木艾	3_compound	ヨモギ属キダチヨモギ。absint=苦艾の系	OK	良好。absint=苦艾/moks=艾の系で、木本性ヨモギを的確に表す。衝突なし。	
adonid	金莲	3_compound	キンポウゲ科。anemon=银莲の対、黄金花	OK	良好。anemon=银莲との金銀対は同科(キンポウゲ科)内の秀逸な対。同科のranunkol/akonit/helebor=草より情報量が多い。中国語で金莲花はTrolliusを指す点のみ軽微な誤友。	
agapant	蓝兰	3_compound	ムラサキクンシラン。青紫花のラン様草本	OK	留意: ラン科ではないが、konval=铃兰(スズラン)の前例通り兰は「ラン様観賞草本」として運用済み。cejan=蓝菊で蓝は色字として確立。衝突なし。	
agarik	原菇	3_compound	ハラタケ属=原茸。bolet=菇の系	OK	【参考】原はpra/proto/primar系だがpamp=原(草原)も既にあり「原野の菇」の読みは成立。ハラタケ=原茸と一致。野菇(sovaĝ=野)も空きなので不安なら代替可。	
agrimoni	金草	3_compound	バラ科キンミズヒキ。金色の花穂の草	OK	留意: バラ科草本は fragari/potentil/filipendul が全て草(裸)なので草は逃げでなく体系整合。ただし中国語正名は龙芽草/仙鹤草で、龙・芽・鹤は全てパレット内・未衝突。より忠実にするなら龙芽草も可。	(任意)龙芽草
agropir	野麦	3_compound	イネ科コムギ連カモジグサ=野生の麦	OK	良好。コムギ連なので麦(aven/horde/sekal)は妥当、野はvici=野豌豆/tetra等の前例あり。衝突なし。	
agrostem	麦仙	3_compound	ナデシコ科ムギセンノウ=麦仙翁の略	OK	良好。麦仙翁の略(翁はパレット外)。仙は裸の所有者がなく水仙/秋水仙/仙人掌のように植物名専用に使われており、機能形態素との衝突なし。	
agrostid	颖草	3_compound	イネ科ヌカボ属=剪股颖。glum=颖の系	OK	良好。glum=颖(現在1語根のみ)を活かし、中国名剪股颖の核を保持。イネ科でも穀類でないので麦を避けたのは適切。	
ailant	臭漆	3_compound	ニワウルシ=臭椿。urus^i=漆状の羽状葉	OK	良好。urus^i=漆、臭はcim(臭虫)の系。ニガキ科でウルシ科ではないが、和名ニワウルシ(庭漆)・中国名臭椿の双方を反映した名前鏡像で偽分解尊重の範囲。	
akile	菊	1_family	キク科ノコギリソウ属。同属ptarmik=菊	OK	良好。同属のptarmik(Achillea ptarmica)が既に菊、菊は51語根が共有する科レベルの裸字なので重複は仕様通り。	
akirant	牛节	3_compound	ヒユ科イノコズチ=牛膝。節が膨れる	OK	留意: 中国名牛膝の膝がパレット外のため节で代用。artik=节なので「牛の関節」と読めるが、節が膨れる特徴を的確に表す。ヒユ科の代表amarant=菜だが本種は食用でないため菜回避は妥当。	
akvilegi	鹰花	3_compound	オダマキ=aglofloro鷲の花、距が鷲爪状	NG	字が誤り。提案理由が=aglofloro(鷲の花)の鏡像だと明言しているが、マスターで agl=雕 であり 鹰 は akcipitr/falk/strig/vultur/grif の字。固定形態素描画の原則に反し、鏡像として成立していない。	雕花(未衝突を確認済み)。同科の銀/金蓮系に寄せるなら雕莲も可だが、aglofloro鏡像としては雕花が正。
albumen	胚乳	3_compound	植物の胚乳そのもの。胚+乳	OK	良好。embri=胚+乳で中国語・日本語の正式術語と一致。衝突なし。	
alc^emil	羽衣草	3_compound	=alkemilo。バラ科ハゴロモグサ=羽衣草	OK	良好。alkemilと同語の綴り異体で同一表示は正しい方針(patat/batat=甘薯、trikofit/trih^ofit=毛癣菌、kanguru/makrop=袋鼠の前例)。バラ科草本=草とも整合。	
alf	羽茅	3_compound	イネ科アフリカハネガヤ。espart=茅の近縁	OK	良好。espart=茅の近縁(Stipa)で和名・中国名の羽茅そのもの。同属stipは茎柄義で柄を取っているため衝突なし。	
alkemil	羽衣草	3_compound	バラ科ハゴロモグサ=羽衣草そのもの	OK	良好。和名ハゴロモグサ=羽衣草そのもの、alc^emilと同表示で正しい。衝突なし。	
aln	水桦	3_compound	カバノキ科ハンノキ。betul=桦、湿地生	OK	良好。betul=桦(現在1語根)を活かしたカバノキ科内の差別化で、湿地生の特徴も反映。衝突なし。	
alpak	羊驼	3_compound	ラクダ科;中国名羊驼(vikun驼と同属近縁)	OK		
amianti	毒蝇草	3_compound	ユリ科の有毒草本。殺蝿用(fly poison)	OK	留意: muŝ=蝇の唯一の生物用例が silen=蝇子草(ナデシコ科)で、字面が近く別科との偽近縁を招きうる。ただし同科veratr=草に対し「殺蝿性」という本種固有の識別情報を持ち、毒草(空き)より情報量が高い。現案で可。	
ampelops	野葡	3_compound	ブドウ科ノブドウ=野葡萄。vit=葡	OK	良好。vit=葡(裸)+野で野葡萄の略。衝突なし。	
anelid	环虫	3_compound	環形動物門;环(環形)+虫。teni条虫等と同型	OK		
angvis	蛇虎	3_compound	アシナシトカゲ科;蛇状+虎(lacert壁虎の虎)	NG	虎の単独masterはtigr=虎。虎がトカゲを指すのは壁虎(lacert)の内部だけで、蛇虎は『蛇+トラ』(末字が主要素=トラ)と誤読される。中国名の蛇蜥は蜥がパレット外。	蛇壁虎(lacert=壁虎を主要素にした鏡像。3字だが誤読なし)
ankuz	牛草	3_compound	=bovlango(牛の舌草)。ムラサキ科の草	OK	留意: 舌がパレット外のため bovlango の鏡像(牛舌草)が作れず牛草に後退。ムラサキ科は borag/simfit/pulmonari/cinoglos/konsolid が全て草(裸)なので草は体系整合であり逃げではない。medikag=牧草と字面が近いのみ注意。	
antemid	菊	1_family	キク科カミツレモドキ属。kamemel等=菊	OK	良好。同群のkamemel/matrikari等が既に菊。科レベル裸字の共有は仕様通り。	
anter	花药	3_compound	葯=花药。雄蕊の花粉嚢を担う部位	OK	留意: 药はmedikament/apotek/farmaciの字で「花の薬」とも読めるが、花药は中国語の標準植物学術語。polen=粉/囊を使う粉囊も可能だが標準性で現案が優る。衝突なし。	
antirin	金鱼草	3_compound	キンギョソウ=金鱼草そのもの	OK	良好。中国語正名そのもの。鱼は飽和群への逃げではなく名前の一部(金鱼=キンギョ)であり、fiŝ系の魚類と混同する構成でもない。	
apus	燕	1_family	アマツバメ科。同科salangan=金丝燕の燕	NG	裸の 燕 は既に hirund(ツバメ Hirundinidae)の固定字。apus はアマツバメ科(Apodiformes)で目レベルで別系統であり、同表示にすると読者は hirund と区別できない。しかも本プロジェクトは同じアマツバメ科の salangan を裸の 燕 ではなく 金丝燕 と修飾付きで描画しており、その先例にも反する（procelari=海燕, fring=燕雀, aven=燕麦 も全て修飾付き）。	雨燕（中国語のアマツバメ科の正名。雨 は pluv=雨 で既使用・雨云/雨计 の実績あり＝新字ではない。雨燕 はマスター内で未使用で衝突なし。ただし 雨 は palette.tsv の抜粋には未掲載なので採用時に実績確認を）
arau^kari	南杉	3_compound	ナンヨウスギ=南洋杉。pice=云杉の系	OK	良好。abi=杉/pice=云杉/cug=铁杉の針葉樹シリーズに整合、南洋杉の略。衝突なし。	
arbed	小树	3_compound	低木。arb=树より小、arbust=灌木と区別	OK	留意: arbust=灌木との語義境界がPEJVO自体で曖昧(arbed=低木/arbust=低木・小低木)。arb=树+小の構成は透明で、et=小/minor=小の前例に整合。衝突なし。	
ardizi	万两	3_compound	ヤブコウジ科マンリョウ=和名万両	OK	留意: 万=miria(万足/万米/百万)、两=ambaŭ(两性/两栖)という強い数詞・機能形態素の組合せで、系内読みでは植物情報がゼロ。ただしlili=百合(百=cent+合=kombin系)という同型の既成名前例があり、和名万両・中国園芸名黄金万两の実在性も担保される。採用可だが、系内可読性を重んじるなら赤い実+木本の合成に置換する余地あり。	(任意)红果木 — 红果はarbutが既取得のため単独不可、红果木/红子木はいずれも未衝突
arist	麦芒	3_compound	麦などの実の芒(のぎ)=麦芒	OK	留意: 芒はmang=芒果の構成字だが、麦芒は中国語で芒(のぎ)そのものを指す標準語。spik=穗/ament=穗とも衝突せず可。	
aristoloki	马铃草	3_compound	ウマノスズクサ=馬の鈴草そのもの	OK	留意: 中国正名の马兜铃は兜がパレット外のため不可。ĉeval=马+铃(konval=铃兰の鈴)で和名ウマノスズクサの正確な鏡像。马铃薯(ジャガイモ)と読み違える危険はあるがterpomは未割当で系内衝突はない。	
artemizi	艾草	3_compound	ヨモギ属=艾。moks=艾と区別し艾草	OK	良好。裸の艾は既にmoks(もぐさ)が保持、absint=苦艾/abrotan=木艾と揃う。既存割当のチャーンを起こさない解として妥当。	
asfodel	日光兰	3_compound	ツルボラン=中国名日光兰。ユリ様草本	OK	良好。中国語正名(日光兰属)そのもの。tag=日/lum=光/兰(konval=铃兰の緩用)で系内読みも破綻せず、衝突なし。	
askalon	葱	1_family	=ŝaloto(葱)と同一のネギ属。同字	OK	良好。マスターで ŝalot=葱 を実測確認。cep/alium/ampelopraz/pore と同じ葱の共有群に入る同義語根なので、同表示が正しい。	
asperul	车叶草	3_compound	アカネ科クルマバソウ=车叶草。輪生葉	OK	良好。中国語正名そのもの(輪生葉)。rad=轮ではなくĉar系の车だが名前としての実在性が優先され、衝突なし。	
aspid	冠蛇	3_compound	コブラ科Naja属;頸の冠(hood)+蛇。kobr眼镜蛇と別	OK		
astragal	莲豆	3_compound	マメ科ゲンゲ=蓮華草。豆科+蓮華状花	OK	留意: 莲はlotus/nelumb(裸)・nimfe=睡莲とハス類に強く結びついており偽近縁の懸念はあるが、豆でマメ科に確実に係留され、和名レンゲソウ(蓮華草)由来として説明可能。黄芪の芪・紫はパレット外で代替不能。	
atripl	海菜	3_compound	ヒユ科ハマアカザ。海浜生で若葉を食用	OK	良好。菜はlegom/brasik/spinac(菠菜)/bet(甜菜)/amarant と「食用草本」で運用されており、特に同科amarant=菜があるため海菜はヒユ科の海浜種として整合。中国語で海菜が海藻を指す点のみ軽微な誤友(藻は別字で確保済み)。	
au^rikul	厚樱草	3_compound	サクラソウ科アツバサクラソウ＝厚葉桜草	NG	(1)樱は本マップでĉeriz/meriz/sakur=桜(バラ科)に固定済み。Primula(サクラソウ科)は無縁で科レベルの誤友。(2)3字で冗長。(3)最大の問題は優先順位の逆転——上位語 primol(サクラソウ属, biolist 273行)が未割当のまま、その一種 au^rikul に3字を与えている。	保留。先に primol=报春(中国語正名 报春花属。报・春とも palette 収載)を決め、au^rikul は 厚报春 等の派生にする
azar	葵	2_superordinate	ウマノスズクサ科、和名フタバアオイの葵字	NG	葵(単字)は既に malv=葵(アオイ属)に占有されている(_kanji_map_master.tsv)。azar は Asarum(ウマノスズクサ科)で、アオイ科ではない。完全同一表示＋科レベルの誤友の二重欠陥。和名フタバアオイは日本語限定の呼称で、中国語 葵 は錦葵/向日葵を指す。	草(kenopodi/borag等と同じ科別字なし既定)。evocativeさを残すなら双葵(自由)だが双=ge/dual/ĝeminに固定済みで「双葉」は読み取れない
babirus	鹿猪	3_compound	イノシシ科;語釈シカイノシシ=鹿+猪(apr猪)	OK		
basi	草	2_superordinate	ヒユ科ホウキギの一年草、科別字なく草本字	OK	ヒユ科の既存割当は kenopodi=草, salsol=草, atripl未割当。同科の葉野菜 amarant のみ菜。ホウキギは食用主体でないので草で整合	
bast	皮	2_superordinate	樹皮内層の靭皮組織、皮の上位字	OK	皮(単字)は既に haŭt/fel/pelt/derm/dermat/kortik の6語根が共有。bast を足すと kortik(樹皮・皮質)と完全に同一表示になり区別が消える。ただし韧はpalette外、内皮は endoderm が占有済みで代案が無い。皮に同義層を積む運用は既存慣行どおりなので許容範囲	
bazilisk	王蛇	3_compound	伝説の蛇の王(basileus)。grif=狮鹰に倣う	OK		
begoni	草	2_superordinate	シュウカイドウ科の多年草、科別字なし	OK		
beladon	毒茄	3_compound	ナス科(茄)の猛毒植物、毒＋茄	NG	beladon は Atropa belladonna そのもので、同一植物の属語根 atrop が既に 颠(=颠茄の颠)に割当済み。毒茄では両者の同一性が切れる。中国語正名も 颠茄。毒芹(cikut)/毒参(koni)の毒Xパターン自体は妥当だが、既存整合を優先すべき	颠茄(自由。atrop=颠 + solan=茄 の鏡像で正名一致)
betonik	药苏	3_compound	シソ科Stachys(苏)の薬用種、漢名薬水蘇	OK	staki=水苏なので、苏だけでは staki 形態素に戻らない(苏単独はどの語根の表示でもない)。中国語正名は 药水苏。3字を許すなら 药水苏(自由)の方が固定形態素描画として整合	药水苏(任意)
blit	菜	1_family	ヒユ科の葉野菜、菠薐草(spinac)と同科	OK	同科(ヒユ科)の amarant=菜, spinac=菠菜, bet=甜菜 と整合。ただし菜は「食用葉菜」の上位字であって科別字ではない(legom/brasik/lap/artiŝok/sabelik/brokol/asparag が共有)ので、tier表示 1_family は 2_superordinate が正しい	
boa	卷蛇	3_compound	ボア科;獲物に巻きつく大蛇。piton巨蛇と別	OK		
botau^r	鸟	2_superordinate	サンカノゴイはサギ科。同科ardeも鸟	OK		
bulbil	球芽	3_compound	球根(bulb=球)状の芽＝むかご	OK	bulb=球, burĝon=芽 の鏡像で自由。良い	
buldog	斗牛犬	3_compound	イヌ品種;中国名斗牛犬(闘牛用の犬)	OK		
c^impanz	黑猩	3_compound	ヒト科;中国名黑猩猩。goril猩と同群	OK		
cembr	松	1_family	マツ科マツ属の高山性種、pinと同属	OK	pin/pini と同属(Pinus)なので過大代用ではない。ただし同科の larik=落松, cedr=雪松, juniper/sabin=杜松 は全て X松 型で識別されており、cembr だけ裸の松にすると pin と完全同一になる。山松(自由)等で識別する余地あり	山松(任意)
centau^re	菊	1_family	キク科ヤグルマギク属、cejanと同属	OK	裸の菊はキク科属の既定字(aster/lekant/kardu等50語根が共有)。種の cejan=蓝菊 と階層も整合	
cerefoli	芹	1_family	セリ科の香草チャービル、芹字	NG	裸の芹は celeri/api(いずれも Apium)に固定済み。cerefoli は Anthriscus cerefolium で、その属 antrisk は既に 伞。セリ科の科別字は伞(umbel/umbelifer/anet/angelik等20+語根)で、芹はセロリ限定字。属違いの完全重複	叶芹(中国語 细叶芹 の短縮、自由)。保守的にいくなら antrisk と同じ 伞
cikori	苦菊	3_compound	キク科キクニガナ、苦味の菊(漢名菊苣)	OK	自由。endivi=苦菜 と好対照で、漢名 菊苣 とも整合	
cipsel	燕	1_family	apusoと同一のアマツバメ。同表示	NG	apus と同一の鳥なので同表示という方針自体は正しいが、その apus の 燕 が hirund=燕 と衝突するため同じ理由で不可。	雨燕（apus と同表示。理由は apus 欄参照）
citiz	豆	1_family	マメ科エニシダ属の低木	OK	裸の豆はマメ科既定字(fab/fazeol/legumen/hedizar等18語根)。ただし同じエニシダ類の sparti=木(木本は木)という前例もあり、低木を豆にするのは軽い揺れ	
civet	香猫	3_compound	ジャコウネコ科;麝香猫=香+猫	OK		
datur	茄	1_family	ナス科チョウセンアサガオ属	OK	同属種 stramoni が既に 茄。裸の茄はナス科既定字(tomat/solan/hiosciam/petuni等10語根)で完全整合	
delfini	燕草	3_compound	キンポウゲ科、和名ヒエンソウ＝飛燕草	OK	自由。hirund=燕で、漢名 飞燕草 の短縮として妥当	
desmodi	豆	1_family	マメ科ヌスビトハギ属	OK		
diklin	单性	3_compound	雌雄異花＝単性花、hermafrodit両性と対	OK	自由。hermafrodit=两性, androgin=雌雄 と体系が揃う	
