root	proposal	kind
abrotan	艾	single
adonid	莲	single
agapant	兰	single
agarik	菇	single
agrimoni	金草	compound
agropir	麦	single
agrostem	麦仙	compound
agrostid	颖草	compound
ailant	漆	single
akile	菊	single
akirant	节	single
akvilegi	花	single
albumen	乳	single
alc^emil	羽衣草	compound
alf	茅	single
alkemil	羽衣草	compound
aln	桦	single
alpak	驼	single
amianti	毒蝇草	compound
ampelops	葡	single
anelid	环虫	compound
angvis	虎	single
ankuz	牛草	compound
antemid	菊	single
anter	药	single
antirin	金鱼草	compound
apus	燕	single
arau^kari	杉	single
arbed	树	single
ardizi	两	single
arist	麦芒	compound
aristoloki	马铃草	compound
artemizi	艾草	compound
asfodel	兰	single
askalon	葱	single
asperul	车叶草	compound
aspid	蛇	single
astragal	豆	single
atripl	菜	single
au^rikul	厚樱草	compound
azar	葵	single
babirus	猪	single
basi	草	single
bast	皮	single
bazilisk	蛇	single
begoni	草	single
beladon	茄	single
betonik	药苏	compound
blit	菜	single
boa	蛇	single
botau^r	鸟	single
bulbil	芽	single
buldog	犬	single
c^impanz	猩	single
cembr	松	single
centau^re	菊	single
cerefoli	芹	single
cikori	菊	single
cipsel	燕	single
citiz	豆	single
civet	猫	single
datur	茄	single
delfini	燕草	compound
desmodi	豆	single
diklin	性	single
drakunkol	龙芋	compound
ebol	毒	single
edelvejs	菊	single
egopodi	芹	single
eki	花	single
ekinokl	粟	single
ekvil	鱼	single
eleagn	木	single
enad	鸽	single
enant	芹	single
endokarp	皮	single
epigin		none
epikarp	皮	single
epilobi	花	single
epizooti	病	single
erantid	节分草	compound
eringi	芹	single
eriobotri	梨	single
eriofor	棉草	compound
erizim	芥	single
eruk	菜	single
estragon	艾	single
fakoc^er	猪	single
falar	茅	single
falarop	鸟	single
fanerogam	植	single
farbit	旋	single
fasciol	肝吸虫	compound
fatsi	掌木	compound
felandri	芹	single
feloid	猫	single
fenkol	伞	single
ferol	伞	single
festuk	茅	single
filant	橘草	compound
filokser	葡虫	compound
fimbril	毛	single
flakurti	果木	compound
fles	比目鱼	compound
foin	鼠	single
foliol	叶	single
forfikul	钳虫	compound
fragmit	芦	single
