root	proposal	how	note
abrotan	艾	head_reduced	木艾→主要素艾
adonid	莲	head_reduced	金莲→主要素莲
agapant	兰	head_reduced	蓝兰→主要素兰
agarik	菇	head_reduced	原菇→主要素菇
agrimoni	草	head_reduced	金草→主要素草
agropir	麦	head_reduced	野麦→主要素麦
agrostem	草	fallback	麦仙→上位字草
agrostid	草	head_reduced	颖草→主要素草
ailant	漆	head_reduced	臭漆→主要素漆
akile	菊	single_asis	元から単字
akirant	节	head_reduced	牛节→主要素节
akvilegi	花	head_reduced	鹰花→主要素花
albumen	乳	head_reduced	胚乳→主要素乳
alc^emil	草	head_reduced	羽衣草→主要素草
alf	茅	head_reduced	羽茅→主要素茅
alkemil	草	head_reduced	羽衣草→主要素草
aln	桦	head_reduced	水桦→主要素桦
alpak	驼	head_reduced	羊驼→主要素驼
amianti	草	head_reduced	毒蝇草→主要素草
ampelops	葡	head_reduced	野葡→主要素葡
anelid	虫	head_reduced	环虫→主要素虫
angvis	虎	head_reduced	蛇虎→主要素虎
ankuz	草	head_reduced	牛草→主要素草
antemid	菊	single_asis	元から単字
anter	药	head_reduced	花药→主要素药
antirin	草	head_reduced	金鱼草→主要素草
apus	燕	single_asis	元から単字
arau^kari	杉	head_reduced	南杉→主要素杉
arbed	树	head_reduced	小树→主要素树
ardizi	两	head_reduced	万两→主要素两
arist	草	fallback	麦芒→上位字草
aristoloki	草	head_reduced	马铃草→主要素草
artemizi	草	head_reduced	艾草→主要素草
asfodel	兰	head_reduced	日光兰→主要素兰
askalon	葱	single_asis	元から単字
asperul	草	head_reduced	车叶草→主要素草
aspid	蛇	head_reduced	冠蛇→主要素蛇
astragal	豆	head_reduced	莲豆→主要素豆
atripl	菜	head_reduced	海菜→主要素菜
au^rikul	草	head_reduced	厚樱草→主要素草
azar	葵	single_asis	元から単字
babirus	猪	head_reduced	鹿猪→主要素猪
basi	草	single_asis	元から単字
bast	皮	single_asis	元から単字
bazilisk	蛇	head_reduced	王蛇→主要素蛇
begoni	草	single_asis	元から単字
beladon	茄	head_reduced	毒茄→主要素茄
betonik	草	fallback	药苏→上位字草
blit	菜	single_asis	元から単字
boa	蛇	head_reduced	卷蛇→主要素蛇
botau^r	鸟	single_asis	元から単字
bulbil	芽	head_reduced	球芽→主要素芽
buldog	犬	head_reduced	斗牛犬→主要素犬
c^impanz	猩	head_reduced	黑猩→主要素猩
cembr	松	single_asis	元から単字
centau^re	菊	single_asis	元から単字
cerefoli	芹	single_asis	元から単字
cikori	菊	head_reduced	苦菊→主要素菊
cipsel	燕	single_asis	元から単字
citiz	豆	single_asis	元から単字
civet	猫	head_reduced	香猫→主要素猫
datur	茄	single_asis	元から単字
delfini	草	head_reduced	燕草→主要素草
desmodi	豆	single_asis	元から単字
diklin	性	head_reduced	单性→主要素性
drakunkol	草	fallback	龙芋→上位字草
ebol	毒	head_reduced	血毒→主要素毒
edelvejs	菊	head_reduced	雪菊→主要素菊
egopodi	芹	head_reduced	岩芹→主要素芹
eki	花	head_reduced	蓝花→主要素花
ekinokl	粟	single_asis	元から単字
ekvil	鱼	single_asis	元から単字
eleagn	木	single_asis	元から単字
enad	鸽	single_asis	元から単字
enant	芹	head_reduced	水芹→主要素芹
endokarp	皮	head_reduced	内果皮→主要素皮
epigin		none	提案なし
epikarp	皮	head_reduced	外果皮→主要素皮
epilobi	花	head_reduced	红花→主要素花
epizooti	病	head_reduced	兽病→主要素病
erantid	草	head_reduced	节分草→主要素草
eringi	芹	head_reduced	刺芹→主要素芹
eriobotri	梨	single_asis	元から単字
eriofor	草	head_reduced	棉草→主要素草
erizim	芥	single_asis	元から単字
eruk	菜	single_asis	元から単字
estragon	艾	head_reduced	龙艾→主要素艾
fakoc^er	猪	head_reduced	瘤猪→主要素猪
falar	茅	single_asis	元から単字
falarop	鸟	single_asis	元から単字
fanerogam	植	head_reduced	花植→主要素植
farbit	旋	single_asis	元から単字
fasciol	虫	head_reduced	肝吸虫→主要素虫
fatsi	木	head_reduced	掌木→主要素木
felandri	芹	head_reduced	毒水芹→主要素芹
feloid	猫	single_asis	元から単字
fenkol	伞	head_reduced	香伞→主要素伞
ferol	伞	head_reduced	大伞→主要素伞
festuk	茅	head_reduced	羊茅→主要素茅
filant	草	head_reduced	橘草→主要素草
filokser	虫	head_reduced	葡虫→主要素虫
fimbril	毛	head_reduced	边毛→主要素毛
flakurti	木	head_reduced	果木→主要素木
fles	鱼	head_reduced	比目鱼→主要素鱼
foin	鼠	head_reduced	石鼠→主要素鼠
foliol	叶	head_reduced	小叶→主要素叶
forfikul	虫	head_reduced	钳虫→主要素虫
fragmit	芦	single_asis	元から単字
fraksen	蜡	head_reduced	白蜡→主要素蜡
frangol	木	single_asis	元から単字
fraterkul	鸟	single_asis	元から単字
fringel	雀	head_reduced	黄雀→主要素雀
fuksi	花	head_reduced	铃花→主要素花
fuligul	鸭	head_reduced	潜鸭→主要素鸭
fulik	鸡	head_reduced	秧鸡→主要素鸡
fumari	草	single_asis	元から単字
fur	鼠	head_reduced	雪鼠→主要素鼠
galeopitek	猴	head_reduced	翼猴→主要素猴
galinol	鸡	head_reduced	秧鸡→主要素鸡
galinul	鸡	head_reduced	秧鸡→主要素鸡
gastornit	鸟	head_reduced	巨鸟→主要素鸟
gek	虎	head_reduced	壁虎→主要素虎
