"root","k","id","band","F"
"nenio","无o","","correl","2"
"neniu","无u","","correl","2"
"nenia","无a","","correl","1"
"nenie","无e","","correl","2"
"neniam","无时","","correl","1"
"neniom","无量","","correl","2"
"nenies","无之","","correl","2"
"nenial","无因","","correl","1"
"neniel","无样","","correl","1"
"kio","何o","","correl","1"
"kiu","何u","","correl","2"
"kia","何a","","correl","2"
"kie","何e","","correl","2"
"kiam","何时","","correl","7"
"kiom","何量","","correl","10"
"kies","何之","","correl","1"
"kial","何因","","correl","5"
"kiel","何样","","correl","13"
"ĉio","全o","","correl","14"
"ĉiu","全u","","correl","44"
"ĉia","全a","","correl","7"
"ĉie","全e","","correl","5"
"ĉiam","全时","","correl","11"
"ĉiom","全量","","correl","3"
"ĉies","全之","","correl","4"
"ĉial","全因","","correl","1"
"ĉiel","全样","","correl","26"
"io","某o","","correl","2"
"iu","某u","","correl","6"
"ia","某a","","correl","4"
"ie","某e","","correl","2"
"iam","某时","","correl","5"
"iom","某量","","correl","12"
"ies","某之","","correl","1"
"ial","某因","","correl","1"
"iel","某样","","correl","4"
"tio","那o","","correl","19"
"tiu","那u","","correl","14"
"tia","那a","","correl","6"
"tie","那e","","correl","11"
"tiam","那时","","correl","4"
"tiom","那量","","correl","5"
"ties","那之","","correl","2"
"tial","那因","","correl","5"
"tiel","那样","","correl","6"
"pri","于","","prep","160"
"el","出","","prep","449"
"eksport","出","ek","basic","7"
"emerg^","出","em","pejvo","5"
"po","每","","prep","25"
"inter","间","","prep","235"
"tra","穿","","prep","139"
"penetr","穿","p","basic","20"
"tred","穿","td","pejvo","2"
"permeabl","穿","pr","pejvo","6"
"perfor","穿","pf","piv","2"
"per","以","","prep","55"
"kontraŭ","对","","prep","163"
"jes","对","j","func","7"
"opozici","对","o","basic","8"
"kontrast","对","ks","basic","8"
"al","向","","prep","269"
"por","为","","prep","32"
"ĝis","至","","prep","30"
"almenaŭ","至","a","func","1"
"solstic","至","s","pejvo","7"
"post","后","","prep","106"
"aposterior","后","a","pejvo","2"
"ĉar","因","","func","35"
"pro","因","p","prep","17"
"kaŭz","因","k","basic","18"
"faktor","因","f","basic","8"
"eti","因","e","pejvo","3"
"laŭ","按","","prep","88"
"sen","无","","prep","689"
"neni","无","n","basic","10"
"nihil","无","nh","pejvo","2"
"infinit","无","i","pejvo","4"
"sub","下","","prep","230"
"subaltern","下","sl","pejvo","2"
"sob","下","so","piv","2"
"ĉirkaŭ","围","","prep","71"
"peri","围","p","pejvo","13"
"sieg^","围","s","pejvo","9"
"krom","外","","prep","41"
"ekster","外","e","prep","78"
"ekzo","外","ez","pejvo","8"
"ekt","外","et","piv","2"
"ekto","外","ek","piv","2"
"ksen","外","ks","piv","2"
"sur","上","","prep","129"
"super","上","sp","prep","160"
"trans","越","","prep","153"
"ju","越","j","pejvo","3"
"ant","在","","suf","664"
"ĉe","在","ĉ","prep","22"
"apud","旁","","prep","13"
"kun","共","","prep","249"
"komun","共","km","basic","53"
"malgraŭ","不顾","","prep","6"
"de","从","","prep","417"
"anstataŭ","代","","prep","12"
"agent","代","ag","basic","15"
"pronom","代","p","basic","6"
"generaci","代","g","basic","7"
"era","代","e","pejvo","2"
"prokur","代","pk","pejvo","3"
"surogat","代","s","pejvo","4"
"en","内","","prep","0"
"endo","内","ed","pref","20"
"intern","内","i","basic","32"
"imanent","内","im","pejvo","2"
"intra","内","ir","piv","3"
"da","份","","prep","15"
"porci","份","p","basic","7"
"antaŭ","前","","prep","174"
"front","前","f","basic","27"
"avan","前","av","pejvo","3"
"pre","前","p","piv","2"
"dat","期","","basic","49"
"dum","期","dm","prep","13"
"period","期","p","basic","27"
"semestr","期","s","pejvo","4"
"int","过","","suf","126"
"pas","过","p","basic","54"
"preter","过","pr","prep","38"
"transit","过","t","piv","3"
"naŭ","九","","num","11"
"kvar","四","","num","75"
"kvaternar","四","kt","pejvo","2"
"mil","千","","num","32"
"kilometr","千","k","basic","0"
"kilo","千","ki","pejvo","9"
"cent","百","","num","45"
"hekto","百","h","pejvo","6"
"centezimal","百","cz","pejvo","2"
"tri","三","","num","128"
"terciar","三","tc","pejvo","3"
"ses","六","","num","35"
"heks","六","h","pejvo","3"
"heksa","六","ha","pejvo","2"
"ok","八","","num","24"
"okta","八","ot","piv","2"
"du","二","","num","319"
"unu","一","","num","174"
"dek","十","","num","65"
"deka","十","da","pejvo","5"
"decimal","十","dc","pejvo","6"
"kvin","五","","num","31"
"penta","五","p","pejvo","3"
"sep","七","","num","22"
"aĉ","劣","","suf","59"
"membr","员","","basic","19"
"an","员","a","suf","0"
"komiz","员","k","pejvo","5"
"eg","巨","","suf","269"
"gigant","巨","g","basic","4"
"kolos","巨","k","pejvo","5"
"titan","巨","t","pejvo","4"
"megalo","巨","m","pejvo","3"
"ciklop","巨","c","pejvo","2"
"ig","使","","suf","2032"
"ambasad","使","a","basic","3"
"apostol","使","ap","basic","2"
"ambasador","使","ar","basic","5"
"misi","使","m","pejvo","5"
"nunci","使","n","pejvo","2"
"ad","行","","suf","1555"
"andant","行","an","pejvo","2"
"ul","者","","suf","926"
"ebl","可","","suf","432"
"obl","倍","","suf","56"
"ploid","倍","p","piv","9"
"log","学家","","suf","144"
"et","小","","suf","655"
"minuskl","小","m","basic","2"
"minor","小","mr","pejvo","9"
"em","倾","","suf","436"
"inklin","倾","i","basic","8"
"tak","倾","t","piv","2"
"il","具","","suf","1276"
"mebl","具","m","basic","16"
"konkret","具","k","basic","6"
"end","须","","suf","14"
"iĝ","成","","suf","1513"
"sukces","成","s","basic","19"
"konsist","成","k","basic","7"
"igx","成","ig","pejvo","2"
"adolt","成","a","pejvo","2"
"id","子","","suf","108"
"atom","子","a","basic","32"
"on","分","","suf","0"
"divid","分","d","basic","28"
"minut","分","m","basic","7"
"frakci","分","f","basic","8"
"molekul","分","ml","basic","12"
"gros^","分","g","pejvo","6"
"ekvinoks","分","e","pejvo","8"
"deci","分","dc","pejvo","3"
"er","粒","","suf","87"
"grajn","粒","g","basic","26"
"granul","粒","gn","pejvo","8"
"partikl","粒","p","pejvo","6"
"korpuskl","粒","k","pejvo","4"
"ej","所","","suf","743"
"kontor","所","k","pejvo","4"
"uj","器","","suf","414"
"organ","器","o","basic","59"
"vaz","器","v","basic","17"
"aparat","器","a","basic","28"
"instrument","器","i","basic","17"
"ar","群","","suf","501"
"greg","群","g","basic","5"
"ec","性","","suf","1190"
"seks","性","s","basic","62"
"amor","性","a","basic","14"
"ind","值","","suf","116"
"valor","值","v","basic","58"
"merit","值","m","basic","15"
"vac^","值","vĉ","pejvo","2"
"ing","座","","suf","63"
"tron","座","t","pejvo","11"
"katedr","座","k","pejvo","3"
"long","长","","basic","82"
"estr","长","e","suf","90"
"kapitan","长","k","pejvo","5"
"in","女","","suf","359"
"feminism","女","f","basic","0"
"nj","女","n","pejvo","2"
"femin","女","fe","pejvo","4"
"ginek","女","g","pejvo","2"
"aĵ","物","","suf","1546"
"objekt","物","o","basic","30"
"ist","家","","suf","1291"
"hejm","家","h","basic","42"
"famili","家","f","basic","24"
"ism","主义","","suf","683"
"op","组","","suf","37"
"kompon","组","k","basic","18"
"organiz","组","or","basic","0"
"fi","卑","","pref","12"
"trivial","卑","t","pejvo","6"
"ĉef","首","","pref","93"
"arki","首","a","piv","3"
"dis","散","","pref","205"
"distr","散","dt","basic","12"
"eman","散","e","pejvo","6"
"difuz","散","df","pejvo","6"
"diverg^","散","dv","pejvo","10"
"dispers","散","dp","pejvo","8"
"loz","散","l","pejvo","2"
"sporad","散","s","pejvo","2"
"pra","原","","pref","66"
"original","原","o","basic","9"
"primitiv","原","pm","basic","3"
"proto","原","pt","pejvo","6"
"primar","原","pr","pejvo","3"
"pamp","原","pp","piv","2"
"mis","误","","pref","79"
"bo","姻","","pref","20"
"re","再","","pref","367"
"bis","再","b","func","4"
