sargas	{Ｏ}【植】ホンダワラ属（の海藻）
abutil	【植】【PIV】G. (Genro) (Abutilon el malvacoj) de pli ol 100 sp-oj (specioj) de arbustoj k unu-k plur-jaraj herboj el la tropikaj k varmaj regionoj; multaj sp-oj (sp
agami	【動】【PIV】Sp. de birdo (Psophia crepitans) el la ordo de gruformaj, vivanta en S Ameriko.
agatid	【植】【PIV】G. (Genro) (Agathis, sin. (sinonimo (de latinscienca nomo)) Dammara, el arau^kariacoj) de koniferaj, g^enerale monoikaj arboj kun fortika trunko, vertic
agerat	【植】【PIV】G. (Genro) (Ageratum el asteracoj), parenca al eu^patorio, de arbustoj k de unu-k plur-jaraj herboj kun bluaj, purpuraj, rozaj au^ blankaj kapituloj; 44
aguti	【動】【PIV】Sp. (Dasyprocta agouti) de Amerikaj mamuloj el la ordo de rong^uloj, same granda kiel kuniklo, sed havanta tre mallongajn orelojn k voston, longajn krur
agvara	【動】【PIV】Sp. (Specio) (Chrysocyon brachyurus) de S-Amerika rabobesto el la fam. (familio) de kanisedoj, kun tre longaj membroj k grandaj oreloj.
air	【植】【PIV】G. (Genro) (Aira el poacoj) de unujaraj herboj kun 2-floraj spiketoj en paniklo; c^. (c^irkau^) 10 sp-oj (specioj) el Eu^ropo k la Mediteranea regiono, 
ajapan	【植】【PIV】G. (Genro) (Ayapana el asteracoj), tre parenca al eu^patorio, de 14 sp-oj (specioj) el tropika Ameriko, i.a. (interalie, inter aliaj) A. triplinervis, t
ajug	【植】【PIV】G. (Genro) (Ajuga el lamiacoj) de plurjaraj herboj kun kruce kontrau^e duopaj folioj k kun s^ajnverticiloj el akselaj floroj sidaj au^ preskau^ sidaj; c
akantias	【動】【PIV】Sp. (Specio) (Squalus acanthias) de s^arko, griza k blanka, kun akra pikilo antau^ c^iu el la du dorsaj nag^iloj; vivas c^e la marfundo, mang^as fis^ojn
akebi	【植】【PIV】G. (Genro) (Akebia el Lardizabalaceae) de volvig^antaj arbustoj kun mane kunmetaj, 3−5-folieraj folioj, kun unuseksaj, brunaj au^ violaj floroj, k kun f
akeronti	【動】【PIV】G. (Genro) (Acherontia) de noktpapilioj el la fam. (familio) de sfingedoj, i.a. (interalie, inter aliaj) atroposo (A. atropos).
akonti	【動】【PIV】G. (Genro) (Acontias) de Afrikaj, senkruraj, vivonaskaj lacertuloj el la fam. (familio) de scinkedoj.
akor	【植】【PIV】G. (Genro) (Acorus el akoracoj) de plurjaraj herboj kun horizontala rizomo, klingoformaj folioj, mallarg^a spadiko k foliforma spato; 2 sp-oj (specioj),
akroh^ord	【動】【PIV】Reptilio (g. (genro) Acrochordus) el la subordo de serpentoj, senvenena, vivanta en akvo c^e la bordoj de Hinda Oceano.
aksolotl	【動】【PIV】La larvo de la Meksika ambistomo, kapabla sin reprodukti. -> neotena.
akte	【植】【PIV】G. (Genro) (Actaea el ranunkolacoj) de 8 sp-oj (specioj) de plurjaraj herboj el Eu^ropo, Azio k N Ameriko, i.a. (interalie, inter aliaj) la Kristofora h
alantoid	【動】【PIV】Embria elkreskaj^o de reptilioj, birdoj k mamuloj, funkcianta samtempe kiel urinujo k kiel spir-k nutr-organo.
alatern	【植】【PIV】Sp. (Specio) de ramno (Rhamnus alaternus) el la Mediteranea regiono k Krimeo, arbusto au^ arbeto kun folioj vintrodau^raj, malhele verdaj, briletaj, pli
albizi	【植】【PIV】G. (Genro) (Albizia el fabacoj) de arboj, trunkarbustoj k lianoj kun duoble plume kunmetaj folioj k kun c^ebaze kunig^intaj stamenoj; 118 sp-oj (specioj
alcelaf	【動】【PIV】G. (Genro) (Alcelaphus) de grandaj Afrikaj antilopoj kun postkolo notinde pli alta ol la postaj^o.
alektor	【動】【PIV】G. (Genro) (Alectoris) de birdoj parencaj al perdriko 1, sed kun vizag^o ne rufa k kun rug^aj kruroj.
aleu^rit	【植】【PIV】G. (Genro) (Aleurites el eu^forbiacoj) de arboj k trunkarbustoj; 5 sp-oj (specioj) el Azio k Pacifiko, kies semoj estas uzataj por produktado de oleo tr
aliari	【植】【PIV】G. (Genro) (Alliaria el brasikacoj), parenca al sizimbrio, de herboj, kies folioj frotate eligas odoron de ajlo; 2 sp-oj (specioj) el Eu^ropo k U Azio.
alis	【植】【PIV】G. (Genro) (Alyssum el brasikacoj) de herboj k arbustetoj, kies folioj surhavas pli-malpli densan harkovraj^on grizan, blanketan au^ glau^kan; c^. (c^ir
alit	【動】【PIV】G. (Genro) (Alytes) de teraj amfibioj el la ordo de anuroj, kies virbesto helpas la inon eligi la ovojn k poste portas k de tempo al tempo akvadas ilin.
alium	【植】【PIV】G. (Genro) (Allium el aliumacoj) de unu-, du-k plur-jaraj herboj kun tunika bulbo k kun umbelsimila infloresko; c^. (c^irkau^) 690 sp-oj (specioj), N-he
alkekeng	【植】【PIV】Sp. (Specio) de fizalido (Physalis alkekengi), plurjara herbo el Azio k SE Eu^ropo, kun blanketaj, unuopaj, mallonge pedunklaj floroj, kies kaliko post 
alokazi	【植】【PIV】G. (Genro) (Alocasia el arumacoj) de plurjaraj, ofte rizomaj herboj kun grandaj folioj; c^. (c^irkau^) 70 sp-oj (specioj) el tropika Azio k Au^stralio, 
alopekur	【植】【PIV】G. (Genro) (Alopecurus el poacoj) de unu-k plur-jaraj herboj kun ovoida au^ cilindra, multarista spiko; 36 sp-oj (specioj) el la mezvarmaj regionoj de l
alpini	【植】【PIV】G. (Genro) (Alpinia el zingibracoj) de altaj (1−5 m) plurjaraj herboj kun aroma rizomo; c^. (c^irkau^) 200 sp-oj (specioj) el Azio k Oceanio.
aluat	【動】【PIV】G. (Genro) (Alouatta) de Amerikaj simioj el la fam. (familio) de cebedoj, kun tre dika gorg^o k fortega voc^o, konataj pro sia blekado au^ kantado. Sin.
ambistom	【動】【PIV】G. (Genro) (Ambystoma) de amfibioj el la ordo de urodeloj, el kiu kelkaj sp-oj (specioj) ordinare konservas la brankojn dum la tuta vivo, k ec^ seksmatu
ambulakr	【動】【PIV】(pp (se paroli pri) ekinodermoj) C^iu el la g^enerale 5 radiantaj strioj de la karapaco, kun multaj truoj, tra kiuj elig^as kupohavaj piedetoj (ambulakr
amelanc^	【植】【PIV】G. (Genro) (Amelanchier el rozacoj) de 33 sp-oj (specioj) de N-hemisferaj arboj k arbustoj, kelkaj kultivataj por ornamo k unu (A. lamarckii el NE Ameri
amfioks	【動】【PIV】(ark. (arkaismo, arkaisme)) Brankiostomo.
ami	【植】【PIV】G. (Genro) (Ammi el apiacoj) de 3−4 sp-oj (specioj) de unujaraj herboj el la Mediteranea regiono, Makaronezio k U Azio, ekz. (ekzemple) A. majus k A. vi
amirid	【植】【PIV】G. (Genro) (Amyris el rutacoj) de arboj k trunkarbustoj kun plume kunmetaj folioj, kun 4−5-nombraj floroj k kun drupoj; c^. (c^irkau^) 40 sp-oj (specioj
amofil	【植】【PIV】G. (Genro) (Ammophila el poacoj) de plurjaraj herboj, kreskantaj en la marsabloj, kun longa, spikforma paniklo; 3 sp-oj (specioj) el NE Ameriko, Eu^ropo
amom	【植】【PIV】G. (Genro) (Amomum el zingibracoj) de plurjaraj tropikaj herboj kun horizontala, aroma rizomo, el kiu kreskas folihavaj tigoj k florhavaj pedunkloj; c^.
ampelopraz	【植】【PIV】1 Kf. (Kultivoformo) de aliumo (Allium ampeloprasum gr. (grupo) Ampeloprasum), legomo plurjara, tre simila al poreo, i.a. (interalie, inter aliaj) pro p
anagir	【植】【PIV】G. (Genro) (Anagyris el fabacoj) de arbustoj; 1 au^ 2 Mediteraneaj k Kanariaj sp-oj (specioj)
anakond	【動】【PIV】Grandega sufokserpento (Eunectes murinus) el la N parto de S Ameriko, vivanta en akvo. Vd boao, pitono.
anamirt	【植】【PIV】G. (Genro) (Anamirta el menispermacoj), parenca al koklo, de nur unu sp. (A. cocculus), dioika volvarbusto, kies fruktoj enhavas venenon alkaloidoric^an
anarik	【動】【PIV】G. (Genro) (Anarhichas) de bongustaj fis^oj el la ordo de perkoformaj, subordo de blenioidoj, sen postaj membroj, kun granda ronda kapo k tre fortika de
anastatik	【植】【PIV】G. (Genro) (Anastatica el brasikacoj) de nur unu sp. (A. hierochuntica) el la dezertoj de N Afriko k SU Azio, unujara herbo 10−20 cm (centimetro) alta, 
androce	【植】【PIV】Tuto de la stamenoj de floro. Sin. (sinonimo) stamenaro. Vd gineceo.
andropogon	【植】【PIV】G. (Genro) (Andropogon el poacoj) de unu-k plur-jaraj herboj kun unufloraj spiketoj en paniklo; c^. (c^irkau^) 100 sp-oj (specioj) el Eu^ropo, Azio, Afr
androzac	【植】【PIV】G. (Genro) (Androsace el primolacoj) de c^. (c^irkau^) 100 sp-oj (specioj) de unu-k du-jaraj, N-hemisferaj herboj, kelkaj kultivataj en rokg^ardenoj.
angostur	【植】【PIV】1 G. (Genro) (Angostura el rutacoj) de 38 sp-oj de arboj k trunkarbustoj el tropika S Ameriko. 2 S^elo de kelkaj rutacoj - sp-oj de angosturo 1, i.a. A.
angrek	【植】【PIV】G. (Genro) (Angraecum el orkidacoj) de plurjaraj herboj kun bonodoraj, helkoloraj, spronohavaj floroj en grapoloj; c^. (c^irkau^) 200 sp-oj (specioj) el
anil	【植】【PIV】Plej konata sp. de indigofero (Indigofera suffruticosa, sin. (sinonimo (de latinscienca nomo)) I. anil).
anodont	【動】【PIV】G. (Genro) (Anodonta) de duvalvaj moluskoj kun maldikaj, sendentaj konkovalvoj, k vivantaj en sensalaj akvoj.
anon	【植】【PIV】G. (Genro) (Annona el anonacoj) de arboj k trunkarbustoj kun unu-au^ malmult-opaj floroj k kun fruktoj (pluroblaj beroj), devenantaj el la kunig^o de ka
antedon	【動】【PIV】G. (Genro) (Antedon) de ekinodermoj el la klaso de krinoidoj, ne fiksig^intaj al la marfundo per tigo.
antenari	【植】【PIV】G. (Genro) (Antennaria el asteracoj) de plurjaraj, dioikaj, ofte lanugaj herboj kun malgrandaj kapituloj unuopaj au^ en korimbo; 71 sp-oj (specioj) el E
anteridi	【植】【PIV】Organo de la plantoj, tipa nur c^e la kriptogamoj, kiu produktas virseksajn gametojn (Vd anterozoido).
anterozoid	【植】【PIV】Virseksa gameto de la plantoj. Vd oosfero, spermatozoo.
antiar	【植】【PIV】G. (Genro) (Antiaris el morusacoj) de nur unu sp. (A. toxicaria) el Afriko k Azio, tropika, dau^rafolia arbo kun venena laktosuko k kun senpetalaj floro
antilid	【植】【PIV】G. (Genro) (Anthyllis el fabacoj) de unu-k plur-jaraj herboj k de tufarbustoj kun diverskoloraj floroj en densaj kapoj, pli malofte unuopaj au^ en grapo
antoksant	【植】【PIV】G. (Genro) (Anthoxanthum el poacoj) de unu-k plur-jaraj herboj kun spiketoj en spikforma paniklo; 18 sp-oj (specioj) el Eu^ropo, Azio, Afrikaj montaroj 
antrisk	【植】【PIV】G. (Genro) (Anthriscus el apiacoj) de herboj kun folioj plume dividaj k kun blankaj floroj; 10−12 sp-oj (specioj) el Eu^ropo, Azio k Afrikaj montaroj, i
anturi	【植】【PIV】G. (Genro) (Anthurium el arumacoj) de plurjaraj herboj kun simplaj au^ mane kunmetaj folioj, kies petiolo genuforme s^velas c^e la limbo; pli ol 700 sp-
aot	【動】【PIV】G. (Genro) (Aotus) de Amerikaj malgrandaj noktaj simioj grandokulaj.
apatosau^r	【動】【PIV】G. (Genro) (Apatosaurus) de herbomang^antaj dinosau^roj el la ordo sau^riskioj, el malfrua j^urasio de N Ameriko, kun grandega korpo, longaj vosto k kol
apios	【植】【PIV】G. (Genro) (Apios el fabacoj) de plurjaraj herboj kun tuberaj radikoj, volve grimpaj tigoj, plume kunmetaj folioj k longformaj gus^oj; 10 sp-oj (specioj
apoteci	【植】【PIV】Disko-au^ pelvo-forma askujo de la diskomicetoj (inkl. (inkluzive) diskolikenojn). Vd peritecio.
aril	【植】【化】【PIV】1 【植】Ekstera kovraj^o au^ alpendaj^o de iuj semoj, ekz. la intense rug^a, karneca kovraj^o sur la semo de taksuso au^ de evonimo. 2 【化】Radiko derivit
arabidops	【植】【PIV】G. (Genro) (Arabidopsis el brasikacoj) de 15-20 sp-oj (specioj) de herboj el la N hemisfero k Afrikaj montaroj. Plej konata sp.: A. thaliana, unujara, k
arabis	【植】【PIV】G. (Genro) (Arabis el brasikacoj) de unu-, du-k plur-jaraj herboj kun blankaj, rozaj, bluaj au^ violaj floroj en apeksaj grapoloj k kun longa silikvo; c
arali	【植】【PIV】G. (Genro) (Aralia el araliacoj) de falfoliaj arboj k arbustoj kun ofte dornaj tigoj, kun tre grandaj, du-au^ tri-oble plume kunmetaj folioj k kun malgr
arenari	【植】【PIV】G. (Genro) (Arenaria el kariofilacoj) de malaltaj, unu-au^ plur-jaraj herboj kun g^enerale blankaj floroj k kun ovoidaj kapsuloj postdehiske sesdentaj; 
argani	【植】【PIV】G. (Genro) (Argania el sapotacoj) de nur unu sp. (A. spinosa) el Maroko, dau^rafolia, dorna arbeto kun tre malmola ligno, uzata en lignaj^arto, k kun ve
argemon	【植】【PIV】G. (Genro) (Argemone el papavacoj) de plantoj - unu-, du-k plur-jaraj herboj k unu tufarbusto - enhavantaj flavan au^ orang^an laktosukon, kun profunde 
argiop	【動】【PIV】G. (Genro) (Argiope) de araneuloj, kiuj teksas grandan, vertikalan araneaj^on k s^irmas siajn ovojn en nesto.
argironet	【動】【PIV】Araneulo (unuspecia g. (genro) Argyroneta aquatica), vivanta en sensala akvo, kie g^i teksas klos^forman log^ejon, kiun g^i plenigas per aero. Sin. (sin
arkiteu^t	【動】【PIV】G. (Genro) (Architeuthis) de grandegaj, dekbrakaj cefalopodoj, kies brakoj povas atingi la longon de pluraj metroj. Vd kalmarego.
arkte	【植】【PIV】G. (Genro) (Arctium el asteracoj) de fortikaj, du-k plur-jaraj herboj, kun longpetiolaj, longe korformaj bazfolioj k kun branc^ig^anta infloresko, kies 
