diurez	【医】多尿
siliciat	【鉱】ケイ酸塩
toni	【生】緊張(筋緊張)
jekci	【数】写像
aken	【植】痩果
lau^s	【動】シラミ
inhib	抑制
sapr	【生態】腐生物質(枯死有機物)
mud	【動】脱皮
verticil	【植】輪生
eluvi	【地質】溶脱層
blink	点滅光
plastid	【植】色素体(プラスチド)
skab	【植】そうか病
poez	【生】造血
sukur	【医】応急手当
stres	【生】ストレス
sket	滑る
kataliz	【化】触媒作用
flagel	【生】鞭毛
alien	【法】譲渡
ask	【植】子嚢
citoz	【生】サイトーシス(小胞輸送)
fosfo	【化】ホスホリパーゼ
ribosom	【生】リボソーム
punktur	【医】刺針
espart	【植】エスパルト
pron	回内
kogn	認知
krement	増減操作
striptiz	ストリップショー
fenil	【化】フェニル基
supin	回外
stupor	【医】昏迷
grop	【動】尻
salubr	【医】健康によい
inciz	切開
katec^u	カテキュー
hac^	ハッチング線
devot	【宗】敬虔
anabol	【生】同化
pretor	【史】法務官
sau^r	【動】トカゲ類
insil	サイロ貯蔵
brutal	乱暴者
aspleni	【植】チャセンシダ属
elu	【化】溶離
servir	サーブ
prompt	敏捷
turg	【生】膨圧で膨れる
tekton	【植】チーク
kac	陰茎(俗語)
fik	性交する(俗語)
glac^er	【地理】氷河
steat	脂肪
g^emin	【解】二つで対をなす
cintr	アーチ支保工
konidi	【菌】分生子
somnol	まどろみ
konglomer	凝集させる
lukr	収益
fini	【数】有限の
kuret	【医】鋭匙(キュレット)
kodon	【生】コドン
karbazid	【化】カルバジド
trace	【技】道路中心線
brez	蒸し煮にする
kaligraf	書家
fau^lt	【地質】断層
kandid	【菌】カンジダ
c^ur	精液(俗語)
flavin	【化】フラビン
semi	【化】セミカルバジド
intra	筋肉内の
celom	【動】体腔
batu	巻狩り
s^rot	挽き割り穀物・粗挽き粉
prolifer	増殖する
karadri	【動】チドリ
karoten	【化】カロテン
infest	群がり侵入する・蔓延する
vobl	振れ回る
idl	空転する
knik	【工】座屈
remork	被牽引車・トレーラー
spurt	スパート
tabet	【医】脊髄癆
deprec	価値低下・減価
tau^tomer	【化】互変異性体
procelari	【動】ミズナギドリ
setl	定住する・入植する
racem	【化】ラセミの
lokal	室・店舗
ladan	【植】ラブダナム・香脂
ion	【化】イオン
punik	【植】ザクロ属
sarkom	【医】肉腫
transpir	発汗・蒸散
kvest	募金・喜捨集め
globulin	【生化】グロブリン
neg	否定する
kopul	【文法】繋辞・コピュラ
kontener	コンテナ
peristalt	【生理】蠕動
jakv	【植】パラミツの果実
trinitr	【化】ニトログリセリン
hipofiz	【解】下垂体
bent	【生態】底生生物・ベントス
serpenten	【地質】蛇紋石
stokast	【数】確率過程・確率的
transit	通過の・トランジット
lind	愛らしい
merd	糞・くそ
stek	ステーキ
alotrop	【化】同素体の・同素形の
mote	【動】イガ
rabd	占い棒・ダウジングロッド
filari	【動】糸状虫・フィラリア
impetig	【医】膿痂疹・とびひ
sampl	【統計】標本・サンプル
atrop	【植】ベラドンナ属
pralin	プラリネ
frok	修道服・僧衣
blaz	【医】水疱
kupel	【化】灰吹きする
sinu	湾曲
defet	敗北を覚悟する
neu^rolept	【医】抗精神病薬
amni	【解】羊膜
signifikanc	【統計】有意性
disdegn	軽蔑する
kakinok	【植】カキノキ
s^tanc	【技】打ち抜く
dikro	【鉱】二色性
prokariot	【生】原核生物
glicer	【化】グリセリル基
helm	【史】中世の兜
artikulaci	【言】調音
rikur	【情報】再帰
bos	【建】粗面石積み
