"root"	"kanji"	"gloss"
"patos"	"慨"	"誇張した表現 ／ 熱情的な,感動的な ／ 【芸】情熱的表現,感動的表現,>>bombasto,>>emfazo,>>v"
"balkon"	"阳台"	"【建】バルコニー"
"plane"	"翼"	"【空】翼板,翼（よく）"
"vink"	"蔓春"	"【植】ヒメツルニチニチソウ（姫蔓日々草）（種） ／ 【植】ニチニチソウ（日々草）（種） ／ 【植】ツルニチニチソウ（蔓日々草）（属）"
"astm"	"喘"	"【病】喘息（ぜんそく） ／ 【病】気管支喘息（ぜんそく）"
"anhel"	"喘"	"［自］あえぐ,息切れする,荒い息をする,=spiregi ／ 息切れ,呼吸切迫"
"arnik"	"羊菊"	"【植】ウサギギク（兎菊）（属）;アルニカ,=monta arniko ／ 【植】アルニカ（ヨーロッパ産キク科の多年草，花と根は薬用）"
"tore"	"斗牛"	"【PIV】(ntr (netransitiva)) Batali en ci"
"simpat"	"交感"	"【解】【PIV】Unu el la du partoj de la au^t ／ 【PIV】Rilata al la simpato: simpata gan"
"kolin"	"胆碱"	"【化】【PIV】Nitrogena bazo, OH-CH 2-CH 2-N"
"avokad"	"鳄梨"	"【果】アボカド（の実）"
"modlur"	"线脚"	"【建】（建物・家具の）繰形（くりかた）,モールディング"
"hidrid"	"氢化"	"【化】【PIV】Salo, en kiu la anjono estas H ／ 【化】【PIV】(tr (transitiva)) Enkonduki la"
"laktuk"	"生菜"	"【植】レタス,チシャ ／ 【植】レタス,チシャ;【植】アキノノゲシ（属）"
"mung"	"擦鼻"	"［他］洟（はな）をかんでやる,洟をかむ,=nazpurigi ／ 【PIV】1 Sp. (Specio) de vigno (Vigna ra"
"rizom"	"根茎"	"【料】れんこん（蓮根） ／ 【植】根茎,地下茎 ／ 【PIV】1 Rilata al rizomo. 2 Rizomohava:"
"porfir"	"斑岩"	"【鉱】斑岩（はんがん） ／ 【地質】【PIV】Rilata al porfiro: porfira st"
"kolik"	"绞痛"	"【病】肝疝痛（かんせんつう） ／ 【病】疝痛（せんつう）,差し込み;腹痛 ／ 【病】腎疝痛（じんせんつう）"
"rur"	"乡"	"《詩》=kamparo（田園） ／ 【地名】ルール川（ドイツ，ライン川の支流）"
"bajt"	"字节"	"【情】バイト,=bitoko"
"safran"	"藏红花"	"サフランの;サフラン色（黄橙色）の ／ ［他］【料】サフラン粉で色・香りをつける ／ 【植】サフラン（種）,>>krokuso;【料】サフラン粉（香料・着色料）"
