"root"	"kanji"	"id"	"id_super"	"disp"	"band"	"F"	"groupkey"
"nenio"	"无o"	""	""	"无o"	"correl"	"2"	"无o"
"neniu"	"无u"	""	""	"无u"	"correl"	"2"	"无u"
"nenia"	"无a"	""	""	"无a"	"correl"	"1"	"无a"
"nenie"	"无e"	""	""	"无e"	"correl"	"2"	"无e"
"neniam"	"无时"	""	""	"无时"	"correl"	"1"	"无时"
"neniom"	"无量"	""	""	"无量"	"correl"	"2"	"无量"
"nenies"	"无之"	""	""	"无之"	"correl"	"2"	"无之"
"nenial"	"无因"	""	""	"无因"	"correl"	"1"	"无因"
"neniel"	"无样"	""	""	"无样"	"correl"	"1"	"无样"
"kio"	"何o"	""	""	"何o"	"correl"	"1"	"何o"
"kiu"	"何u"	""	""	"何u"	"correl"	"2"	"何u"
"kia"	"何a"	""	""	"何a"	"correl"	"2"	"何a"
"kie"	"何e"	""	""	"何e"	"correl"	"2"	"何e"
"kiam"	"何时"	""	""	"何时"	"correl"	"7"	"何时"
"kiom"	"何量"	""	""	"何量"	"correl"	"10"	"何量"
"kies"	"何之"	""	""	"何之"	"correl"	"1"	"何之"
"kial"	"何因"	""	""	"何因"	"correl"	"5"	"何因"
"kiel"	"何样"	""	""	"何样"	"correl"	"13"	"何样"
"ĉio"	"全o"	""	""	"全o"	"correl"	"14"	"全o"
"ĉiu"	"全u"	""	""	"全u"	"correl"	"44"	"全u"
"ĉia"	"全a"	""	""	"全a"	"correl"	"7"	"全a"
"ĉie"	"全e"	""	""	"全e"	"correl"	"5"	"全e"
"ĉiam"	"全时"	""	""	"全时"	"correl"	"11"	"全时"
"ĉiom"	"全量"	""	""	"全量"	"correl"	"3"	"全量"
"ĉies"	"全之"	""	""	"全之"	"correl"	"4"	"全之"
"ĉial"	"全因"	""	""	"全因"	"correl"	"1"	"全因"
"ĉiel"	"全样"	""	""	"全样"	"correl"	"26"	"全样"
"io"	"某o"	""	""	"某o"	"correl"	"2"	"某o"
"iu"	"某u"	""	""	"某u"	"correl"	"6"	"某u"
"ia"	"某a"	""	""	"某a"	"correl"	"4"	"某a"
"ie"	"某e"	""	""	"某e"	"correl"	"2"	"某e"
"iam"	"某时"	""	""	"某时"	"correl"	"5"	"某时"
"iom"	"某量"	""	""	"某量"	"correl"	"12"	"某量"
"ies"	"某之"	""	""	"某之"	"correl"	"1"	"某之"
"ial"	"某因"	""	""	"某因"	"correl"	"1"	"某因"
"iel"	"某样"	""	""	"某样"	"correl"	"4"	"某样"
