"root","k","id","P","band","F","gsize"
"nenio","无o","","-1.074","correl","2","1"
"neniu","无u","","-1.074","correl","2","1"
"nenia","无a","","-0.668","correl","1","1"
"nenie","无e","","-1.074","correl","2","1"
"neniam","无时","","0.243","correl","1","1"
"neniom","无量","","0.389","correl","2","1"
"nenies","无之","","-0.656","correl","2","1"
"nenial","无因","","0.127","correl","1","1"
"neniel","无样","","0.578","correl","1","1"
"kio","何o","","-0.122","correl","1","1"
"kiu","何u","","-0.527","correl","2","1"
"kia","何a","","-0.527","correl","2","1"
"kie","何e","","-0.527","correl","2","1"
"kiam","何时","","-0.765","correl","7","1"
"kiom","何量","","-0.561","correl","10","1"
"kies","何之","","0.187","correl","1","1"
"kial","何因","","-0.584","correl","5","1"
"kiel","何样","","-1.01","correl","13","1"
"ĉio","全o","","-2.258","correl","14","1"
"ĉiu","全u","","-3.357","correl","44","1"
"ĉia","全a","","-1.629","correl","7","1"
"ĉie","全e","","-1.342","correl","5","1"
"ĉiam","全时","","-1.277","correl","11","1"
"ĉiom","全量","","0.347","correl","3","1"
"ĉies","全之","","-0.843","correl","4","1"
"ĉial","全因","","0.407","correl","1","1"
"ĉiel","全样","","-1.771","correl","26","1"
"io","某o","","-0.265","correl","2","1"
"iu","某u","","-1.113","correl","6","1"
"ia","某a","","-0.776","correl","4","1"
"ie","某e","","-0.265","correl","2","1"
"iam","某时","","-0.248","correl","5","1"
"iom","某量","","-0.508","correl","12","1"
"ies","某之","","0.432","correl","1","1"
"ial","某因","","0.747","correl","1","1"
"iel","某样","","0.243","correl","4","1"
"tio","那o","","-2.546","correl","19","1"
"tiu","那u","","-2.258","correl","14","1"
"tia","那a","","-1.496","correl","6","1"
"tie","那e","","-2.035","correl","11","1"
"tiam","那时","","-0.402","correl","4","1"
"tiom","那量","","-0.058","correl","5","1"
"ties","那之","","-0.332","correl","2","1"
"tial","那因","","-0.692","correl","5","1"
"tiel","那样","","-0.421","correl","6","1"
"pri","于","","-5.081","prep","160","1"
"eksport","出","ek","-1.999","basic","7","3"
