-ant-	在
-at-	被
-ac^-	劣
-eg-	巨
-end-	须
-er-	粒
-et-	小
-ing-	座
-int-	过
-it-	受
-nj-	女ᴺ
-ont-	将
-op-	组
-ot-	待
abelo	蜂/o
aboni	订ᴬ/i
absoluta	绝/a
absurda	谬/a
abunda	丰/a
adapti	适ᴬ/i
adiau^	再见
adicii	加ᴬ/i
adjektivo	形ᴬ/o
administri	管ᴬ/i
admiri	佩/i
admoni	劝/i
adopti	收ᴬ/i
adori	拜/i
adreso	址/o
adverbo	副/o
advokato	辩ᴬ/o
aero	气/o
afabla	善/a
afero	事ᴬ/o
afis^o	贴/o
aflikti	悲/i
afranki	贴ᴬᴿ/i
agi	办/i
agrabla	快/a
ajlo	蒜/o
akademio	院ᴬ/o
akceli	促/i
akcento	重ᴬ/o
akcepti	受ᴬ/i
akcidento	祸/o
akiri	获/i
akompani	陪/i
akordo	和ᴬ/o
akra	锐/a
aktiva	活ᴬ/a
akto	幕/o
aktoro	演/o
aktuala	现ᴬᴷ/a
akurata	准ᴬ/a
akuzi	诉ᴬ/i
akvo	水/o
al	向
albumo	册ᴬ/o
alfabeto	字ᴬ/o
alia	别/a
alkoholo	醇/o
almenau^	至ᴬ
almozo	施/o
alta	高/a
alterni	替/i
aludi	暗/i
alumeto	柴/o
amara	苦ᴬ/a
amaso	堆/o
amatoro	好/o
ambasadoro	使ᴬᴿ/o
ambau^	两
ami	爱/i
amiko	友/o
amplekso	广ᴬ/o
amuzi	娱/i
anaso	鸭/o
anekdoto	闻/o
angulo	角ᴬ/o
animalo	兽ᴬ/o
animo	魂/o
ankau^	也
ankorau^	还ᴬ
anonci	宣/i
anstatau^	代
antau^	前
ang^elo	天使/o
aparato	器ᴬ/o
aparta	独ᴬ/a
apartamento	寓/o
aparteni	属/i
apenau^	才ᴬ
aperi	现ᴬ/i
apetito	欲ᴬ/o
aplau^di	鼓ᴬ/i
apliki	用ᴬ/i
apogi	支/i
apoteko	药ᴬ/o
aprilo	四月/o
aprobi	肯/i
apud	旁
araneo	蛛/o
arang^i	整ᴬ/i
arbitra	擅/a
arbo	树/o
arko	弧/o
armeo	军/o
armi	武/i
artikolo	文ᴬ/o
arto	艺/o
arg^ento	银/o
asekuri	保/i
aserti	断/i
asocio	联ᴬ/o
aspekti	显/i
ataki	攻/i
atendi	待ᴬ/i
atenta	注/a
atesti	证ᴬ/i
atingi	到/i
atomo	子ᴬ/o
avara	吝/a
aventuro	冒/o
avenuo	道/o
averti	警ᴬⱽ/i
avida	贪/a
avo	爷/o
azeno	驴/o
ac^eti	买/i
ag^o	岁/o
au^	或
au^di	听/i
au^gusto	八月/o
au^skulti	听ᴬˢ/i
au^to	车/o
au^tomato	动ᴬ/o
au^tomobilo	车/o/挂饰/o
au^toritato	权ᴬ/o
au^toro	作ᴬ/o
au^tuno	秋/o
babili	聊/i
bagatelo	琐/o
baki	烤/i
balai	扫/i
balanci	摇ᴮ/i
balbuti	结巴/i
baldau^	将ᴮ
balo	舞ᴮ/o
balono	球ᴮᴺ/o
baloti	票ᴮᴬ/i
bambuo	竹/o
banano	蕉/o
bandag^o	包ᴮᴺ/o
bani	浴/i
banko	银ᴮ/o
barakti	挣/i
barbo	胡/o
barelo	桶ᴮ/o
baro	障/o
bastono	棒/o
batali	战ᴮ/i
bati	打/i
bazaro	市ᴮᶻ/o
bazo	基/o
bebo	婴/o
bedau^ri	憾/i
beko	嘴/o
bela	美/a
bendo	带ᴮ/o
beni	祝/i
benko	凳/o
benzino	汽油/o
bero	浆果/o
besto	兽/o
bezoni	需/i
biblioteko	库ᴮ/o
biciklo	车ᴮᶜ/o
bieno	庄/o
biero	酒ᴮ/o
bildo	画/o
bileto	票/o
bindi	装ᴮ/i
birdo	鸟/o
blanka	白/a
bleki	鸣ᴮ/i
blinda	盲/a
bloko	块/o
blonda	金ᴮ/a
blovi	吹/i
blua	蓝/a
bluzo	衫ᴮ/o
bo-	姻
boato	舟/o
boji	吠/i
boli	沸/i
bombono	糖ᴮ/o
bona	良/a
bordo	岸/o
bori	钻/i
botelo	瓶/o
bovo	牛/o
brako	臂/o
branc^o	枝/o
brasiko	菜ᴮ/o
brava	勇ᴮ/a
bredi	养ᴮ/i
bremso	刹/o
breto	板ᴮ/o
briko	砖/o
brili	亮ᴮ/i
bronzo	青铜/o
broso	刷/o
brovo	眉/o
bros^uro	册ᴮ/o
brui	噪/i
bruli	燃/i
bruna	褐/a
brusto	胸/o
bubo	顽/o
budo	棚/o
buklo	卷ᴮ/o
bulko	包ᴮ/o
bulo	团ᴮ/o
bulteno	报ᴮ/o
burg^ono	芽ᴮ/o
butero	黄油/o
butiko	店/o
butono	扣/o
bug^eto	预算/o
bus^o	口/o
cedi	让/i
celo	标/o
cemento	水泥/o
cent	百
centralo	央ᶜᴸ/o
centro	央/o
cepo	葱/o
cerbo	脑/o
certa	确/a
cervo	鹿/o
cetera	余ᶜ/a
cifero	数ᶜ/o
cigaredo	烟ᶜ/o
cigno	天鹅/o
ciklo	环ᶜ/o
cindro	灰ᶜ/o
cirklo	圆ᶜ/o
cirkonstanco	况ᶜ/o
cirkulero	函/o
cirkuli	环ᶜᴿ/i
citi	引/i
citrono	果ᶜ/o
civila	民ᶜ/a
civilizi	民ᶜ/化/i
