非接地数	分節	層	単独接地率	合成接地率	例(見出し 字→訳語)
40	ven	tier0_CSV2890	0.50	0.07	alt/e/de/ven/a 来→名門の | al/ven/punkt/o 来→到着点 | amas/kun/ven/o 来→大衆集会
35	ric^	tier0_CSV2890	0.62	0.12	akv/a ric^/font/o 富→水資源 | dekoraci/ric^/a 富→大仕掛けな演出の | el/c^erp/ig^/o de ric^/font/oj 富→資源の枯渇
31	kultur	tier0_CSV2890	0.71	0.03	abel/kultur/o 耕→（養蜂） | agr/o/kultur/ist/o 耕→農民, | agr/o/kultur/o 耕→農業,
25	pov	tier0_CSV2890	0.86	0.19	ac^et/pov/o 能→購買力 | ag/a pov/um/o 能→有効電力 | c^eval/pov/o 能→馬力（仕事率の単位）
25	brul	tier0_CSV2890	0.57	0.17	brul/alarm/il/o 燃→火災報知器 | brul/bomb/o 燃→焼夷弾（しょういだん） | brul/brun/ig/i 燃→きつね色にこがす
23	font	tier0_CSV2890	0.50	0.12	akv/a ric^/font/o 泉→水資源 | altern/at/iv/a energi/font/o 泉→代替エネルギー源 | el/c^erp/ig^/o de ric^/font/oj 泉→資源の枯渇
21	film	tier0_CSV2890	0.50	0.00	desegn/o/film/o 影→アニメーション映画,漫画映画 | dokument/a film/o 影→記録映画,ドキュメンタリー | dokument/film/o 影→記録映画,ドキュメンタリー
19	ber	tier0_CSV2890	0.67	0.00	cidoni/ber/o 浆果→マルメロ（の実） | grapol/o de vin/ber/o 浆果→ぶどうの房 | gros/ber/o 浆果→グーズベリーの実,スグリの実,
18	kav	tier0_CSV2890	0.75	0.00	aksel/kav/o 洞→腋窩（えきか） | bus^/a kav/o 洞→口腔（こうこう） | epi/gastr/a kav/o 洞→みずおち,みぞおち（鳩尾）
18	aviad	tier0_CSV2890	0.50	0.05	amfibi/a aviad/il/o 航→水陸両用機 | aviad/il/akcident/o 航→飛行機事故 | batal/aviad/il/o 航→戦闘機,
14	facil	tier0_CSV2890	0.60	0.00	facil/a akus^/o 易→安産 | facil/a dorm/o 易→浅い眠り | facil/a labor/o 易→軽労働
13	konsum	tier0_CSV2890	0.75	0.07	amas/a konsum/ad/o 耗→大量消費 | amas/konsum/a 耗→大量消費の | amas/konsum/ad/o 耗→大量消費
13	glit	tier0_CSV2890	1.00	0.13	flug/glit/i 滑→（空中にただよう） | glit/eksponent/a prezent/ad/o 滑→浮動小数点表記 | glit/fal/i 滑→すべって転ぶ
13	krud	tier0_CSV2890	0.60	0.07	krud/a fort/o 粗→荒々しい力 | krud/a kau^c^uk/o 粗→生ゴム | krud/a kolor/o 粗→けばけばしい色
12	pentr	tier0_CSV2890	0.50	0.08	abstrakt/a pentr/aj^/o 描→（個々の）抽象画（作品） | abstrakt/a pentr/o/art/o 描→（集合的に）抽象絵画,抽象画 | mar/pentr/aj^/o 描→海洋画
12	central	tier0_CSV2890	1.00	0.00	akv/o/central/o 央→水力発電所 | akv/o/energi/a central/o 央→水力発電所 | atom/central/o 央→原子力発電所
12	dik	tier0_CSV2890	0.71	0.20	dik/a fingr/o 厚→親指 | dik/a intest/o 厚→大腸 | dik/a liter/o 厚→太字
11	fend	tier0_CSV2890	0.60	0.15	aer/fend/o 裂→空隙（くうげき）,エアギャップ | cel/fend/o 裂→（銃の）照門 | fal/fend/o 裂→断層
11	kvartal	tier0_CSV2890	0.83	0.08	amuz/kvartal/o 区→歓楽街,盛り場, | centr/a kvartal/o 区→中心街 | dom/blok/a kvartal/o 区→住宅団地
11	figur	tier0_CSV2890	0.67	0.08	bel/figur/a 形→姿のよい | c^ifon/figur/o 形→かかし（案山子） | figur/a senc/o 形→転義,比喩的意味,
10	ordinar	tier0_CSV2890	0.75	0.09	ekster/ordinar/a bug^et/o 普→特別予算 | ekster/ordinar/a kun/ven/o 普→特別会合,臨時会合 | ekster/ordinar/a spert/o 普→並外れた経験
