層	分節	単独語数	単独接地率	合成語数	合成接地率	文脈保持率
tier0_CSV2890	pag	17	0.059	28	0.000	0.00
tier0_CSV2890	administr	10	0.700	4	0.000	0.00
tier0_CSV2890	instanc	3	0.333	3	0.000	0.00
tier0_CSV2890	sol	9	0.222	11	0.000	0.00
tier0_CSV2890	toler	8	0.125	3	0.000	0.00
tier0_CSV2890	kaduk	9	0.444	6	0.000	0.00
tier0_CSV2890	prezid	6	0.500	6	0.000	0.00
tier0_CSV2890	akcel	6	0.667	7	0.000	0.00
tier0_CSV2890	akcept	6	1.000	2	0.000	0.00
tier0_CSV2890	kompani	3	0.333	18	0.000	0.00
tier0_CSV2890	akrid	1	1.000	2	0.000	0.00
tier0_CSV2890	kav	8	0.750	18	0.000	0.00
tier0_CSV2890	akt	6	0.667	2	0.000	0.00
tier0_CSV2890	aktor	4	0.500	4	0.000	0.00
tier0_CSV2890	bar	9	0.333	12	0.000	0.00
tier0_CSV2890	central	3	1.000	12	0.000	0.00
tier0_CSV2890	lili	1	1.000	4	0.000	0.00
tier0_CSV2890	alfabet	9	0.667	1	0.000	0.00
tier0_CSV2890	alud	3	1.000	1	0.000	0.00
tier0_CSV2890	amar	1	1.000	1	0.000	0.00
tier0_CSV2890	buc^	5	0.800	4	0.000	0.00
tier0_CSV2890	amator	1	1.000	6	0.000	0.00
tier0_CSV2890	amor	7	0.286	2	0.000	0.00
tier0_CSV2890	vek	7	0.286	6	0.000	0.00
tier0_CSV2890	sopir	4	0.250	4	0.000	0.00
tier0_CSV2890	anim	12	0.167	12	0.000	0.00
tier0_CSV2890	pus^	23	0.130	6	0.000	0.00
tier0_CSV2890	mast	7	0.143	3	0.000	0.00
tier0_CSV2890	rimed	4	0.250	7	0.000	0.00
tier0_CSV2890	aparten	4	1.000	1	0.000	0.00
tier0_CSV2890	ritm	4	0.750	2	0.000	0.00
tier0_CSV2890	mekanik	7	0.714	9	0.000	0.00
tier0_CSV2890	tunel	1	1.000	4	0.000	0.00
tier0_CSV2890	aven	1	1.000	2	0.000	0.00
