覚えた語根数	①実際の優先順位_CSV2890完読率	②頻度貪欲(F降順)_CSV2890完読率	③逆順(PIV優先)_CSV2890完読率	④無作為_CSV2890完読率	⑤層順のみ(層内無作為)_CSV2890完読率	⑥層順+層内F降順_CSV2890完読率	①実際の優先順位_全語完読率	②頻度貪欲(F降順)_全語完読率	③逆順(PIV優先)_全語完読率	④無作為_全語完読率	⑤層順のみ(層内無作為)_全語完読率	⑥層順+層内F降順_全語完読率
100	2.4011	2.4364	0.0000	1.1653	2.9308	1.9068	1.5073	4.2781	0.2208	0.3379	0.9812	2.3848
200	5.5438	6.0028	0.0000	2.2246	5.7203	5.4379	2.7977	9.4376	0.4397	0.7585	2.9782	3.1702
300	9.1808	9.7458	0.0000	3.1780	9.0749	9.2161	6.7359	14.5068	0.6682	1.0695	4.4817	8.3911
400	13.1003	13.3475	0.0000	4.4845	12.6412	13.1356	10.8067	19.3629	0.8833	1.4862	6.1176	14.1074
500	16.7373	17.1963	0.0000	5.5791	16.3842	17.0198	15.5629	23.8177	1.1079	1.8587	7.7171	19.4397
600	20.4096	20.9746	0.0000	6.8856	20.1271	20.9393	19.0998	27.9441	1.3480	2.2370	9.4971	24.1422
700	24.0819	24.5763	0.0000	7.8037	23.7641	24.8234	22.5945	31.7249	1.5765	2.6325	11.1753	28.3780
800	27.9308	27.8249	0.0000	8.7218	27.4364	28.5664	26.1027	35.2253	1.8107	3.2163	12.9745	32.2971
900	31.8856	31.2147	0.0000	9.6751	31.0734	32.2387	29.1231	38.5184	2.0507	3.6637	14.8640	35.9223
1000	35.7345	34.4633	0.0000	10.8404	34.8164	36.0169	32.5160	41.6444	2.2735	4.2992	16.8244	39.2653
1100	39.4774	37.9237	0.0000	12.2881	38.5240	39.9011	35.5806	44.5055	2.4962	4.9041	19.0768	42.2742
1200	43.0085	40.8192	0.0000	13.4534	42.1963	43.6441	38.3341	47.1130	2.7170	5.3476	21.0930	45.0700
1300	46.8573	43.6088	0.0000	14.7246	45.7980	47.3517	40.8668	49.6400	2.9647	5.8718	23.6660	47.6123
1400	50.4944	46.6102	0.0000	15.7486	49.4703	51.0240	43.4071	51.9768	3.2086	6.3154	25.9548	49.8723
1500	54.7669	49.6116	0.0000	16.6667	53.1427	54.6610	45.2025	54.1696	3.4332	6.8012	28.2820	52.1093
1600	58.4040	51.9774	0.0000	17.8672	56.8503	58.2627	47.2302	56.3336	3.6790	7.2812	30.7110	54.0621
1700	62.0056	54.4845	0.0000	19.3150	60.5579	62.0763	49.1580	58.2692	3.9229	7.9245	33.2303	55.8747
1800	65.5720	57.4506	0.0000	20.2684	64.3715	65.7133	51.4065	60.1759	4.1648	8.4698	35.9627	57.4953
1900	69.3503	59.6751	0.0000	21.5395	68.1144	69.2797	52.6661	61.9597	4.4240	9.0785	38.7027	58.9739
2000	73.0579	61.9350	0.0000	22.6342	71.9280	72.9167	54.3252	63.6130	4.6813	9.5624	41.5945	60.3487
2100	76.9421	64.3362	0.0000	23.9054	75.6709	76.5184	55.7691	65.1529	4.9271	10.0693	44.3269	61.5450
2200	80.5438	66.2782	0.0000	24.6116	79.3432	80.0847	57.6931	66.6507	5.1095	10.5148	47.3915	62.6625
2300	84.1808	68.2910	0.0000	25.5650	82.9802	83.7218	59.5288	68.1196	5.3572	11.0640	51.0321	63.5419
2400	87.7472	69.9859	0.0000	26.5537	86.6879	87.4294	61.4528	69.4503	5.5166	11.6631	53.9430	64.3100
2500	91.2782	72.0692	0.0000	27.7895	90.6073	91.1017	63.1368	70.7099	5.8238	12.3178	57.4013	64.9513
2600	94.8446	73.7641	0.0000	28.7782	94.3150	94.7034	64.2543	72.0406	6.1580	13.2702	60.4370	65.4678
2700	98.3757	75.1059	0.0000	29.7316	98.1638	98.3051	65.2758	73.1581	6.4556	13.8732	63.9912	65.8039
2800	100.0000	76.6596	0.0000	31.0381	100.0000	100.0000	66.2244	74.2775	6.7570	14.5318	66.2993	67.8066
2900	100.0000	77.7542	0.0000	32.0268	100.0000	100.0000	66.7736	75.4143	7.0662	15.2653	66.9541	70.1396
3000	100.0000	79.3079	0.0000	33.2627	100.0000	100.0000	67.3189	76.3494	7.3465	16.0525	67.6511	71.9733
3100	100.0000	80.1554	0.0000	34.6751	100.0000	100.0000	67.8220	77.3133	7.7075	16.9493	68.2214	73.4692
3200	100.0000	81.6384	0.0000	35.7345	100.0000	100.0000	68.4307	78.2465	8.0666	17.5253	68.8761	74.7902
3300	100.0000	82.8743	0.0000	36.7938	100.0000	100.0000	69.0969	79.1797	8.3738	18.3356	69.4906	75.9769
3400	100.0000	83.8277	0.0000	37.8178	100.0000	100.0000	69.7632	79.9247	8.7079	20.5284	70.1050	77.0925
3500	100.0000	84.6398	0.0000	39.0890	100.0000	100.0000	70.5544	80.6698	9.0152	21.4155	70.7156	78.0641
3600	100.0000	85.7698	0.0000	39.9364	100.0000	100.0000	71.2072	81.3956	9.3646	23.0170	71.3800	78.9839
3700	100.0000	86.7232	0.0000	41.3136	100.0000	100.0000	71.8293	82.1579	9.6642	24.0289	72.0502	79.8230
3800	100.0000	87.5000	0.0000	42.1963	100.0000	100.0000	72.6185	82.9317	9.9925	24.5819	72.6358	80.5507
3900	100.0000	88.1709	0.0000	43.4675	100.0000	100.0000	73.3079	83.6114	10.3113	25.3019	73.3367	81.3072
4000	100.0000	88.9477	0.0000	44.4209	100.0000	100.0000	73.9511	84.2144	10.6223	26.3465	73.9050	82.0561
4100	100.0000	89.2655	0.0000	45.5155	100.0000	100.0000	74.5022	84.7981	10.9295	27.1779	74.5848	82.6322
4200	100.0000	89.7246	0.0000	46.6455	100.0000	100.0000	75.2741	85.3722	11.2579	28.1956	75.3605	83.1948
4300	100.0000	90.1836	0.0000	47.6342	100.0000	100.0000	75.9135	85.9483	11.5805	28.8350	76.0690	83.7497
4400	100.0000	90.7839	0.0000	48.8701	100.0000	100.0000	76.6355	86.5013	11.9088	29.7337	76.7238	84.3104
4500	100.0000	91.2782	0.0000	50.1412	100.0000	100.0000	77.3575	87.0773	12.2333	30.6842	77.3671	84.8787
4600	100.0000	91.6667	0.0000	50.9887	100.0000	100.0000	78.1639	87.6515	12.5482	31.5060	78.0564	85.3319
4700	100.0000	92.3023	0.0000	52.1540	100.0000	100.0000	78.9512	88.2275	12.8535	32.6523	78.6977	85.7140
4800	100.0000	92.5494	0.0000	53.3192	100.0000	100.0000	79.6079	88.6173	13.1550	33.7218	79.3544	86.0808
4900	100.0000	92.7613	0.0000	54.4492	100.0000	100.0000	80.1379	88.9994	13.4968	34.5475	79.9823	86.4610
5000	100.0000	92.9379	0.0000	55.7203	100.0000	100.0000	80.7331	89.3950	13.8232	36.3582	80.6755	86.8315
5100	100.0000	93.1850	0.0000	56.9209	100.0000	100.0000	81.3725	89.7828	14.1477	37.3260	81.2919	87.1964
5200	100.0000	93.5734	0.0000	58.0508	100.0000	100.0000	82.0235	90.1861	14.4991	38.5203	81.8871	87.5708
5300	100.0000	93.9266	0.0000	59.3573	100.0000	100.0000	82.5995	90.5893	14.8294	41.2085	82.5688	87.9760
5400	100.0000	94.3150	0.0000	60.3107	100.0000	100.0000	83.2408	90.9733	15.1769	43.4859	83.2600	88.3562
5500	100.0000	94.4915	0.0000	61.5113	100.0000	100.0000	83.9628	91.3650	15.5360	44.8300	83.9129	88.5789
5600	100.0000	94.7034	0.0000	62.8531	100.0000	100.0000	84.7559	91.7299	15.9124	45.9475	84.5792	88.8400
5700	100.0000	94.9859	0.0000	63.8065	100.0000	100.0000	85.4702	92.1197	16.2657	48.2709	85.2954	89.0493
5800	100.0000	95.1977	0.0000	64.5127	100.0000	100.0000	86.0904	92.5018	16.6804	49.1062	85.9982	89.2586
5900	100.0000	95.3037	0.0000	65.9605	100.0000	100.0000	86.7528	92.8954	17.0491	51.0551	86.7029	89.4948
6000	100.0000	95.5155	0.0000	67.1963	100.0000	100.0000	87.5766	93.2929	17.3966	52.1362	87.4018	89.7099
6100	100.0000	95.8333	1.2712	68.5028	100.0000	100.0000	88.2928	93.7038	17.8076	53.3363	88.1373	89.9288
6200	100.0000	96.0099	4.9435	69.8446	100.0000	100.0000	89.0954	94.0936	19.5146	54.5940	88.9437	90.1438
6300	100.0000	96.1158	8.6864	71.0805	100.0000	100.0000	89.8097	94.3163	21.6479	56.0687	89.7156	90.3800
6400	100.0000	96.2218	12.2881	72.1751	100.0000	100.0000	90.5355	94.5371	23.5988	57.3437	90.5240	90.6027
6500	100.0000	96.2924	15.8898	73.1992	100.0000	100.0000	90.9023	94.7464	25.2175	59.1006	90.9656	92.5498
6600	100.0000	96.4689	19.5268	74.3997	100.0000	100.0000	91.2229	95.0498	27.2874	60.6578	91.2959	93.4580
6700	100.0000	96.4689	23.5169	75.4237	100.0000	100.0000	91.5839	95.2764	28.9214	61.8675	91.7164	94.0917
6800	100.0000	96.4689	27.1893	76.5537	100.0000	100.0000	91.8624	95.4953	30.9453	63.5650	92.1350	94.6754
6900	100.0000	96.5042	30.8616	77.7189	100.0000	100.0000	92.1888	95.7180	32.8386	64.6883	92.5306	95.0498
7000	100.0000	96.6808	34.4633	78.8489	100.0000	100.0000	92.5383	95.9465	34.5744	65.8749	92.8647	95.4627
7100	100.0000	96.8573	38.2415	80.0141	100.0000	100.0000	92.8858	96.1616	36.1662	67.1115	93.2564	95.8294
7200	100.0000	96.9633	41.8079	80.9675	100.0000	100.0000	93.2276	96.3651	37.8003	70.7329	93.6865	96.2230
7300	100.0000	97.0692	45.8686	82.1681	100.0000	100.0000	93.5636	96.5840	39.1943	71.9522	94.0859	96.6436
7400	100.0000	97.1045	49.6822	83.6158	100.0000	100.0000	93.8766	96.8106	40.2312	75.5352	94.4296	96.9066
7500	100.0000	97.1751	53.2486	84.9223	100.0000	100.0000	94.2107	97.0506	41.4044	77.4784	94.7656	97.1102
7600	100.0000	97.2811	56.8503	85.9463	100.0000	100.0000	94.5141	97.2657	42.6948	78.6901	95.1151	97.3329
7700	100.0000	97.3870	60.4520	87.1822	100.0000	100.0000	94.8444	97.4750	43.8699	80.3702	95.4895	97.5518
7800	100.0000	97.7048	64.0537	88.5593	100.0000	100.0000	95.3667	97.7016	44.7474	82.0772	95.8486	97.7745
7900	100.0000	97.7401	67.9732	89.8658	100.0000	100.0000	95.7430	97.9185	45.8265	83.9513	96.1885	97.9819
8000	100.0000	97.8107	71.3983	91.2076	100.0000	100.0000	96.0752	98.1240	46.9998	87.0120	96.8202	98.2085
8100	100.0000	97.9520	75.0000	92.3023	100.0000	100.0000	96.4592	98.3467	48.2210	88.2371	97.1466	98.4255
8200	100.0000	98.0226	78.6017	93.4322	100.0000	100.0000	96.8394	98.5580	49.4249	89.2490	97.5499	98.6232
8300	100.0000	98.1285	82.0268	94.6328	100.0000	100.0000	97.2138	98.7826	50.7633	91.8412	98.0299	98.8402
8400	100.0000	98.1638	85.5226	95.7274	100.0000	100.0000	97.6747	99.0130	51.5985	93.2295	98.3563	99.0553
8500	100.0000	98.5169	89.0890	96.6808	100.0000	100.0000	98.0242	99.2646	52.3628	94.8482	98.7922	99.2569
8600	100.0000	99.6116	92.4788	97.6695	100.0000	100.0000	98.3448	99.4931	57.9543	96.9719	99.2223	99.4739
8700	100.0000	99.8234	95.6215	99.0466	100.0000	100.0000	99.1705	99.7062	84.5043	98.7308	99.5680	99.7235
8800	100.0000	100.0000	99.5763	99.7528	100.0000	100.0000	99.9098	99.9731	96.3575	99.7677	99.9539	99.9712
