区分	指標	値
全体	母集団_全レキシーム	33418
全体	母集団_漢字2字以上	26771
全体	類型1_完全衝突_対	157316
全体	類型1_識別子未解決_対	166
全体	類型1_未解決かつ同義_対	118
全体	類型1_未解決かつ異義_対	48
全体	類型2_転置衝突_対	173
全体	類型2_恣意的_対	53
全体	類型2_要注意(同義除く)_対	49
全体	類型3_高重複近傍_対	82289
全体	類型3_恣意的_対	1150
全体	類型3_要注意(同義除く)_対	1131
層別	CSV2890_全件	2692
層別	CSV2890_2字以上	242
層別	CSV2890_異義完全衝突率%	0.15
層別	CSV2890_恣意的転置率%	0.04
層別	CSV2890_恣意的高重複率%	0.19
層別	CSV2890_恣意的高重複率_2字以上条件付%	2.07
層別	CSV2890_面の平均字数	1.10
層別	PEJVO_全件	21891
層別	PEJVO_2字以上	19428
層別	PEJVO_異義完全衝突率%	0.27
層別	PEJVO_恣意的転置率%	0.36
層別	PEJVO_恣意的高重複率%	1.92
層別	PEJVO_恣意的高重複率_2字以上条件付%	2.16
層別	PEJVO_面の平均字数	2.16
層別	PIV_全件	8835
層別	PIV_2字以上	7101
層別	PIV_異義完全衝突率%	0.37
層別	PIV_恣意的転置率%	0.12
層別	PIV_恣意的高重複率%	2.37
層別	PIV_恣意的高重複率_2字以上条件付%	2.94
層別	PIV_面の平均字数	2.15
対照A_ラテン	完全衝突_対	10
対照A_ラテン	転置衝突_対	1074
対照A_ラテン	高重複近傍_対	8062
対照B_無作為	完全衝突_対	168025
対照B_無作為	恣意的転置_対	3909
対照B_無作為	恣意的高重複_対	2077
