類型	層A	語A	面A	層B	語B	面B
完全衝突(異義)	CSV2890	adiau^	再见	PEJVO	revidi	再见
転置(恣意的)	CSV2890	fiziko	物理	PEJVO	traktaj^o	理ᵀ物
高重複(恣意的)	CSV2890	decembro	十二月	PEJVO	dekduedro	十二面ᴱ
高重複(恣意的)	CSV2890	feminismo	女ᶠᴱ主义	PEJVO	imperialismo	帝主义
高重複(恣意的)	CSV2890	feminismo	女ᶠᴱ主义	PEJVO	provincialismo	省主义
高重複(恣意的)	CSV2890	meh^anismo	械ᴹᴺ主义	PEJVO	provincialismo	省主义
高重複(恣意的)	CSV2890	mekanismo	械ᴹᴷ主义	PEJVO	provincialismo	省主义
高重複(恣意的)	PEJVO	brasikrapo	菜ᴮ萝卜ᴿᴾ	CSV2890	karoto	胡萝卜
高重複(恣意的)	PEJVO	deismo	神主义ᴰ	CSV2890	feminismo	女ᶠᴱ主义
高重複(恣意的)	PEJVO	deismo	神主义ᴰ	CSV2890	meh^anismo	械ᴹᴺ主义
高重複(恣意的)	PEJVO	deismo	神主义ᴰ	CSV2890	mekanismo	械ᴹᴷ主义
高重複(恣意的)	PEJVO	imperialismo	帝主义	CSV2890	meh^anismo	械ᴹᴺ主义
高重複(恣意的)	PEJVO	imperialismo	帝主义	CSV2890	mekanismo	械ᴹᴷ主义
完全衝突(異義)	PEJVO	aertubo	气管	PEJVO	trakeo	气管
完全衝突(異義)	PEJVO	alinei	换行	PEJVO	komutado	换行
完全衝突(異義)	PEJVO	asketo	苦行	PEJVO	suferado	苦行
完全衝突(異義)	PEJVO	au^todidakto	自学	PEJVO	memlerni	自学
完全衝突(異義)	PEJVO	bumo	帆杆	PEJVO	velstango	帆杆
完全衝突(異義)	PEJVO	c^efmasto	首柱	PEJVO	steveno	首柱
完全衝突(異義)	PEJVO	domicilo	住所	PEJVO	log^ejo	住所
完全衝突(異義)	PEJVO	florkrono	花冠	PEJVO	korolo	花冠
完全衝突(異義)	PEJVO	glits^tono	滑石	PEJVO	talki	滑石
完全衝突(異義)	PEJVO	hipotenuzo	斜边	PEJVO	klinrando	斜边
完全衝突(異義)	PEJVO	kaptuko	头巾	PEJVO	turbano	头巾
完全衝突(異義)	PEJVO	kredigi	信使	PEJVO	kuriero	信使
完全衝突(異義)	PEJVO	lavendo	香草	PEJVO	spicherbo	香草
完全衝突(異義)	PEJVO	okono	八分	PEJVO	oktanto	八分
完全衝突(異義)	PEJVO	punkcii	穿刺	PEJVO	trapiki	穿刺
完全衝突(異義)	PEJVO	skuno	帆船	PEJVO	vels^ipa	帆船
完全衝突(異義)	PEJVO	talpa	地鼠	PEJVO	termuso	地鼠
転置(恣意的)	PEJVO	amoristo	性ᴬ家	PEJVO	hejmeca	家ᴴ性
転置(恣意的)	PEJVO	amorveka	性ᴬ醒	PEJVO	sobreco	醒ˢ性
転置(恣意的)	PEJVO	arh^ipelago	群岛ᴬᴴ̂	PEJVO	insularo	岛群
転置(恣意的)	PEJVO	arkipelago	群岛	PEJVO	insularo	岛群
転置(恣意的)	PEJVO	armistico	停战	PEJVO	batalhalto	战ᴮ停
転置(恣意的)	PEJVO	atomkerno	子ᴬ核	PEJVO	nukleono	核ᴺ子ᴼ
転置(恣意的)	PEJVO	atompilo	子ᴬ电ᴾ	PEJVO	elektrona	电子ᴼ
転置(恣意的)	PEJVO	borsisto	市ᴮ家	PEJVO	hejmurbo	家ᴴ市
転置(恣意的)	PEJVO	cerbeto	脑小	PEJVO	cerebelo	小脑
転置(恣意的)	PEJVO	dancrondo	舞圆	PEJVO	valsi	圆舞
転置(恣意的)	PEJVO	dek-dua	十-二	PEJVO	dudek	二十
転置(恣意的)	PEJVO	dek-sesa	十-六	PEJVO	sesdek	六十
