版	区分	層	行	見出し	描画	別解析の復号
学習者版	S2adj	PEJVO	L258	adiau^/i	再见/i	revidi
学習者版	S2adj	PEJVO	L259	adiau^/o	再见/o	revido
学習者版	S2adj	PEJVO	L449	aer/tub/o	气/管/o	trakeo
学習者版	S2adj	PEJVO	L862	log^/ej/o	住/所/o	domicilo
学習者版	S2adj	PEJVO	L1181	aline/o	换行/o	komutado
学習者版	S2adj	PEJVO	L2572	asket/o	苦行/o	suferado
学習者版	S2adj	PEJVO	L2650	atas^e/o	随员/o	sekvano
学習者版	S2adj	PEJVO	L5343	c^ef/mast/o	首/柱/o	steveno
学習者版	S2adj	CSV2890	L5490	c^ia	全a	integra
学習者版	S2adj	CSV2890	L5506	c^io	全o	integro
学習者版	S2adj	CSV2890	L5702	c^iu	全u	integru
学習者版	S2adj	PEJVO	L5715	c^iu/j	全u/j	integruj
学習者版	S2adj	PEJVO	L7428	domicil/o	住所/o	log^ejo
学習者版	S2adj	PEJVO	L7765	du/kolor/a	二/色/a	dikroa
学習者版	S2adj	PEJVO	L11968	frak/ul/o	燕尾/者/o	hirundvostulo
学習者版	S2adj	PEJVO	L13067	glit/s^ton/o	滑/石/o	talko
学習者版	S2adj	PEJVO	L14430	hipotenuz/o	斜边/o	klinrando
学習者版	S2adj	CSV2890	L15591	integr/a	全/a	c^ia
学習者版	S2adj	PEJVO	L15841	interpunkci/o	标点/o	celpunkto
学習者版	S2adj	PEJVO	L17158	kap/tuk/o	头/巾/o	turbano
学習者版	S2adj	PEJVO	L18046	klin/angul/o	斜/角/o	skaleno
学習者版	S2adj	PEJVO	L18071	klin/rand/o	斜/边/o	hipotenuzo
学習者版	S2adj	PEJVO	L18355	kol/har/oj	颈/毛/oj	krinoj
学習者版	S2adj	PEJVO	L18824	komut/ad/o	换/行/o	alineo
学習者版	S2adj	PEJVO	L19603	konvekt/o	对流/o	kontrau^fluo
学習者版	S2adj	PEJVO	L21707	lavend/o	香草/o	spicherbo
学習者版	S2adj	PEJVO	L26370	mult/angul/a	多/角/a	poligona
学習者版	S2adj	PEJVO	L26371	mult/angul/o	多/角/o	poligono
学習者版	S2adj	PEJVO	L26408	mult/kolor/a	多/色/a	pleokroa
学習者版	S2adj	PEJVO	L26409	mult/kolor/ec/o	多/色/性/o	pleokroeco
学習者版	S2adj	PEJVO	L27198	ne/long/a	不/长/a	nelga
学習者版	S2adj	CSV2890	L27235	nenio	无o	seno
学習者版	S2adj	CSV2890	L27239	neniu	无u	senu
学習者版	S2adj	PEJVO	L28257	ok/on/o	八/分/o	oktanto
学習者版	S2adj	PEJVO	L28278	oktant/o	八分/o	okono
学習者版	S2adj	CSV2890	L28813	ort/o	直角/o	ortangulo
学習者版	S2adj	PEJVO	L29687	pavez/o	船壁/o	s^ipmuro
学習者版	S2adj	PEJVO	L31058	poligon/o	多角/o	multangulo
学習者版	S2adj	PEJVO	L31371	steven/o	首柱/o	c^efmasto
学習者版	S2adj	PEJVO	L32741	punkci/i	穿刺/i	trapiki
学習者版	S2adj	PEJVO	L33187	reakci/ig/i	反应/使/i	maldevigi
学習者版	S2adj	CSV2890	L33575	rekt/angul/o	直/角/o	ortangulo
学習者版	S2adj	PEJVO	L34017	re/vid/i	再/见/i	adiau^i
学習者版	S2adj	PEJVO	L34018	re/vid/o	再/见/o	adiau^o
学習者版	S2adj	PEJVO	L35014	sam/ec/o	同/性/o	gejo
学習者版	S2adj	PEJVO	L37043	skun/o	帆船/o	vels^ipo
学習者版	S2adj	PEJVO	L37611	spic/herb/o	香/草/o	lavendo
学習者版	S2adj	PEJVO	L38497	sufer/ad/o	苦/行/o	asketo
学習者版	S2adj	PEJVO	L39860	talk/o	滑石/o	glits^tono
学習者版	S2adj	PEJVO	L39865	talp/o	地鼠/o	termuso
学習者版	S2adj	PEJVO	L40309	teozof/i/o	神智/i/o	disag^io
学習者版	S2adj	PEJVO	L40426	ter/mus/o	地/鼠/o	talpo
学習者版	S2adj	PEJVO	L40992	trake/o	气管/o	aertubo
学習者版	S2adj	PEJVO	L41210	tra/pik/i	穿/刺/i	punkcii
学習者版	S2adj	PEJVO	L41794	turban/o	头巾/o	kaptuko
学習者版	S2adj	PEJVO	L42123	unu/di/ism/o	一/神/主义/o	unitariismo
学習者版	S2adj	PEJVO	L42127	unu/ec/a	一/性/a	monofizita
学習者版	S2adj	PEJVO	L42129	unu/ec/o	一/性/o	monofizito
学習者版	S2adj	PEJVO	L42885	vel/s^ip/o	帆/船/o	skuno
学習者版	S2adj	PIV	L46745	dikro/a	二色/a	dukolora
学習者版	S2adj	PIV	L48263	gej/o	同性/o	sameco
学習者版	S2adj	PIV	L49486	integr/o	全/o	c^io
学習者版	S2adj	PIV	L51259	lamprid/o	月鱼/o	lunfis^o
学習者版	S2adj	PIV	L52180	monofizit/o	一性/o	unueco
学習者版	S2adj	PIV	L52181	monofizit/a	一性/a	unueca
学習者版	S2adj	PIV	L52396	nelg/a	不长/a	nelonga
学習者版	S2adj	PIV	L52554	nov/ism/o	新/主义/o	neismo
学習者版	S2adj	PIV	L53569	pleokro/a	多色/a	multkolora
学習者版	S2adj	PIV	L53570	pleokro/ec/o	多色/性/o	multkoloreco
学習者版	S2adj	PIV	L53652	poligon/a	多角/a	multangula
学習者版	S2adj	PIV	L54829	sen/o	无/o	nenio
学習者版	S2adj	PIV	L55084	skalen/o	斜角/o	klinangulo
学習者版	S2adj	PIV	L56609	unitari/ism/o	一神/主义/o	unudiismo
学習者版	S2adj	PIV	L58028	mal/dev/ig/i	反/应/使/i	reakciigi
学習者版	S2adj	PIV	L58435	lun/fis^/o	月/鱼/o	lamprido
学習者版	S2adj	PIV	L58509	kontrau^/flu/o	对/流/o	konvekto
学習者版	S2adj	PIV	L59982	s^ip/mur/o	船/壁/o	pavezo
学習者版	S2adj	PIV	L60601	cel/punkt/o	标/点/o	interpunkcio
学習者版	S2adj	PIV	L61469	pra/teri/oj	原/兽ᵀ/oj	tripanosomoj
学習者版	S2adj	PIV	L61783	hirund/vost/ul/o	燕/尾/者/o	frakulo
学習者版	S2syn	PEJVO	L1037	alburn/o	白鱼/o	blankfis^o
学習者版	S2syn	PEJVO	L2605	asteri/o	海星/o	marstelo
学習者版	S2syn	PEJVO	L2869	au^tonom/ec/o	自治/性/o	memregeco
学習者版	S2syn	PEJVO	L3590	best/kurac/a	兽/医/a	veterinara
学習者版	S2syn	PEJVO	L4508	brust/ost/o	胸/骨/o	sternumo
学習者版	S2syn	PEJVO	L4620	bum/o	帆杆/o	velstango
学習者版	S2syn	PEJVO	L6117	dek/du/edr/o	十/二/面ᴱ/o	dodekaedro
学習者版	S2syn	PEJVO	L7781	korol/o	花冠/o	florkrono
学習者版	S2syn	PEJVO	L8130	egal/potencial/a	等/势/a	ekvipotenciala
学習者版	S2syn	PEJVO	L8380	ekskori/i	擦伤/i	frotvundi
学習者版	S2syn	PEJVO	L11373	flor/kron/o	花/冠/o	korolo
学習者版	S2syn	CSV2890	L11584	fontan/o	喷泉/o	s^prucfonto
学習者版	S2syn	PEJVO	L12137	frit/kuk/o	炸/糕/o	benjeto
学習者版	S2syn	PEJVO	L12201	frot/vund/i	擦/伤/i	ekskorii
学習者版	S2syn	PEJVO	L13427	gres/o	牧草/o	pas^therbo
学習者版	S2syn	PEJVO	L14197	hepat/herb/o	肝/草/o	hepatiko
学習者版	S2syn	PEJVO	L14198	hepatik/o	肝草/o	hepatherbo
学習者版	S2syn	PEJVO	L14199	hepatik/oj	肝草/oj	hepatherboj
学習者版	S2syn	PEJVO	L15016	imperialism/o	帝主义/o	imperiismo
学習者版	S2syn	PEJVO	L15017	imperialist/o	帝家/o	imperiisto
学習者版	S2syn	PEJVO	L15026	imperi/ism/o	帝/主义/o	imperialismo
学習者版	S2syn	PEJVO	L15027	imperi/ist/o	帝/家/o	imperialisto
学習者版	S2syn	PEJVO	L15478	inocent/a	无罪/a	senkulpa
学習者版	S2syn	PEJVO	L17060	kap/hau^t/o	头/皮/o	skalpo
学習者版	S2syn	PEJVO	L21132	kvin/angul/o	五/角/o	pentagono
学習者版	S2syn	PEJVO	L24389	mar/hirund/o	海/燕/o	procelario
学習者版	S2syn	PEJVO	L24482	mar/stel/o	海/星/o	asterio
学習者版	S2syn	PEJVO	L24975	mem/reg/ec/o	自/治/性/o	au^tonomeco
学習者版	S2syn	PEJVO	L25505	mil/jar/o	千/年/o	milenio
学習者版	S2syn	PEJVO	L26470	mur/paper/o	壁/纸/o	tapeto
学習者版	S2syn	PEJVO	L27199	ne/long/e	不/长/e	nelge
学習者版	S2syn	PEJVO	L27578	nimbus/o	雨云/o	pluvnubo
学習者版	S2syn	PEJVO	L27889	nov/stel/o	新/星/o	novao
学習者版	S2syn	CSV2890	L28804	ort/a	直角/a	rektangula
学習者版	S2syn	PEJVO	L28805	ort/aj	直角/aj	rektangulaj
学習者版	S2syn	PEJVO	L29599	pas^t/herb/o	牧/草/o	greso
学習者版	S2syn	PEJVO	L29863	pentagon/o	五角/o	kvinangulo
学習者版	S2syn	PEJVO	L30931	pluv/nub/o	雨/云/o	nimbuso
学習者版	S2syn	PEJVO	L31391	post/gvardi/o	后/卫/o	ariero
学習者版	S2syn	PEJVO	L31539	pou^p/o	船尾/o	s^ipvosto
学習者版	S2syn	PEJVO	L33574	rekt/angul/a	直/角/a	orta
学習者版	S2syn	PEJVO	L35067	sam/temp/a	同/时/a	simultana
学習者版	S2syn	PEJVO	L35069	sam/temp/ec/o	同/时/性/o	simultaneco
学習者版	S2syn	PEJVO	L35938	sen/kulp/a	无/罪/a	inocenta
学習者版	S2syn	PEJVO	L36384	ses/angul/o	六/角/o	heksagono
学習者版	S2syn	PEJVO	L36658	simultan/ec/o	同时/性/o	samtempeco
学習者版	S2syn	PEJVO	L36846	skalp/o	头皮/o	kaphau^to
学習者版	S2syn	PEJVO	L36976	skorpi/fis^/o	蝎/鱼/o	skorpeno
学習者版	S2syn	PEJVO	L37956	sternum/o	胸骨/o	brustosto
学習者版	S2syn	PEJVO	L39296	s^ip/vost/o	船/尾/o	pou^po
学習者版	S2syn	PEJVO	L39449	s^pruc/font/o	喷/泉/o	fontano
学習者版	S2syn	CSV2890	L39926	tapet/o	壁纸/o	murpapero
学習者版	S2syn	PEJVO	L41296	tren/ret/o	拖/网/o	trolo
学習者版	S2syn	PEJVO	L41446	trip/kolbas/o	肚/肠/o	andujo
学習者版	S2syn	PEJVO	L41532	trol/o	拖网/o	trenreto
学習者版	S2syn	PEJVO	L42883	vel/stang/o	帆/杆/o	bumo
学習者版	S2syn	PEJVO	L43216	veterinar/a	兽医/a	bestkuraca
学習者版	S2syn	PIV	L45013	anduj/o	肚肠/o	tripkolbaso
学習者版	S2syn	PIV	L45266	arier/o	后卫/o	postgvardio
学習者版	S2syn	PIV	L45768	benjet/o	炸糕/o	fritkuko
学習者版	S2syn	PIV	L46869	dodeka/edr/o	十二/面ᴱ/o	dekduedro
学習者版	S2syn	PIV	L47093	ekvipotencial/a	等势/a	egalpotenciala
学習者版	S2syn	PIV	L48797	heksagon/o	六角/o	sesangulo
学習者版	S2syn	PIV	L48798	heksagon/a	六角/a	sesangula
学習者版	S2syn	PIV	L52067	mileni/o	千年/o	miljaro
学習者版	S2syn	PIV	L52395	nelg/e	不长/e	nelonge
学習者版	S2syn	PIV	L52555	nova/o	新星/o	novstelo
学習者版	S2syn	PIV	L53833	procelari/o	海燕/o	marhirundo
学習者版	S2syn	PIV	L55021	simultan/a	同时/a	samtempa
学習者版	S2syn	PIV	L55133	skorpen/o	蝎鱼/o	skorpifis^o
学習者版	S2syn	PIV	L57527	ses/angul/a	六/角/a	heksagona
学習者版	S2syn	PIV	L58429	blank/fis^/o	白/鱼/o	alburno
学習者版	S2syn	PIV	L59452	du/kotiledon/oj	二/子叶/oj	dikotiledonoj
学習者版	S2syn	PIV	L60161	fis^/ov/oj	鱼/卵/oj	frajoj
学習者版	S2syn	PIV	L61121	mar/stel/oj	海/星/oj	asterioj
学習者版	S1迂回	CSV2890	L1142	en	内	end
学習者版	S1迂回	PEJVO	L1868	du/on/o	二/分/o	diono
学習者版	S1迂回	CSV2890	L2450	herb/o	草/o	poo
学習者版	S1迂回	PEJVO	L2740	a/toni/o	无ᴬ/张/o	antonio
学習者版	S1迂回	PEJVO	L3411	baz/i	基/i	ili
学習者版	S1迂回	CSV2890	L3419	baz/o	基/o	ilo
学習者版	S1迂回	CSV2890	L3697	si	己	heks
学習者版	S1迂回	PEJVO	L5132	citrus/o	柑/o	citro
学習者版	S1迂回	PEJVO	L5479	c^eval/kas^tan/o	马/栗/o	hipokas^tano
学習者版	S1迂回	PEJVO	L5479	c^eval/kas^tan/o	马/栗/o	hipokastano
学習者版	S1迂回	CSV2890	L6115	du	二	di
学習者版	S1迂回	PEJVO	L6559	si/n	己/n	heksn
学習者版	S1迂回	CSV2890	L7361	valut/o	币/o	duro
学習者版	S1迂回	PEJVO	L7675	du/a	二/a	dia
学習者版	S1迂回	PEJVO	L7738	du/ec/o	二/性/o	dieco
学習者版	S1迂回	PEJVO	L7752	du/ig/i	二/使/i	diigi
学習者版	S1迂回	PEJVO	L7819	du/o	二/o	dio
学習者版	S1迂回	PEJVO	L7837	du/on-	二/分	dion
学習者版	S1迂回	PEJVO	L7938	dur/o	币/o	valuto
学習者版	S1迂回	PEJVO	L7960	du/valent/a	二/价ⱽ/a	divalenta
学習者版	S1迂回	PEJVO	L8694	urin/o	尿/o	urio
学習者版	S1迂回	PEJVO	L9427	end/osmoz/o	内/渗/o	enosmozo
学習者版	S1迂回	PEJVO	L9576	en/o	内/o	endo
学習者版	S1迂回	PEJVO	L9957	nov/an	新/an	nean
学習者版	S1迂回	PEJVO	L10543	si/an	己/an	heksan
学習者版	S1迂回	PEJVO	L13114	glut/ej/o	吞/所/o	fagejo
学習者版	S1迂回	PEJVO	L13120	glut/o	吞/o	fago
学習者版	S1迂回	PEJVO	L13314	gras/a	脂/a	lipa
学習者版	S1迂回	PEJVO	L13322	gras/i	脂/i	lipi
学習者版	S1迂回	CSV2890	L13326	gras/o	脂/o	lipo
学習者版	S1迂回	PEJVO	L14412	hipo/kas^tan/o	马/栗/o	c^evalkas^tano
学習者版	S1迂回	PEJVO	L14412	hipo/kas^tan/o	马/栗/o	hipokastano
学習者版	S1迂回	PEJVO	L16783	kalkul/baz/o	算/基/o	kalkulilo
学習者版	S1迂回	PEJVO	L17873	kiras/i	甲/i	meti
学習者版	S1迂回	PEJVO	L17874	kiras/o	甲/o	meto
学習者版	S1迂回	PEJVO	L18287	koks/a	股/a	kata
学習者版	S1迂回	CSV2890	L18289	koks/o	股/o	kato
学習者版	S1迂回	PEJVO	L24880	membran/o	膜/o	himeno
学習者版	S1迂回	PEJVO	L25244	mez/a	中/a	mesa
学習者版	S1迂回	CSV2890	L25283	mez/o	中/o	mesoo
学習者版	S1迂回	CSV2890	L25283	mez/o	中/o	meso
学習者版	S1迂回	CSV2890	L27814	nov/a	新/a	nea
学習者版	S1迂回	PEJVO	L27819	nov/aj	新/aj	neaj
学習者版	S1迂回	PEJVO	L27844	nov/e	新/e	nee
学習者版	S1迂回	PEJVO	L27860	nov/ig/i	新/使/i	neigi
学習者版	S1迂回	CSV2890	L33562	rekt/a	直/a	orta
学習者版	S1迂回	PEJVO	L33592	rekt/il/o	直/具/o	ortilo
学習者版	S1迂回	PEJVO	L33593	rekt/o	直/o	orto
学習者版	S1迂回	PEJVO	L34948	saliv/o	唾/o	sialo
学習者版	S1迂回	PEJVO	L35671	sen/baz/a	无/基/a	senila
学習者版	S1迂回	PEJVO	L36440	si/a	己/a	heksa
学習者版	S1迂回	PEJVO	L40067	teks/baz/o	织/基/o	teksilo
学習者版	S1迂回	PEJVO	L42542	valut/a	币/a	dura
学習者版	S1迂回	CSV2890	L43156	veruk/o	瘤/o	omo
学習者版	S1迂回	PIV	L48352	gir/i	旋/i	torni
学習者版	S1迂回	PIV	L48794	heks	己	si
学習者版	S1迂回	PIV	L48795	heks/an/o	己/an/o	siano
学習者版	S1迂回	PIV	L48875	herb/et/o	草/小/o	poeto
学習者版	S1迂回	PIV	L49034	hipo/kastan/o	马/栗/o	hipokas^tano
学習者版	S1迂回	PIV	L49034	hipo/kastan/o	马/栗/o	c^evalkas^tano
学習者版	S1迂回	PIV	L50309	kiras/a	甲/a	meta
