版	表面	見出し(raw)	行	語釈冒頭
学習者版	一性a	unu/ec/a	L42127	統一的な,一致した,一貫した
学習者版	一性a	monofizit/a	L52181	【PIV】Rilata al la monofizitoj: la monofizitaj ekle
学習者版	一性o	unu/ec/o	L42129	統一性,一致,一貫性;単一性
学習者版	一性o	monofizit/o	L52180	【キ】【PIV】Homo, kiu kredas, ke estas nur unu naturo 
学習者版	一神主义o	unu/di/ism/o	L42123	【宗】一神論,一神教,=monoteismo
学習者版	一神主义o	unitari/ism/o	L56609	【PIV】La doktrino de tiu skolo. Vd Socino.
学習者版	上	sur	L38830	{Ｂ}［前］〜の上に,〜の表面に;〜のところに
学習者版	上	sur-	L38831	{Ｂ}［前］〜の上に,〜の表面に;〜のところに
学習者版	上ˢᴾ	super	L38661	{Ｂ}［前］〜の上方に,〜の上に;〜に優越して;〜に熱中して
学習者版	上ˢᴾ	super-	L38662	{Ｂ}［前］〜の上方に,〜の上に;〜に優越して;〜に熱中して
学習者版	下	sub	L38216	{Ｂ}［前］〜の下に,下方に;〜の形をとって;〜に従って
学習者版	下	sub-	L38217	{Ｂ}［前］〜の下に,下方に;〜の形をとって;〜に従って
学習者版	不长a	ne/long/a	L27198	長くない,短めの
学習者版	不长a	nelg/a	L52396	【PIV】Okazinta nelge.
学習者版	不长e	ne/long/e	L27199	長くなく,少しの間
学習者版	不长e	nelg/e	L52395	【PIV】Antau^ nelonge: en la tombejo, nelge, vi paro
学習者版	中o	mez/o	L25283	{Ｂ}まん中,中央,中点;中間,中位,中ほど;最中,途中
学習者版	中o	meso/o	L51937	【PIV】Tiu peritonea refaldo.
学習者版	中肠ᴱo	mes/enter/o	L51933	【解】【PIV】Mesoentero (Vd (vidu) meso/).##偽分解(PIV正式分解
学習者版	中肠ᴱo	meso/enter/o	L51938	【PIV】Mesoo, liganta la abdomenan parieton al la ma
学習者版	中肠ᴱo	mez/enter/o	L51986	【PIV】(evi (evitinda)) = mesoentero (Vd (vidu) meso
学習者版	二色a	du/kolor/a	L7765	二色の,二色刷の
学習者版	二色a	dikro/a	L46745	【地質】【理】【PIV】(pp (se paroli pri) neizotropa kristal
学習者版	于	pri	L31940	{Ｂ}［前］〜について,〜に関して
学習者版	于	pri-	L31941	{Ｂ}［前］〜について,〜に関して
学習者版	五角o	kvin/angul/o	L21132	【数】五角形
学習者版	五角o	pentagon/o	L29863	【数】五角形,=kvinangulo
学習者版	以	per	L29895	{Ｂ}［前］〜で,〜を使って,〜によって,〜を介して
学習者版	以	per-	L29896	{Ｂ}［前］〜で,〜を使って,〜によって,〜を介して
学習者版	住所o	domicil/o	L7428	【法】（登録された）住所;本籍
学習者版	住所o	log^/ej/o	L22458	住みか;住居;宿泊所,宿舎
学習者版	全a	c^ia	L5490	{Ｂ}［形］すべての,あらゆる,どんな〜でも
学習者版	全a	integr/a	L15591	全部の,完全な,欠けたところのない;不可分の,不可欠の
学習者版	全o	c^io	L5602	{Ｂ}［代］すべて（の事・物）
学習者版	全o	integr/o	L49486	【PIV】integrado
学習者版	八分o	ok/on/o	L28257	八分の一;【楽】八分音符
学習者版	八分o	oktant/o	L28278	【数】八分円;【天】八分儀
学習者版	六角a	heksagon/a	L48798	【PIV】= sesangula.
学習者版	六角a	ses/angul/a	L57527	【理】【地質】【PIV】(pp (se paroli pri) kristalsistemo) Ha
学習者版	六角o	ses/angul/o	L36384	【数】六角形
学習者版	六角o	heksagon/o	L48797	【PIV】1 = regula sesangulo. 2 = sesangulo.
学習者版	共	kun	L20630	{Ｂ}［前］〜と共に,〜と一緒に;〜と,〜に対して;〜を連れて,〜を持って;〜と同時に,〜しながら
学習者版	共	kun-	L20631	{Ｂ}［前］〜と共に,〜と一緒に;〜と,〜に対して;〜を連れて,〜を持って;〜と同時に,〜しながら
学習者版	兽医a	best/kurac/a	L3590	獣医の,動物病院の
学習者版	兽医a	veterinar/a	L43216	獣医の,=bestkuraca
学習者版	内	en	L9369	{Ｂ}［前］（場所）〜の中で;（時間）〜の間に;（状態）〜において;（衣服）〜を着て
学習者版	内	en-	L9370	{Ｂ}［前］（場所）〜の中で;（時間）〜の間に;（状態）〜において;（衣服）〜を着て
学習者版	内	-en	L57281	{Ｂ}［前］（場所）〜の中で;（時間）〜の間に;（状態）〜において;（衣服）〜を着て
学習者版	内渗o	end/osmoz/o	L9427	【生】内方浸透##偽分解(PIV正式分解)##過細分解 e/n/d/osmoz/o
学習者版	内渗o	en/osmoz/o	L60156	【PIV】Osmozo al la interna medio.
学習者版	再见i	adiau^/i	L258	［他］別れを告げる;【情】ログアウトする,=malregistrig^i,>>saluti
学習者版	再见i	re/vid/i	L34017	［他］再会する,見なおす
学習者版	再见o	adiau^/o	L259	別れ,別れのあいさつ
学習者版	再见o	re/vid/o	L34018	再会
学習者版	出	el	L8751	{Ｂ}［前］〜の中から,〜から出た,〜のうちの,〜製の
学習者版	出	el-	L8752	{Ｂ}［前］〜の中から,〜から出た,〜のうちの,〜製の
学習者版	十二面ᴱo	dek/du/edr/o	L6117	【数】十二面体
学習者版	十二面ᴱo	dodeka/edr/o	L46869	【数】【PIV】1 = regula dekduedro. 2 = dekduedro.##偽分解
学習者版	千年o	mil/jar/o	L25505	=>jarmilo（千年紀）
学習者版	千年o	mileni/o	L52067	【PIV】1 Miljara dau^ro au^ datreveno. 2 Miljara reg
学習者版	卑	fi	L10885	{Ｂ}［間］チェッ！
学習者版	卑	fi-	L10886	{Ｂ}［間］チェッ！
学習者版	反应使i	reakci/ig/i	L33187	［他］反応させる
学習者版	反应使i	mal/dev/ig/i	L58028	【PIV】Fari, ke iu ne devu.
学習者版	同性o	sam/ec/o	L35014	同一,同一性
学習者版	同性o	gej/o	L48263	【PIV】(fm (familiara, familiare)) Samseksemulo.
学習者版	同时a	sam/temp/a	L35067	同時の;同時代の
学習者版	同时a	simultan/a	L55021	【PIV】Samtempe, sammomente okazanta: simultana tele
学習者版	同时性o	sam/temp/ec/o	L35069	同時性;同時代性
学習者版	同时性o	simultan/ec/o	L36658	【理】同時性,=samtempeco
学習者版	后	post	L31364	{Ｂ}［前］（時間的に）〜の後に,〜の後で;（空間的に）〜の後ろに,〜の背後で
学習者版	后	post-	L31365	{Ｂ}［前］（時間的に）〜の後に,〜の後で;（空間的に）〜の後ろに,〜の背後で
学習者版	后卫o	post/gvardi/o	L31391	【軍】後衛,後衛部隊,殿軍,=ariergardo
学習者版	后卫o	arier/o	L45266	【PIV】La malantau^a parto de armeo, tac^mento ks (k
学習者版	喷泉o	fontan/o	L11584	{Ｂ}噴水;噴水装置
学習者版	喷泉o	s^pruc/font/o	L39449	噴水,=fontano
学習者版	因ᴾ	pro	L32092	{Ｂ}［前］〜のせいで,〜のために（原因）;〜の代価として,〜と引き換えに
学習者版	因ᴾ	pro-	L32093	{Ｂ}［前］〜のせいで,〜のために（原因）;〜の代価として,〜と引き換えに
学習者版	地鼠o	talp/o	L39865	{Ｏ}【動】モグラ（土竜）（科の総称）;《転》暗闇で黙々と仕事をする人
学習者版	地鼠o	ter/mus/o	L40426	《般》野ネズミ,=kampomuso
学習者版	壁纸o	mur/paper/o	L26470	壁紙
学習者版	壁纸o	tapet/o	L39926	{Ｂ}壁紙,壁布;壁掛
学習者版	外	krom	L20291	{Ｂ}［前］〜のほかは（〜を除いて）;〜のほかにも（〜を含めて）
学習者版	外	krom-	L20292	{Ｂ}［前］〜のほかは（〜を除いて）;〜のほかにも（〜を含めて）
学習者版	多色a	mult/kolor/a	L26408	多色の,多色刷りの,=multekolora
学習者版	多色a	pleokro/a	L53569	【地質】【理】【PIV】(pp (se paroli pri) neizotropa kristal
学習者版	多色性o	mult/kolor/ec/o	L26409	多色性;《転》多彩さ
学習者版	多色性o	pleokro/ec/o	L53570	【PIV】Eco de kristalo pleokroa.
学習者版	多角a	mult/angul/a	L26370	【数】多角形の
学習者版	多角a	poligon/a	L53652	【建】【PIV】Konstruita sur plurangula plano: poligona 
学習者版	多角o	mult/angul/o	L26371	【数】多角形,=plurangulo
学習者版	多角o	poligon/o	L31058	{Ｏ}【植】タデ（蓼）（属）;【数】多角形,=plurangulo;《古》=fagopiro（ソバ）
学習者版	太	tro	L41492	{Ｂ}［副］あまりに〜すぎる
学習者版	太	tro-	L41493	{Ｂ}［副］あまりに〜すぎる
学習者版	头a	kap/a	L17033	頭の
学習者版	头a	-kap/a	L17034	頭の
学習者版	头巾o	kap/tuk/o	L17158	ずきん（頭巾）,（頭にかぶる）スカーフ
学習者版	头巾o	turban/o	L41794	{Ｏ}【服】ターバン
学習者版	头皮o	kap/hau^t/o	L17060	頭皮
学習者版	头皮o	skalp/o	L36846	{Ｏ}戦利頭皮,>>kaphau^to
学習者版	如	kvazau^	L21091	{Ｂ}［接］まるで〜のように
学習者版	如	kvazau^-	L21093	{Ｂ}［接］まるで〜のように
学習者版	始	ek	L8176	［間］さあ！
学習者版	始	ek-	L8177	［間］さあ！
学習者版	姻	bo	L3941	{Ｏ}［文字名］ボー（文字B，bの名称）
学習者版	姻	bo-	L3942	{Ｏ}［文字名］ボー（文字B，bの名称）
学習者版	对	kontrau^	L19424	{Ｂ}［前］〜に向かって,〜に対して,〜に対抗して,〜に反して
学習者版	对	kontrau^-	L19425	{Ｂ}［前］〜に向かって,〜に対して,〜に対抗して,〜に反して
学習者版	对流o	konvekt/o	L19603	【理】（熱）対流
学習者版	对流o	kontrau^/flu/o	L58509	【技】【PIV】Sistemo, ekz. (ekzemple) c^e ekstraktado, 
学習者版	己	si	L36439	{Ｂ}［代］自分
学習者版	己	heks	L48794	【化】【PIV】Pref. (Prefikso), montranta 6-karbonan c^e
学習者版	币o	dur/o	L7938	【史】ドゥーロ（スペインの５ペセタ銀貨）
学習者版	币o	valut/o	L42545	{Ｏ}【経】通貨;外国為替;為替相場,>>devizkurzo
学習者版	帆杆o	bum/o	L4620	【海】ブーム,帆げた
