語根	層	disp	id	群サイズ	F	綴りとの関係	逆引き候補数	末尾を落とすと
kariofil	PEJVO	丁香ᴷ	k	3	6	接頭辞	1	siring
lilak	PEJVO	丁香ᴸ	l	3	1	接頭辞	1	siring
hepta	PIV	七ᴴ	h	2	1	接頭辞	1	sep
terciar	PEJVO	三ᵀᶜ	tc	2	3	綴り内の文字	1	tri
trigon	PIV	三角ᵀᴿ	tr	2	2	接頭辞	2	trigonometri
super	文法層	上ˢᴾ	sp	2	160	先頭+子音	1	sur
subaltern	PEJVO	下ˢᴸ	sl	3	2	綴り内の文字	1	sub
sob	PIV	下ˢᴼ	so	3	2	接頭辞	1	sub
klau^n	PEJVO	丑ᴷ	k	7	3	接頭辞	1	skandal
pajac	PEJVO	丑ᴾ	p	7	2	接頭辞	2	skandal
arleken	PEJVO	丑ᴬ	a	7	3	接頭辞	1	skandal
pulc^inel	PEJVO	丑ᴾᴸ	pl	7	2	先頭+子音	1	pajac
histrion	PEJVO	丑ᴴ	h	7	2	接頭辞	1	skandal
bufon	PIV	丑ᴮ	b	7	1	接頭辞	1	skandal
au^tokrat	PIV	专制ᴬ	a	3	1	接頭辞	2	despot
au^tokrati	PIV	专制ᴬᴵ	ai	3	1	綴り内の文字	1	au^tokrat
vepr	PEJVO	丛ⱽ	v	3	4	接頭辞	1	tuf
makis	PEJVO	丛ᴹ	m	3	2	接頭辞	1	tuf
oriental	PEJVO	东ᴼᴸ	ol	2	2	綴り内の文字	1	orient
faden	CSV2890	丝ᶠ	f	4	39	接頭辞	3	silk
filament	PEJVO	丝ᶠᴸ	fl	4	3	先頭+子音	2	faden
filigran	PEJVO	丝ᶠᴳ	fg	4	2	綴り内の文字	1	faden
serioz	CSV2890	严ˢᴿ	sr	6	10	先頭+子音	3	sever
rigor	PEJVO	严ᴿ	r	6	8	接頭辞	1	sever
strikt	PEJVO	严ˢᵀ	st	6	7	接頭辞	1	sever
drakon	PEJVO	严ᴰ	d	6	4	接頭辞	1	sever
