節	キー	項目1	項目2	項目3	項目4
A1_br列ドリフト	piv	br列=1	実効br=2	138行	
A1_br列ドリフト	func	br列=1	実効br=0	55行	
A1_br列ドリフト	suf	br列=1	実効br=0	48行	
A1_br列ドリフト	correl	br列=1	実効br=0	45行	
A1_br列ドリフト	prep	br列=1	実効br=0	32行	
A1_br列ドリフト	pref	br列=1	実効br=0	26行	
A1_br列ドリフト	basic	br列=1	実効br=0	26行	
A1_br列ドリフト	num	br列=1	実効br=0	15行	
B_基本形交代	哀	現行=kondolenc	是正後=ve	員数3	
B_基本形交代	气计	現行=gasmetr	是正後=aerometr	員数4	
B_基本形交代	高测	現行=altometri	是正後=hipsometri	員数2	
B_基本形交代	脉炎	現行=flebit	是正後=vejnit	員数5	
B_基本形交代	菌学	現行=mikologi	是正後=bakteriologi	員数4	
B_基本形交代	苔植	現行=brifit	是正後=briofit	員数2	
B_基本形交代	胚源	現行=embrigenez	是正後=embriogenez	員数2	
B_基本形交代	拍型	現行=fototip	是正後=fototipi	員数2	
B_基本形交代	胃炎	現行=gastrit	是正後=stomakit	員数2	
B_基本形交代	色计	現行=kolormetr	是正後=kolorometr	員数2	
B_基本形交代	神经学	現行=nervologi	是正後=neu^rologi	員数2	
B_基本形交代	振具	現行=vibrator	是正後=oscilator	員数2	
B_基本形交代	渗计	現行=osmozmetr	是正後=osmozometr	員数2	
C4_人手裁定が基本形を決めた群	代	式のまま=agent	裁定後=anstataŭ		
C4_人手裁定が基本形を決めた群	内	式のまま=endo	裁定後=en		
C4_人手裁定が基本形を決めた群	员	式のまま=membr	裁定後=an		
C4_人手裁定が基本形を決めた群	分	式のまま=divid	裁定後=on		
C4_人手裁定が基本形を決めた群	长	式のまま=estr	裁定後=long		
C4_人手裁定が基本形を決めた群	任	式のまま=kapric	裁定後=ajn		
C4_人手裁定が基本形を決めた群	喂	式のまま=he	裁定後=ho		
C4_人手裁定が基本形を決めた群	问	式のまま=salut	裁定後=demand		
C4_人手裁定が基本形を決めた群	清	式のまま=net	裁定後=klar		
C4_人手裁定が基本形を決めた群	解	式のまま=liz	裁定後=kompren		
C4_人手裁定が基本形を決めた群	信	式のまま=fid	裁定後=kred		
C4_人手裁定が基本形を決めた群	学	式のまま=logi	裁定後=lern		
C4_人手裁定が基本形を決めた群	能	式のまま=iv	裁定後=pov		
C4_人手裁定が基本形を決めた群	富	式のまま=oz	裁定後=riĉ		
C4_人手裁定が基本形を決めた群	建	式のまま=fond	裁定後=konstru		
C4_人手裁定が基本形を決めた群	育	式のまま=eduk	裁定後=kresk		
C4_人手裁定が基本形を決めた群	勇	式のまま=brav	裁定後=kuraĝ		
C4_人手裁定が基本形を決めた群	记	式のまま=not	裁定後=memor		
C4_人手裁定が基本形を決めた群	静	式のまま=kviet	裁定後=trankvil		
