root	層	漢字	接地	生物名	F	接地した定義語根	定義文
arb	CSV2890	树	N		150		Rilata al arbo(j)
voj	CSV2890	路	N		132		Rilata al vojo(j), precipe 3
temp	CSV2890	时	N		113		(ntr (netransitiva)) Estas tempo, por fari ion
kolor	CSV2890	色	N		106		1 Rubandoj, vestpartoj ktp (kaj tiel plu) kun apartaj koloroj k portataj kiel simbolo de a
foli	CSV2890	叶	N		98		1 Rilata al folio
dent	CSV2890	齿	N		95		Homaj dentoj, rigardataj kiel esprimilo de sentoj
alt	CSV2890	高	N		94		Vd (vidu) eksponento 1.
vid	CSV2890	见	N		85		Rilata al la vidado
fiŝ	CSV2890	鱼	N		83		Rilata al fis^o
har	CSV2890	毛	N		82		1 Tuto de tiuj elkreskaj^oj, kovrantaj la korpon de besto, k eventuale uzataj kiel laborma
man	CSV2890	手	N		82		1 Rilata al mano
am	CSV2890	爱	N		81		Rilata al amo
vent	CSV2890	风	N		81		Blovas vento
nom	CSV2890	名	N		80		Rilata al la nomo
met	CSV2890	置	N		75		Ago, per kiu oni metas
edz	CSV2890	夫	N		74		Rilata al edzo
brul	CSV2890	燃	N		73		Okazas brulo
flug	CSV2890	飞	N		71		Rilata al flugo
port	CSV2890	运	N		70		Ago de tiu, kiu portas
herb	CSV2890	草	N		67		Rilata al herbo.
kamp	CSV2890	田	N		66		Rilata al kampo.
ret	CSV2890	网	N		64		Ano de gento, kiu log^is en Retio.
di	CSV2890	二ᴰᴵ	N		63		Pref. (Prefikso), montranta, ke substanco estas karakterizata de, au^ konsistas el, du sam
sun	CSV2890	阳	N		63		(ntr (netransitiva)) Brilas suno.
ali	CSV2890	别	N		62		(ntr (netransitiva)) Diferenci
turn	CSV2890	转	N		62		Rilata al turno
aŭt	CSV2890	车	N		61		(ntr (netransitiva)) Veturi per au^to.
bel	CSV2890	美	N		61		(ntr (netransitiva)) Aspekti, impresi bele
term	CSV2890	热ᵀ	N		61		En la Roma antikveco, publikaj banejoj.
ferm	CSV2890	闭	N		56		Rilata al fermo
las	CSV2890	留	N		56		Ago de tiu, kiu lasas
sek	CSV2890	干	N		55		En maniero fizike au^ metafore seka.
gram	CSV2890	图ᴳᴹ	N		54		Suf. (Sufikso), uzata por nomi la bildon, kurbon ks (kaj simile, kaj similaj). registritan
pluv	CSV2890	雨	N		52		(ntr (netransitiva)) Falas pluvo
sid	CSV2890	坐	N		52		Pozicio de iu, io sidanta
tranĉ	CSV2890	切	N		52		1 Sentig^as akraj kolikoj
ĉeval	CSV2890	马	N		51		Rilata al la c^evalo
neĝ	CSV2890	雪	N		51		(ntr (netransitiva)) Falas neg^o
kaŝ	CSV2890	藏	N		50		Tia, kian ne povas trafi ies okuloj au^ scio
gard	CSV2890	守	N		49		Rilata al gardo.
karb	CSV2890	炭	N		49		Rilata al karbo
ring	CSV2890	环	N		49		1 Rilata al ringo
kalkul	CSV2890	算	N		48		Rilata al kalkulo
pur	CSV2890	纯	N		48		(en L.B. (Londona Biblio)
ĉel	CSV2890	胞	N		47		Rilata al c^elo; enhavanta c^elojn
naĝ	CSV2890	游	N		47		Rilata al nag^o
ord	CSV2890	序	N		47		(tr (transitiva)) 1 (ark. (arkaismo, arkaisme)) Meti ordon (en ion)
sci	CSV2890	知	N		46		Aro de elementoj de informig^o en difinita fako, scienco ks (kaj simile, kaj similaj)
cel	CSV2890	标	N		45		(+ al au^ kunmetite) Strebante al atingo de iu celo
tabl	CSV2890	桌	N		45		Rilata al tablo, precipe al mang^o tablo
fil	CSV2890	儿	N		44		Rilata al filo
film	CSV2890	影ᶠ	N		44		Rilata al filmo
dekstr	CSV2890	右	N		43		1 Dekstra flanko. 2 La konservativaj k reakciaj partioj (kies deputitoj konvencie sidas de
miks	CSV2890	混	N		43		Ago de tiu, kiu miksas
min	CSV2890	矿	N		43		Rilata al mino
fung	CSV2890	菌	N		42		Rilata al fungoj
glaci	CSV2890	冰	N		42		En glacia maniero
loĝ	CSV2890	住	N		42		Havanta log^on (ie)
volv	CSV2890	卷	N		42		Rilata al volvo(j)
jun	CSV2890	幼	N		41		En juna maniero
kart	CSV2890	卡	N		41		Rilata al karto, precipe 5
komunik	CSV2890	传	N		41		Rilata al komunikado
amik	CSV2890	友	N		40		(ntr (netransitiva)) Esti amiko de
kolekt	CSV2890	集	N		40		1 Rilata al kolekto
dev	CSV2890	应	N		39		Rilata al devo
dik	CSV2890	厚	N		39		Dimensio alia, ol longo k larg^o
font	CSV2890	泉	N		39		Rilata al fonto
mur	CSV2890	壁	N		39		Rilata al muro
reĝ	CSV2890	王	N		39		En reg^a maniero
spir	CSV2890	息	N		39		Rilata al la spiro
fiks	CSV2890	定	N		38		Ago de tiu, kiu fiksas
haŭt	CSV2890	皮	N		37		Rilata al hau^to
komput	CSV2890	算ᴷᴹ	N		37		Rilata al komputado
mastr	CSV2890	主	N		37		Rilata al mastro
pord	CSV2890	门	N		37		1 Rilata al pordo(j). 2 Rilata al la hepata pordo
bakteri	CSV2890	菌ᴮ	N		36		Rilata al bakterio(j)
mas	CSV2890	团ᴹ	N		36		Rilata al maso
rond	CSV2890	圆	N		36		En ronda maniero
fand	CSV2890	熔	N		35		Rilata al fando
fenestr	CSV2890	窗	N		35		Rilata al fenestro
konduk	CSV2890	导ᴷ	N		35		Rilata al kondukado
motor	CSV2890	动ᴹᵀ	N		35		1 Rilata al motoro
bank	CSV2890	银ᴮ	N		34		Rilata al banko 1
funkci	CSV2890	功	N		34		Rilata al la funkcio
frost	CSV2890	霜	N		33		(ntr (netransitiva)) Estas froste
klimat	CSV2890	气候	N		33		Rilata al la klimato
liter	CSV2890	字	N		33		G^uste, kiel skribite
metal	CSV2890	金ᴹ	N		33		Tegi per maldika tavolo da metalo.
profit	CSV2890	利ᴾ	N		33		En profita maniero au^ cirkonstanco
sem	CSV2890	种	N		33		Rilata al semo
rok	CSV2890	岩	N		33		Popolmuziko usondevena, naskita el rokenrolo en la 60aj jaroj de la 20a jc (jarcento).
horloĝ	CSV2890	钟ᴴᴸ	N		32		Rilata al horlog^o
norm	CSV2890	范	N		32		(tr (transitiva)) Provizi spacon per normo
fest	CSV2890	庆	N		31		En festa maniero
kopi	CSV2890	复ᴷ	N		31		Rilata al kopio
solv	CSV2890	解ˢ	N		31		Rilata al solvo
asekur	CSV2890	保	N		30		Rilata al asekuro
aviad	CSV2890	航	N		30		Rilata al aviado
brust	CSV2890	胸	N		30		Rilata al la brusto
esplor	CSV2890	探	N		30		Rilata al esploroj
gazet	CSV2890	报	N		30		Rilata al gazeto
klas	CSV2890	级	N		30		Rilata al klaso
sorb	CSV2890	吸ˢᴿ	N		30		Tia, ke g^i sorbas
brak	CSV2890	臂	N		29		La spaco inter tiuj du membroj, rigardata kiel simbolo de amoro
buter	CSV2890	黄油	N		29		1 Rilata al butero
spac	CSV2890	空	N		29		Rilata al spaco
divid	CSV2890	分ᴰ	N		28		1 Rilata al divido. 2 (pp (se paroli pri) folio) Havanta tre profundajn entranc^aj^ojn, ki
kok	CSV2890	鸡	N		28		Rilata al koko
ŝel	CSV2890	壳	N		28		Rilata al la s^elo
util	CSV2890	益	N		28		En utila maniero
vesper	CSV2890	晚	N		28		Estas vespero
forn	CSV2890	炉	N		27		Rilata al forno
hel	CSV2890	亮	N		27		Intenso de la luma energio de stelo au^ alia astro
rost	CSV2890	烤ᴿ	N		27		Ago de tiu, kiu rostas
ŝaf	CSV2890	羊	N		27		1 Rilata al s^afo(j)
ŝpar	CSV2890	省	N		27		Rilata al s^parado
tekst	CSV2890	文ᵀ	N		27		Rilata al teksto
gaj	CSV2890	欢	N		27		Stato de iu, io gaja
grajn	CSV2890	粒ᴳ	N		26		1 Plena de grajnoj, konsistanta el grajnoj
kurs	CSV2890	课	N		26		Iri lau^ kurso.
ŝlos	CSV2890	锁	N		26		Ago de tiu, kiu s^losas.
trink	CSV2890	饮	N		26		Ago de iu, kiu trinkas
