種別	実在語	見出し語	面	最上位層	マークで分断	中国語の出所
偽友候補	一侧	unu/flank/a	一侧a	CSV2890側		vango
偽友候補	一侧	unu/flank/a	一侧a	CSV2890側		vango
偽友候補	一侧	unu/flank/e	一侧e	CSV2890側		vango
偽友候補	三月	tri/monat/a	三月a	CSV2890側		marto
偽友候補	三月	tri/monat/a	三月a	CSV2890側		marto
偽友候補	三月	tri/monat/a	三月a	CSV2890側		marto
偽友候補	上面	akv/o/sur/fac/a	水o上面a	CSV2890側		supro
偽友候補	上面	akv/o/sur/fac/o	水o上面o	CSV2890側		supro
偽友候補	上面	sur/fac/o	上面o	CSV2890側		supro
偽友候補	上面	sur/fac/o	上面o	CSV2890側		supro
偽友候補	上面	sur/fac/o	上面o	CSV2890側		supro
偽友候補	上面	sur/fac/o	上面o	CSV2890側		supro
偽友候補	上面	nivel/sur/fac/o	平上面o	CSV2890側		supro
偽友候補	上面	sur/fac/o	上面o	CSV2890側		supro
偽友候補	上面	sur/fac/a	上面a	CSV2890側		supro
偽友候補	上面	sur/fac/aktiv/aj^/o	上面活物o	CSV2890側		supro
偽友候補	上面	sur/fac/a	上面a	CSV2890側		supro
偽友候補	上面	sur/fac/o	上面o	CSV2890側		supro
偽友候補	上面	sur/fac/tensi/o	上面压o	CSV2890側		supro
偽友候補	上面	sur/pan/aj^/o	上面包物o	CSV2890側		supro
偽友候補	上面	sur/fac/aj^/o	上面物o	CSV2890側		supro
偽友候補	上面	sur/fac/ampleks/o	上面广o	CSV2890側		supro
偽友候補	上面	hejt/o/sur/fac/o	热o上面o	CSV2890側		supro
偽友候補	上面	rul/sur/fac/o	卷上面o	CSV2890側		supro
偽友候補	不再	ne/re/kon/ebl/a	不再认可a	CSV2890側		ĉesi
偽友候補	不再	ne/re/nov/ig/ebl/a	不再新使可a	CSV2890側		ĉesi
偽友候補	不再	ne/re/nov/ig/ebl/a	不再新使可a	CSV2890側		ĉesi
偽友候補	不再	ne/re/nov/ig/ebl/a	不再新使可a	CSV2890側		ĉesi
偽友候補	不再	ne/re/ven/ebl/a	不再来可a	CSV2890側		ĉesi
偽友候補	不再	ne/re/ven/ig/ebl/a	不再来使可a	CSV2890側		ĉesi
偽友候補	不再	ne/re/ven/ig/ebl/e	不再来使可e	CSV2890側		ĉesi
偽友候補	不再	ne/re/vok/ebl/a	不再呼可a	CSV2890側		ĉesi
偽友候補	不再	ne/re/san/ig/ebl/a	不再健使可a	CSV2890側		ĉesi
偽友候補	不再	ne/re/ten/ebl/a	不再持可a	CSV2890側		ĉesi
偽友候補	不变	ne/s^ang^/ebl/a	不变可a	CSV2890側		konstanta
偽友候補	不变	ne/vari/a	不变a	CSV2890側		konstanta
偽友候補	不宜	ne/dec/a	不宜a	CSV2890側		tezo
偽友候補	不忠	ne/lojal/a	不忠a	CSV2890側		perfidi
偽友候補	不快	ne/agrabl/a	不快a	CSV2890側		suferi
偽友候補	不满	ne/kontent/ig/a	不满使a	CSV2890側		fi!
偽友候補	不满	ne/plen/ag^/a	不满岁a	CSV2890側		fi!
偽友候補	不满	ne/plen/ag^/ec/o	不满岁性o	CSV2890側		fi!
偽友候補	不满	ne/plen/ag^/ul/o	不满岁者o	CSV2890側		fi!
偽友候補	不满	ne/kontent/a	不满a	CSV2890側		fi!
偽友候補	不理	ne/logik/a	不理a	CSV2890側		ignori
偽友候補	不理	ne/raci/a	不理a	CSV2890側		ignori
偽友候補	不理	ne/racional/a	不理a	PEJVO		ignori
偽友候補	不理	ne/racional/a	不理a	PEJVO		ignori
偽友候補	不理	ne/racional/o	不理o	PEJVO		ignori
偽友候補	不过	ne/preter/vid/ebl/a	不过见可a	CSV2890側		nur
偽友候補	不过	ne/preter/vid/ebl/e	不过见可e	CSV2890側		nur
偽友候補	专家	fak/ist/o	专家o	CSV2890側		-isto
偽友候補	业主	industri/ism/o	业主义o	CSV2890側		mastro
偽友候補	个性	individu/ec/o	个性o	CSV2890側		karaktero
偽友候補	主义者	afor/ism/ul/o	afor主义者o	文法のみ		-ist- -isto
偽友候補	主义者	au^t/ism/ul/o	自主义者o	CSV2890側		-ist- -isto
偽友候補	主义者	reu^mat/ism/ul/o	风湿主义者o	PEJVO		-ist- -isto
偽友候補	主义者	saf/ism/ul/in/o	saf主义者女o	文法のみ		-ist- -isto
偽友候補	主义者	sapf/ism/ul/in/o	sapf主义者女o	文法のみ		-ist- -isto
偽友候補	举行	lev/ad/o	举行o	CSV2890側		celebri okazi
偽友候補	举行	hosti/lev/ad/o	圣饼举行o	CSV2890側		celebri okazi
偽友候補	二月	du/monat/a	二月a	CSV2890側		februaro
