字A	字B	IoU	blur	画数A	画数B	使用回数A	使用回数B
土	士	0.451	0.957	3	3	14	7
己	已	0.836	0.987	3	3	4	1
开	升	0.551	0.948	4	4	6	13
井	并	0.604	0.982	4	6	2	4
木	术	0.680	0.969	4	5	293	1
仅	仪	0.498	0.951	4	5	1	2
风	凤	0.484	0.978	4	4	33	1
乌	鸟	0.520	0.961	4	5	2	161
未	末	0.630	0.973	5	5	4	2
卯	卵	0.624	0.962	5	7	1	13
迂	迁	0.498	0.969	6	6	1	3
扬	杨	0.597	0.970	6	7	3	1
廷	延	0.629	0.965	6	6	1	3
休	体	0.545	0.979	6	7	2	39
优	忧	0.514	0.970	6	7	4	2
奸	好	0.507	0.954	6	6	3	3
戒	或	0.483	0.962	7	8	2	2
技	枝	0.584	0.974	7	8	9	3
拒	担	0.535	0.953	7	8	1	6
攻	玫	0.527	0.952	7	8	4	1
折	析	0.520	0.960	7	8	7	5
折	祈	0.518	0.966	7	8	7	3
抢	枪	0.507	0.972	7	8	1	6
投	役	0.488	0.970	7	7	5	2
块	快	0.518	0.951	7	7	5	3
芙	笑	0.483	0.947	7	10	1	3
杜	社	0.544	0.969	7	7	4	7
围	囤	0.487	0.963	7	7	16	2
围	圃	0.591	0.956	7	10	16	1
囤	圃	0.544	0.960	7	10	2	1
佛	沸	0.471	0.953	7	8	3	2
免	兔	0.897	0.980	7	8	2	5
间	闻	0.616	0.971	7	9	7	1
译	泽	0.565	0.950	7	8	3	2
拍	柏	0.622	0.973	8	9	17	4
拦	栏	0.546	0.963	8	9	1	5
拧	柠	0.745	0.975	8	9	3	5
坡	玻	0.527	0.953	8	9	5	3
枝	校	0.458	0.950	8	10	3	3
析	祈	0.488	0.959	8	8	5	3
味	咪	0.485	0.967	8	9	2	1
侍	待	0.494	0.956	8	9	5	3
侧	测	0.591	0.969	8	9	4	50
侧	倒	0.517	0.955	8	10	4	5
狐	孤	0.550	0.959	8	8	1	1
饱	炮	0.536	0.947	8	9	2	5
闸	闹	0.552	0.963	8	8	1	1
诚	城	0.472	0.952	8	9	2	2
限	陨	0.496	0.956	8	9	2	3
挂	桂	0.484	0.975	9	10	3	2
持	待	0.472	0.965	9	9	1	3
城	域	0.485	0.966	9	11	2	1
挑	桃	0.578	0.980	9	10	2	11
蚁	蚊	0.521	0.978	9	10	2	3
品	晶	0.524	0.968	9	12	2	8
钢	铜	0.525	0.972	9	11	1	6
顺	顾	0.525	0.968	9	10	3	2
俏	悄	0.596	0.971	9	10	1	1
很	根	0.614	0.974	9	10	1	15
很	银	0.488	0.964	9	11	1	4
胞	跑	0.473	0.946	9	12	32	2
奖	桨	0.483	0.960	9	10	2	1
洒	酒	0.558	0.978	9	10	1	14
洞	润	0.474	0.957	9	10	9	1
诲	悔	0.639	0.954	9	10	2	3
退	逗	0.518	0.961	9	10	7	2
振	据	0.454	0.947	10	11	10	2
栖	牺	0.557	0.967	10	10	2	1
栓	检	0.505	0.950	10	11	10	9
根	银	0.524	0.965	10	11	15	4
蚌	蛙	0.543	0.970	10	12	3	11
圃	圆	0.532	0.965	10	10	1	11
圃	圈	0.468	0.965	10	11	1	3
峰	蜂	0.652	0.966	10	13	2	8
贿	赌	0.454	0.943	10	12	1	1
借	惜	0.500	0.971	10	11	2	1
递	遇	0.461	0.944	10	12	2	1
悍	焊	0.588	0.962	10	11	1	2
悔	梅	0.583	0.966	10	11	3	6
描	猫	0.503	0.940	11	11	2	10
描	锚	0.464	0.965	11	13	2	1
推	维	0.490	0.950	11	11	6	1
推	椎	0.724	0.982	11	12	6	1
梭	棱	0.493	0.964	11	12	2	3
雪	雷	0.537	0.940	11	13	8	3
唾	睡	0.613	0.968	11	13	2	7
做	傲	0.505	0.972	11	12	1	3
猎	腊	0.459	0.948	11	12	3	2
情	惰	0.534	0.956	11	12	15	1
情	慎	0.553	0.952	11	13	15	1
祸	锅	0.495	0.959	11	12	1	8
维	椎	0.480	0.951	11	12	1	1
绵	锦	0.538	0.955	11	13	2	1
巢	集	0.467	0.953	11	12	5	4
揭	褐	0.466	0.973	12	14	2	3
募	幕	0.456	0.966	12	13	3	2
椰	棚	0.547	0.958	12	12	2	8
椎	锥	0.487	0.969	12	13	1	5
棉	锦	0.564	0.968	12	13	7	1
逼	遇	0.529	0.948	12	12	1	1
铺	销	0.548	0.944	12	12	2	2
氮	氯	0.479	0.960	12	12	11	9
牌	脾	0.502	0.974	12	12	5	3
腕	碗	0.527	0.963	12	13	2	1
童	意	0.481	0.948	12	13	6	7
温	滥	0.462	0.943	12	13	4	1
缎	锻	0.512	0.961	12	14	2	1
摸	模	0.581	0.980	13	14	1	3
蜗	蝠	0.511	0.957	13	15	1	3
蜗	蝎	0.569	0.965	13	15	1	2
颖	颗	0.451	0.976	13	14	1	1
模	横	0.492	0.964	14	15	3	3
模	蟆	0.479	0.943	14	16	3	2
蝇	蝠	0.523	0.944	14	15	3	3
褐	蝎	0.450	0.956	14	15	3	2
醋	醒	0.453	0.945	15	16	5	2
醇	醉	0.471	0.974	15	15	9	3
醇	醒	0.482	0.963	15	16	9	2
蝠	蝎	0.462	0.965	15	15	3	2
镐	稿	0.545	0.961	15	15	1	1
