語根A	面A	層A	FA	語根B	面B	層B	FB	字A	字B	IoU	blur	マーク差
flank	侧	CSV2890	83	metri	测ᴹᵀ	PEJVO	60	侧	测	0.591	0.969	あり
flank	侧	CSV2890	83	mezur	测	CSV2890	57	侧	测	0.591	0.969	なし
kur	跑	CSV2890	63	ĉel	胞	CSV2890	47	跑	胞	0.473	0.946	なし
infan	童	CSV2890	59	senc	意ˢ	CSV2890	36	童	意	0.481	0.948	あり
bank	银ᴮ	CSV2890	34	radik	根	CSV2890	41	银	根	0.524	0.965	あり
infan	童	CSV2890	59	ide	意	CSV2890	31	童	意	0.481	0.948	なし
branĉ	枝	CSV2890	24	teknik	技	CSV2890	26	枝	技	0.584	0.974	なし
kat	猫	CSV2890	27	pentr	描	CSV2890	23	猫	描	0.503	0.940	なし
roz	玫	CSV2890	35	atak	攻	CSV2890	23	玫	攻	0.527	0.952	なし
sat	饱	CSV2890	27	kanon	炮	PEJVO	22	饱	炮	0.536	0.947	なし
ten	持	CSV2890	92	ot	待	文法層	21	持	待	0.472	0.965	なし
klor	氯	PEJVO	25	nitr	氮	PEJVO	19	氯	氮	0.479	0.960	なし
preĝ	祈	CSV2890	18	fald	折	CSV2890	36	祈	折	0.518	0.966	なし
kolekt	集	CSV2890	40	nest	巢	CSV2890	17	集	巢	0.467	0.953	なし
ŝtal	钢	CSV2890	17	kupr	铜	CSV2890	16	钢	铜	0.525	0.972	なし
infan	童	CSV2890	59	signif	意ˢᴳ	CSV2890	15	童	意	0.481	0.948	あり
ten	持	CSV2890	92	atend	待ᴬ	CSV2890	15	持	待	0.472	0.965	あり
satur	饱ˢᴿ	PEJVO	14	kanon	炮	PEJVO	22	饱	炮	0.536	0.947	あり
pentr	描	CSV2890	23	ankr	锚	PEJVO	14	描	锚	0.464	0.965	なし
preĝ	祈	CSV2890	18	refrakt	折ᴿᶠ	PEJVO	14	祈	折	0.518	0.966	あり
lepor	兔	CSV2890	14	imun	免	CSV2890	30	兔	免	0.897	0.980	なし
vek	醒	CSV2890	13	alkohol	醇	CSV2890	22	醒	醇	0.482	0.963	なし
vitr	玻	CSV2890	53	dekliv	坡	CSV2890	13	玻	坡	0.527	0.953	なし
bol	沸	CSV2890	22	budh	佛	CSV2890	13	沸	佛	0.471	0.953	なし
verg	枝ⱽ	CSV2890	13	teknik	技	CSV2890	26	枝	技	0.584	0.974	あり
preĝ	祈	CSV2890	18	analiz	析	CSV2890	13	祈	析	0.488	0.959	なし
fald	折	CSV2890	36	analiz	析	CSV2890	13	折	析	0.520	0.960	なし
refrakt	折ᴿᶠ	PEJVO	14	analiz	析	CSV2890	13	折	析	0.520	0.960	あり
grund	土	CSV2890	23	kavalir	士	PEJVO	12	土	士	0.451	0.957	なし
infan	童	CSV2890	59	intenc	意ᴵᴺ	CSV2890	12	童	意	0.481	0.948	あり
koncentr	集ᴷᴺ	CSV2890	12	nest	巢	CSV2890	17	集	巢	0.467	0.953	あり
korp	体	CSV2890	44	ripoz	休	CSV2890	12	体	休	0.545	0.979	なし
sport	体ˢ	CSV2890	19	ripoz	休	CSV2890	12	体	休	0.545	0.979	あり
branĉ	枝	CSV2890	24	inĝenier	技ᴵ	CSV2890	12	枝	技	0.584	0.974	あり
verg	枝ⱽ	CSV2890	13	inĝenier	技ᴵ	CSV2890	12	枝	技	0.584	0.974	あり
pati	情	文法層	30	prudent	慎	CSV2890	12	情	慎	0.553	0.952	なし
humor	情ᴴ	CSV2890	18	prudent	慎	CSV2890	12	情	慎	0.553	0.952	あり
abel	蜂	CSV2890	21	alp	峰	PEJVO	12	蜂	峰	0.652	0.966	なし
brun	褐	CSV2890	28	rivel	揭	CSV2890	11	褐	揭	0.466	0.973	なし
emoci	情ᴱ	CSV2890	11	prudent	慎	CSV2890	12	情	慎	0.553	0.952	あり
alkohol	醇	CSV2890	22	ebri	醉ᴱ	CSV2890	11	醇	醉	0.471	0.974	あり
model	模	CSV2890	14	palp	摸	CSV2890	11	模	摸	0.581	0.980	なし
vet	赌	CSV2890	17	korupt	贿	PEJVO	11	赌	贿	0.454	0.943	なし
fabel	童ᶠ	CSV2890	10	ide	意	CSV2890	31	童	意	0.481	0.948	あり
fabel	童ᶠ	CSV2890	10	senc	意ˢ	CSV2890	36	童	意	0.481	0.948	あり
