形態素	単独で止めている文数	延べ阻害文数	層	漢字
etos	2	4	PEJVO	氛
mentor	3	3	PEJVO	导师
jogurt	1	2	PEJVO	酸乳
soj	0	2	PEJVO	大豆
hast	2	2	PEJVO	匆
instrukci	2	2	PEJVO	训ᴵ
gener	0	2	PEJVO	生ᴳᴿ
etiket	1	1	PEJVO	礼ᴱ
kotlet	0	1	PEJVO	排ᴷᵀ
deklam	1	1	PEJVO	诵
nostalgi	0	1	PEJVO	怀旧
partner	1	1	PEJVO	伴ᴾ
rafin	1	1	PEJVO	精ᴿ
akumul	1	1	PEJVO	累
kimc^i	1	1	PEJVO	
strikt	0	1	PEJVO	严ˢᵀ
kamera	1	1	PEJVO	摄
aort	0	1	PEJVO	主脉
stir	1	1	PEJVO	驾ˢ
eu^rop	1	1	PEJVO	eu^rop
analitik	0	1	PEJVO	析ᴬᵀ
teorem	0	1	PEJVO	定理
vektor	0	1	PEJVO	矢量
anticip	0	1	PEJVO	预
diskret	1	1	PEJVO	谨
