字	判定	理由	中国語訳接地	日本語訳接地	出現語数	例
那	★語感に無い	日=刹那・旦那の音写 / 中=あの。相関詞 ti- 系の描画	8	0	9	tia=那a(中:那样的，那种的/日:{Ｂ}［形］そのような,) | tiam=那时(中:那时，当时；在那种情况下/日:{Ｂ}［副］その時, あ) | tie=那e(中:那里，在那里/日:{Ｂ}［副］そこに, そ) | tiel=那样(中:那样；如此，这么；到那种/日:{Ｂ}［副］そのように,)
某	○偽陽性	日本語でも「某氏」=ある。日本語訳がカナ表記だったため検出された	8	0	9	ia=某a(中:某种的，某类的/日:{Ｂ}［形］ある種の, ) | ial=某因(中:因为某种缘故/日:{Ｂ}［副］ある理由で,) | iam=某时(中:某时，某个时候；曾经；终/日:{Ｂ}［副］ある時, い) | ie=某e(中:某处，在某处/日:{Ｂ}［副］どこかで, )
气	○字体差	気/氣 の偏形。日本人も読める	6	0	6	aero=气(中:空气，大气；空中，天空/日:{Ｂ}空気, 外気, 大) | gaso=气(中:气体，煤气；（军）毒气/日:{Ｂ}ガス, 燃料ガス;) | klimato=气候(中:气候，风土/日:{Ｂ}気候; 風土) | odori=气(中:有气味，散发气味（香/臭/日:{Ｂ}［自］においがする)
无	○字体差	無 の古字	6	0	13	nenial=无因(中:无论出于任何理由都不…/日:{Ｂ}［副］どんなわけで) | neniom=无量(中:毫无，一点也没有/日:{Ｂ}［副］少しも～ない) | sen=无(中:没有…，无…；在不…的情/日:{Ｂ}［前］～なしで) | figo=无花果(中:无花果/日:{Ｂ}【果】イチジク（無)
烟	○字体差	煙 の異体字	5	0	6	cigaredo=烟(中:纸烟，香烟/日:{Ｂ}紙巻きたばこ) | fumo=烟(中:烟，烟雾；（转）虚幻、转/日:{Ｂ}煙, 煙霧; 《転) | tabako=烟(中:烟草；烟草制品；（植）烟/日:{Ｂ}たばこ（煙草）; ) | fulgo=烟灰(中:煤烟，烟灰，烟垢/日:{Ｂ}すす（煤）)
册	○字体差	冊 の異体字	5	0	5	albumo=册(中:影集，画册，集邮册；（音/日:{Ｂ}（写真・切手の）ア) | broŝuro=册(中:小册子，宣传册/日:{Ｂ}小冊子, パンフレ) | kajero=册(中:笔记本，练习本；（书籍的/日:{Ｂ}ノート, 帳面; ) | volumo=册(中:卷，册，合订本/日:{Ｂ}（書籍などの）巻,)
机	★同形異義	日=つくえ / 中=機械。helikoptero=直升机 を日本人は「直立する机」と読む。機は一级外	4	0	4	helikoptero=直升机(中:直升飞机/日:{Ｂ}【空】ヘリコプター) | maŝino=机(中:机器，机械，装置；（转）/日:{Ｂ}機械, 機関, 機) | ŝanco=机(中:机会，时机；可能性，胜算/日:{Ｂ}機会, 好機; 見) | lokomotivo=机车(中:机车，火车头/日:{Ｂ}機関車)
卷	○字体差	巻 の旧字体	4	0	5	buklo=卷(中:卷发（束）；圈形物/日:{Ｂ}巻き毛, カール;) | frizi=卷(中:使头发卷曲，卷发；烫发/日:{Ｂ}［他］（髪を）カー) | volvi=卷(中:卷，卷起；缠绕/日:{Ｂ}［他］巻く; 巻き) | rulo=卷(中:卷，卷状物，滚筒/日:{Ｂ}巻いたもの, ロー)
鞋	○偽陽性	日本語でも靴の意(草鞋)。訳語がカナ	3	0	3	pantoflo=拖鞋(中:拖鞋/日:{Ｂ}スリッパ, 室内ば) | ŝuo=鞋(中:鞋；鞋状部件/日:{Ｂ}靴（片方）, 短靴) | galoŝo=套鞋(中:套鞋/日:{Ｂ}オーバーシューズ,)
腿	○偽陽性	日本語でも脚の意(大腿)。訳語がカナ	3	0	3	kruro=腿(中:腿，脚；（解）小腿（膝至/日:{Ｂ}（人・動物の）脚,) | ŝinko=火腿(中:火腿/日:{Ｂ}【料】ハム, >>) | gambo=腿(中:腿，下肢/日:{Ｂ}【解】下肢, 脚部)
胡	★同形異義	日=胡椒など音写用 / 中=ひげ。barbo=胡	3	0	3	barbo=胡(中:胡子/日:{Ｂ}あごひげ, ほおひ) | karoto=胡萝卜(中:胡萝卜/日:{Ｂ}【植】ニンジン（人) | ŝakalo=胡狼(中:胡狼（类）/日:{Ｂ}【動】ジャッカル)
租	○部分一致	日=租税・租借 / 中=借りる。租借で通じる	3	0	3	farmi=租(中:租种/日:{Ｂ}［他］小作する, ) | lui=租(中:租用，租赁/日:{Ｂ}［他］賃借する, ) | rento=租(中:地租、房租等定期收入；资/日:{Ｂ}地代・家賃収入; )
瓜	○偽陽性	意味は完全一致。訳語がカナ(キュウリ/カボチャ)	3	0	3	kukumo=瓜(中:黄瓜；（尤指）黄瓜果实/日:{Ｂ}【植】キュウリ（種) | kukurbo=瓜(中:南瓜属植物（南瓜、西葫芦/日:{Ｂ}【植】カボチャ（属) | melono=瓜(中:甜瓜，香瓜/日:{Ｂ}【果】メロン; 【)
沙	○字体差	砂 の異体字(沙漠)	3	0	3	sablo=沙(中:沙，砂；（医）尿砂/日:{Ｂ}砂; 【医】尿砂) | raŭka=沙哑(中:沙哑，嘶哑/日:{Ｂ}しわがれ声の) | susuri=沙响(中:发出簌簌声，沙沙作响，窸/日:{Ｂ}［自］さらさらと鳴)
智	○偽陽性	意味は完全一致(知性=智)。訳語が「知」を使った	3	0	3	intelekto=智(中:智力，才智，悟力/日:{Ｂ}知性, 知力, 理) | saĝa=智(中:聪明，明智，有理智的/日:{Ｂ}賢い, 賢明な, ) | sprita=智(中:机智，风趣，诙谐/日:{Ｂ}機知に富んだ, 才)
效	○字体差	効 の旧字体	3	0	3	efiki=效(中:生效，起作用/日:{Ｂ}［自］効果をあげる) | valida=效(中:有效，生效；妥当的，有根/日:{Ｂ}【法】有効な, 効) | efekto=效(中:效果，强烈印象；（戏剧//日:{Ｂ}印象, 強い心理的)
收	○字体差	収 の旧字体	3	0	3	adopti=收(中:收养，过继；采纳，采用/日:{Ｂ}［他］養子にする;) | ricevi=收(中:收到，得到；接受；遭受，/日:{Ｂ}［他］受け取る, ) | falĉi=收割(中:（用镰刀）收割，刈割/日:{Ｂ}［他］（鎌で）刈る)
愿	★同形異義	日=つつしむ(稀) / 中=願う。実質 願 の簡体で、日本人には別字に見える	3	0	3	voli=愿(中:想要，愿意；希望，欲求；/日:{Ｂ}［他］（～する）意) | volonte=愿(中:乐意地，情愿地；主动地/日:{Ｂ}自ら進んで, 快く) | volonta=愿(中:自愿的，自发的，主动的/日:{Ｂ}自発的な)
庄	○部分一致	日=庄屋 / 中=村・荘厳(荘の簡体でもある)。solena=庄 は荘厳で通じる	3	0	3	bieno=庄(中:田庄，乡间地产/日:{Ｂ}田園地所, 農場付) | solena=庄(中:庄严，肃穆；隆重，盛大，/日:{Ｂ}荘厳な, 盛大な;) | majesta=庄严(中:威严，庄严，庄重，雄伟/日:{Ｂ}荘厳な（威厳のある)
套	★同形異義	日=常套の套 / 中=かぶせる物・一組。ganto=手套 が日本語の語感に無い	3	0	3	ganto=手套(中:（分指的）手套；（运动）/日:{Ｂ}手袋; 【運】（野) | galoŝo=套鞋(中:套鞋/日:{Ｂ}オーバーシューズ,) | jungi=套(中:套（牲口），挂（车）/日:{Ｂ}［他］（馬などを）)
任	★同形異義	日=任命・任務 / 中=どんな〜でも(任何)。ajn=任 は日本語側に用法が無い	3	0	3	ajn=任(中:无论，不管；任何/日:{Ｂ}［副］～であっても) | kaprico=任(中:任性，反复无常；（事态）/日:{Ｂ}気まぐれ, 移り気) | kaprica=任(中:任性，无常/日:{Ｂ}気まぐれな)
不	○偽陽性	意味は完全一致(否定)。訳語が「ない」とかな書き	3	0	3	malgraŭ=不顾(中:尽管；不顾；不管…也…（/日:{Ｂ}［前］～にもかかわ) | ne=不(中:不；没有；（叹）不！/日:{Ｂ}［副］（～で）ない) | nek=也不(中:也不；既不…也不…/日:{Ｂ}［接］～もまた～な)
