字	延べ出現	語根数	主な層	画数	中国語コーパス頻度
义	658	64	文法層	3	32
倾	456	6	文法層	10	14
员	441	10	文法層	7	23
鱼	288	132	PEJVO	8	10
鸟	280	163	PIV	5	17
电	242	37	CSV2890	5	54
间	234	7	文法層	7	30
过	225	8	文法層	6	34
语	212	8	CSV2890	9	65
记	210	57	PEJVO	5	29
书	205	6	CSV2890	4	35
长	205	16	文法層	4	36
对	204	8	文法層	5	47
车	202	24	CSV2890	4	37
动	196	17	CSV2890	6	138
值	193	4	文法層	10	23
盐	190	65	文法層	10	5
风	182	33	CSV2890	4	29
树	181	15	CSV2890	9	16
兽	175	91	CSV2890	11	5
劳	172	1	CSV2890	7	7
时	171	21	CSV2890	7	50
满	169	2	CSV2890	13	8
压	166	23	CSV2890	6	10
头	163	33	CSV2890	5	42
带	163	18	CSV2890	9	42
强	163	5	CSV2890	12	25
测	157	50	PEJVO	9	11
热	155	42	CSV2890	10	26
战	151	9	CSV2890	9	10
计	151	98	CSV2890	4	64
镜	141	71	PEJVO	16	6
线	140	10	CSV2890	8	40
变	139	20	CSV2890	8	19
齿	137	24	CSV2890	8	5
团	132	15	CSV2890	6	22
远	119	18	文法層	7	10
转	118	10	CSV2890	8	258
结	117	23	CSV2890	9	36
环	113	17	CSV2890	8	18
经	111	27	CSV2890	8	31
给	110	1	CSV2890	9	17
节	107	32	CSV2890	5	33
导	105	8	CSV2890	6	14
纸	105	8	CSV2890	7	17
顶	105	14	CSV2890	8	11
爱	103	14	CSV2890	10	17
词	103	11	CSV2890	7	64
种	102	9	CSV2890	9	31
务	101	4	CSV2890	5	16
标	101	8	CSV2890	9	23
话	100	12	CSV2890	8	19
红	99	21	CSV2890	6	8
艺	99	5	CSV2890	4	12
围	97	16	文法層	7	9
圆	97	11	CSV2890	10	12
复	93	16	CSV2890	9	23
检	93	9	CSV2890	11	11
盘	92	12	CSV2890	11	15
见	92	3	CSV2890	4	13
侧	91	4	CSV2890	8	5
养	91	11	CSV2890	9	22
矿	91	21	CSV2890	8	6
链	91	14	CSV2890	12	4
马	91	19	CSV2890	3	21
处	90	7	CSV2890	5	37
乐	89	15	CSV2890	5	45
产	86	9	CSV2890	6	17
铁	86	12	CSV2890	10	12
办	85	5	CSV2890	4	10
弹	85	10	CSV2890	11	10
现	84	9	CSV2890	8	33
权	83	6	CSV2890	6	14
钱	81	3	CSV2890	10	6
误	80	1	文法層	9	5
丝	79	10	CSV2890	5	10
黑	79	9	CSV2890	12	7
质	78	16	CSV2890	8	38
轮	78	6	CSV2890	8	11
调	76	11	CSV2890	10	30
钟	74	5	CSV2890	9	6
图	73	21	CSV2890	8	17
议	73	9	CSV2890	5	29
护	72	9	CSV2890	7	23
步	72	4	CSV2890	7	13
浆	72	13	CSV2890	10	2
飞	72	2	CSV2890	3	12
证	71	11	CSV2890	7	19
说	71	4	CSV2890	9	31
细	70	7	CSV2890	8	17
伪	68	11	文法層	6	4
应	68	3	CSV2890	7	18
肠	67	29	PEJVO	7	2
续	66	4	CSV2890	11	12
传	65	7	CSV2890	6	28
规	65	8	CSV2890	8	20
剧	64	11	CSV2890	10	26
单	64	32	文法層	8	40
龙	64	41	PEJVO	5	3
报	63	10	CSV2890	7	35
脑	63	17	CSV2890	10	3
认	63	4	CSV2890	4	15
论	63	8	CSV2890	6	29
卖	62	2	CSV2890	8	8
别	61	1	CSV2890	7	25
职	60	4	CSV2890	11	25
级	59	5	CSV2890	6	18
终	59	4	CSV2890	8	1
伤	58	6	CSV2890	6	12
绿	58	6	CSV2890	11	2
边	58	9	CSV2890	5	12
邮	58	3	CSV2890	7	10
闭	58	2	CSV2890	6	5
摇	57	6	CSV2890	13	10
组	57	3	文法層	8	18
编	57	8	CSV2890	12	20
门	57	11	CSV2890	3	13
伞	55	38	PIV	6	2
坚	55	7	CSV2890	7	11
层	55	11	CSV2890	7	12
疗	55	34	PEJVO	7	5
觉	55	6	CSV2890	9	20
评	55	4	CSV2890	7	15
软	55	11	CSV2890	8	8
备	54	4	CSV2890	8	18
蓝	54	6	CSV2890	13	2
补	54	9	CSV2890	7	23
举	53	3	CSV2890	9	15
货	53	4	PEJVO	8	17
轨	53	4	CSV2890	6	4
闪	53	10	CSV2890	5	5
诱	52	3	PEJVO	9	5
鸡	52	14	CSV2890	7	3
击	51	8	PEJVO	5	10
猎	51	3	CSV2890	11	2
银	51	4	CSV2890	11	5
织	50	7	CSV2890	8	18
题	50	7	CSV2890	15	23
总	49	5	CSV2890	9	15
荡	49	8	CSV2890	9	2
赞	49	5	CSV2890	16	14
选	49	5	CSV2890	9	10
纯	48	1	CSV2890	7	5
废	47	7	CSV2890	8	4
态	47	10	CSV2890	8	30
读	47	2	CSV2890	10	9
资	47	4	CSV2890	10	14
辩	47	12	PEJVO	16	9
验	47	7	CSV2890	10	8
鹰	47	14	PEJVO	18	3
专	45	5	CSV2890	4	14
亲	45	4	CSV2890	9	22
