圏外字	延べ出現	最近傍JIS字	形の近さ	手動対応字	真対の近さ	真対の順位(全JIS)	真対の順位(常用相当)	透明
义	658	又	0.729	義	0.439	431	103	no
倾	456	傾	0.727	傾	0.727	1	1	yes
员	441	員	0.635	員	0.635	1	1	yes
鱼	288	魚	0.669	魚	0.669	1	1	yes
鸟	280	鳥	0.636	鳥	0.636	1	1	yes
电	242	屯	0.679	電	0.566	48	15	no
间	234	間	0.689	間	0.689	1	1	yes
过	225	迯	0.716	過	0.572	59	18	no
语	212	悟	0.724	語	0.568	200	42	no
记	210	祀	0.697	記	0.509	420	80	no
书	205	咽	0.548	書	0.471	368	60	no
长	205	状	0.559	長	0.522	35	11	no
对	204	対	0.733	対	0.733	1	1	yes
车	202	牟	0.681	車	0.555	25	11	no
动	196	幼	0.688	動	0.542	126	22	no
值	193	値	0.708	値	0.708	1	1	yes
盐	190	盆	0.663	塩	0.486	3376	484	no
风	182	斑	0.628	風	0.605	2	1	yes
树	181	枡	0.733	樹	0.564	736	93	no
兽	175	曾	0.682	獣	0.457	5704	982	no
劳	172	芳	0.653	労	0.598	6	2	yes
时	171	吋	0.758	時	0.610	6	2	yes
满	169	滴	0.701	満	0.671	3	1	yes
压	166	圧	0.711	圧	0.711	1	1	yes
头	163	戻	0.555	頭	0.404	4835	825	no
带	163	帝	0.673	帯	0.638	5	3	yes
强	163	強	0.720	強	0.720	1	1	yes
测	157	溯	0.705	測	0.674	4	2	yes
热	155	焦	0.618	熱	0.614	2	1	yes
战	151	故	0.641	戦	0.524	1478	212	no
计	151	什	0.734	計	0.400	3855	611	no
镜	141	境	0.779	鏡	0.663	6	3	yes
线	140	践	0.690	線	0.557	243	35	no
变	139	変	0.704	変	0.704	1	1	yes
齿	137	歯	0.661	歯	0.661	1	1	yes
团	132	団	0.815	団	0.815	1	1	yes
远	119	逐	0.684	遠	0.594	75	23	no
转	118	鰆	0.597	転	0.506	1824	231	no
结	117	桔	0.702	結	0.628	6	2	yes
环	113	坏	0.658	環	0.504	634	89	no
经	111	径	0.662	経	0.546	85	10	yes
给	110	洽	0.676	給	0.595	9	1	yes
节	107	芙	0.573	節	0.479	536	86	no
导	105	尋	0.628					判定不能
纸	105	柢	0.698	紙	0.651	7	1	yes
顶	105	頂	0.701	頂	0.701	1	1	yes
爱	103	爰	0.662	愛	0.575	15	5	yes
词	103	伺	0.735					判定不能
种	102	秤	0.764					判定不能
务	101	各	0.652					判定不能
标	101	棉	0.689					判定不能
话	100	括	0.659	話	0.645	2	1	yes
红	99	杠	0.660	紅	0.542	41	9	yes
艺	99	芝	0.598					判定不能
围	97	圉	0.776	囲	0.655	35	10	yes
圆	97	囿	0.750					判定不能
复	93	夏	0.658					判定不能
检	93	栓	0.727	検	0.680	7	1	yes
盘	92	盖	0.656	盤	0.628	8	3	yes
见	92	見	0.672					判定不能
侧	91	側	0.777					判定不能
养	91	姜	0.635	養	0.559	53	14	no
矿	91	砿	0.669	鉱	0.532	31	6	yes
链	91	鏈	0.663					判定不能
马	91	与	0.666	馬	0.439	2076	294	no
处	90	外	0.662					判定不能
乐	89	乕	0.581	楽	0.443	4083	632	no
产	86	广	0.560					判定不能
铁	86	帙	0.705	鉄	0.671	4	1	yes
办	85	券	0.554					判定不能
弹	85	睇	0.659					判定不能
现	84	現	0.717	現	0.717	1	1	yes
权	83	扠	0.726	権	0.543	374	68	no
钱	81	銭	0.668	銭	0.668	1	1	yes
误	80	揆	0.656					判定不能
丝	79	汢	0.566					判定不能
黑	79	黒	0.821					判定不能
质	78	盾	0.715	質	0.536	1145	158	no
轮	78	靴	0.614					判定不能
调	76	惆	0.750					判定不能
钟	74	神	0.691	鐘	0.564	295	40	no
图	73	国	0.705	図	0.639	29	9	yes
议	73	佼	0.599					判定不能
护	72	枦	0.751	護	0.425	4511	724	no
步	72	歩	0.665					判定不能
浆	72	漿	0.671					判定不能
飞	72	弋	0.548					判定不能
证	71	征	0.777					判定不能
说	71	悦	0.731	説	0.595	20	5	yes
细	70	細	0.717	細	0.717	1	1	yes
伪	68	信	0.669	偽	0.578	116	23	no
应	68	庄	0.684	応	0.505	1065	181	no
肠	67	騰	0.681	腸	0.681	2	1	yes
续	66	竢	0.618	続	0.565	182	23	no
传	65	伎	0.673					判定不能
规	65	規	0.696					判定不能
剧	64	刷	0.700	劇	0.587	208	36	no
单	64	牟	0.672	単	0.657	2	1	yes
龙	64	尢	0.668	竜	0.472	1752	260	no
报	63	扱	0.754					判定不能
脑	63	脯	0.703					判定不能
认	63	伏	0.679					判定不能
论	63	遼	0.605					判定不能
卖	62	案	0.613					判定不能
别	61	別	0.699					判定不能
职	60	肥	0.662					判定不能
级	59	級	0.712	級	0.712	1	1	yes
终	59	終	0.658	終	0.658	1	1	yes
伤	58	仞	0.701					判定不能
绿	58	禄	0.706	緑	0.619	5	2	yes
