分類	見出し	落ちている成分	語釈
ZERO	brit/a unc/o	brit,unc	【単】常用オンス（1oz＝31.10g）
ZERO	franc/a unc/o	franc,unc	【単】トロイオンス（1oz＝28.35g）
ZERO	g^erman/a vo	g^erman,vo	ダブリュー（ラテン文字Ｗの名称）,=vavo
ZERO	ingven/a herni/o	ingven,herni	【病】鼠径ヘルニア;《般》脱腸
ZERO	japan/a primul/o	japan,primul	【植】クリンソウ（九輪草）（種）
ZERO	uson/a dolar/o	uson,dolar	【経】米ドル,USドル
PART	ah^il/a tenden/o	ah^il	【解】アキレス腱
PART	ain/a lingv/o	ain	（la 〜）アイヌ語
PART	akil/a tenden/o	akil	=ah^ila tendeno（アキレス腱）
PART	ald/a saksofon/o	saksofon	【楽】アルト・サックス
PART	amerik/a fag/o	amerik	【植】アメリカブナ（種）
PART	amerik/a kontinent/o	amerik	アメリカ大陸
PART	angl/a brand/o	angl	ブランデー
PART	angl/a lingv/o	angl	（la 〜）英語
PART	angl/a tun/o	angl	【単】英トン,ロングトン（＝約1016kg）
PART	angl/a versi/o	angl	（映画・書籍などの）英語版
PART	arab/a gum/o	arab	アラビアゴム
PART	arab/aj cifer/oj	arab	アラビア数字
PART	arab/a lingv/o	arab	（la 〜）アラビア語
PART	aski/a sign/o	aski	【情】アスキー文字
PART	atlas/a cedr/o	atlas	【植】アトラスシーダー
PART	barok/a stil/o	barok	【建】【芸】バロック様式
PART	basedov/a mal/san/o	basedov	【病】バセドウ病
PART	benedikt/an/a labor/o	benedikt	《転》根気のいる仕事
PART	bengal/a lingv/o	bengal	（la 〜）ベンガル語
PART	birm/a lingv/o	birm	（la 〜）ビルマ語
PART	brajl/a el/don/aj^/o	brajl	点字出版物
PART	brajl/a el/don/o	brajl	点字出版
PART	brajl/a skrib/o	brajl	点字文
PART	brank/a spir/ad/o	brank	えら呼吸
PART	breton/a lingv/o	breton	（la 〜）ブルトン語,ブルターニュ語
PART	brit/a pund/o	brit	【貨】英ポンド
PART	bule/a algebr/o	bule	【数】ブール代数
PART	bulgar/a lingv/o	bulgar	（la 〜）ブルガリア語
PART	cezar/a operaci/o	cezar	【医】帝王切開
PART	cigan/a lingv/o	cigan	ジプシー語,=>romaa lingvo,ロマニ語
PART	ciril/a alfabet/o	ciril	キリル文字
PART	c^eh^/a lingv/o	c^eh^	（la 〜）チェコ語
PART	c^ernobil/a nukle/a central/o	c^ernobil	（la 〜）チェルノブイリ原子力発電所
PART	c^in/a ajl/o	c^in	【植】ラッキョウ
PART	c^in/a brasik/o	c^in	【植】チンゲンサイ（青梗菜）;ハクサイ（白菜）,=Pekina brasiko
PART	c^in/a cidoni/o	c^in	【植】カリン（花梨）
PART	c^in/a diant/o	c^in	【植】セキチク
PART	c^in/a hibisk/o	c^in	【植】フヨウ（芙蓉）（種）
PART	c^in/a ide/o/gram/o	c^in	漢字##偽分解(PIV正式分解)##過細分解 c^in/a ide/o/g/r/a/m/o
PART	c^in/a ink/o	c^in	墨,墨汁,=tuc^o
PART	c^in/a kameli/o	c^in	【植】チャ（茶，種）,=teo
PART	c^in/a krep/o	c^in	【織】クレープデシン,フランスちりめん
PART	c^in/a kvartal/o	c^in	中国人居住区,中華街
PART	c^in/a lantern/o	c^in	提灯（ちょうちん）
PART	c^in/a lingv/o	c^in	（la 〜）中国語
PART	c^in/a liter/o	c^in	漢字,=c^ina ideogramo
PART	c^in/a peoni/o	c^in	【植】シャクヤク（芍薬）
PART	c^in/a poc^/it/a raviol/o	c^in	【料】水餃子（すいぎょうざ）
PART	c^in/a raviol/o	c^in	【料】ギョーザ（餃子）
PART	c^in/a rost/it/a raviol/o	c^in	【料】焼き餃子
PART	c^in/a vermic^el/o	c^in	【料】ラーメン
PART	c^in/a versi/o	c^in	（映画・書籍などの）中国語版
PART	c^iu/riks/a asekur/o	riks	全災害保険
PART	c^okolad/a bombon/o	c^okolad	【菓】チョコレートボンボン
PART	c^okolad/a plat/o	c^okolad	板チョコ
PART	c^okolad/kovr/it/a puf/kuk/o	c^okolad	【菓】エクレア
PART	c^uvas^/a lingv/o	c^uvas^	（la 〜）チュバシ語
PART	dan/a lingv/o	dan	（la 〜）デンマーク語
PART	dank' al	dank'	［前］〜のおかげで
PART	dem/o/grafi/a piramid/o	dem	人口ピラミッド,=ag^piramido##偽分解
PART	disk/a herni/o	herni	【病】椎間板ヘルニア
PART	diskont/a pro/cent/o	pro	【商】割引率##偽分解
PART	dolar/a valut/o	dolar	【経】ドル相場
PART	dorik/a kapitel/o	dorik	【建】ドリス式（＝ドーリア式）柱頭
PART	du/obl/a vo	vo	ダブリュー（ラテン文字Ｗの名称）,=vavo
PART	egipt/a civil/iz/aci/o	egipt	（la 〜）【史】エジプト文明##偽分解
PART	egipt/a lotus/o	egipt	【植】スイレン（睡蓮）,>>nimfeo
PART	eks/sovet/i/aj land/oj	sovet	旧ソ連諸国##偽分解
PART	entuziasm/a esperant/ist/o	esperant	熱烈なエスペランチスト
PART	esenc/a amin/o/acid/o	amin	【化】必須アミノ酸
PART	esperant/lingv/a komun/um/o	esperant	エスペラント言語共同体
PART	eston/a lingv/o	eston	（la 〜）エストニア語
PART	eu^klid/a geo/metri/o	eu^klid	ユークリッド幾何学##偽分解
PART	eu^sk/a lingv/o	eu^sk	（la 〜）バスク語
PART	farenhejt/a term/o/metr/o	farenhejt	【理】カ氏温度計##偽分解(PIV正式分解)##過細分解 farenhejt/a t/e/r/m/o/metr/o
PART	far/i salat/on	salat	サラダを作る
PART	finn/a lingv/o	finn	（la 〜）フィンランド語
PART	fort/a kaf/o	kaf	濃いコーヒー
PART	franc/a lingv/o	franc	（la 〜）フランス語
PART	franc/a versi/o	franc	（映画・書籍などの）フランス語版
PART	fris/a lingv/o	fris	（la 〜）フリジア語
PART	frukt/a salat/o	salat	【料】フルーツサラダ
PART	gael/a lingv/o	gael	（la 〜）ゲール語
PART	german/a lingv/o	german	（la 〜）ドイツ語
PART	german/a s^af/hund/o	german	【動】シェパード
PART	gotik/a stil/o	gotik	【建】【芸】ゴシック様式
PART	grand/a kalori/o	kalori	大カロリー（熱量の単位，Cal）,=kilokalorio
PART	grek/aj kalend/oj	grek	（いつまでもやって来ない）存在しない日
PART	grek/a lingv/o	grek	（la 〜）ギリシア語,ギリシャ語
PART	grek/a ortodoks/a eklezi/o	grek	【キ】ギリシア正教会
PART	grek/a pig/o	grek	【鳥】モズ（鵙）,=lanio
PART	hanifit/a skol/o	hanifit	【イ】ハナフィー法学派【私家版】
PART	hebre/a kvartal/o	hebre	ユダヤ人居住区,=getto
PART	hebre/a lingv/o	hebre	（la 〜）ヘブライ語
PART	himalaj/a cedr/o	himalaj	【植】ヒマラヤスギ
PART	hind/a lotus/o	hind	【植】ハス（蓮）
PART	hind/i/a lingv/o	hind	（la 〜）ヒンディー語
PART	hispan/a artis^ok/o	hispan	【植】=kardono（カルドン）
PART	hispan/a lingv/o	hispan	（la 〜）スペイン語
PART	homo/log/aj element/oj	log	【化】同族元素##偽分解
PART	homo/log/aj kromosom/oj	log	【生】相同染色体##偽分解
PART	homo/log/aj organ/oj	log	【生】相同器官##偽分解
PART	homo/log/a seri/o	log	【化】同族列##偽分解
PART	hungar/a lingv/o	hungar	（la 〜）ハンガリー語
PART	indig^en/a amerik/an/o	amerik	アメリカ先住民,>>indiano
PART	indonezi/a lingv/o	indonezi	（la 〜）インドネシア語
PART	infra/rug^/aj radi/oj	infra	【理】赤外線##偽分解(PIV正式分解)
PART	ionik/a kapitel/o	ionik	【建】イオニア式柱頭
PART	islam/a fundament/ism/o	islam	【政】イスラム原理主義,>>islamismo
PART	islam/a kalendar/o	islam	イスラム暦
PART	islam/a komun/um/o	islam	イスラム共同体
PART	islam/a land/o	islam	イスラム教国
PART	island/a lingv/o	island	（la 〜）アイスランド語
PART	ital/a lingv/o	ital	（la 〜）イタリア語
PART	jagi/a anten/o	jagi	【通】八木アンテナ
PART	japan/a abak/o	japan	そろばん,=sorobano
PART	japan/a brand/o	japan	焼酎（しょうちゅう）
PART	japan/a danc/o	japan	日本舞踊
PART	japan/a encefal/it/o	japan	【病】日本脳炎##偽分解
PART	japan/a evonim/o	japan	【植】マサキ（柾）
PART	japan/a fag/o	japan	【植】ブナ（種）
PART	japan/a insul/ar/o	japan	（la 〜）【地名】日本列島
PART	japan/a irid/o	japan	【植】ハナショウブ（_Iris ensata_）
PART	japan/a kameli/o	japan	【植】ツバキ（種）
PART	japan/a ligustr/o	japan	【植】ネズミモチ（種）
PART	japan/a lingv/o	japan	（la 〜）日本語
PART	japan/a reg/ist/ar/o	japan	（la 〜）日本政府
PART	japan/a s^ak/o	japan	【遊】将棋
PART	japan/a versi/o	japan	（映画・書籍などの）日本語版
PART	jud/a kvartal/o	jud	ユダヤ人街,ユダヤ人居住区,=getto
PART	kartezi/aj koordinat/oj	kartezi	【数】デカルト座標
PART	kartuzi/an/a likvor/o	kartuzi	【料】シャルトルーズ（リキュールの高級銘柄）
PART	kastili/a lingv/o	kastili	（la 〜）カスティーリャ語,=hispana lingvo
PART	katalun/a lingv/o	katalun	（la 〜）カタロニア語,カタルーニャ語
PART	katolik/a eklezi/o	katolik	【キ】カトリック教会
PART	kec^u/a lingv/o	kec^u	（la 〜）ケチュア語
PART	kimr/a lingv/o	kimr	（la 〜）ウェールズ語
PART	klon/it/a best/o	klon	クローン動物
PART	kmer/a lingv/o	kmer	（la 〜）クメール語（カンボジア）
PART	kojn/o/form/a liter/o	kojn	【史】楔形文字
PART	kojn/o/form/a skrib/o	kojn	【史】=kojnoskribo（楔形文字書法）
PART	kolonj/a akv/o	kolonj	オーデコロン（化粧水）
PART	kombin/it/a kapacit/anc/o	anc	【理】合成容量
PART	kombin/it/a rezist/anc/o	anc	【理】合成抵抗
PART	koncern/e tio/n	tio	それに関して
PART	konjug/it/aj du/obl/aj lig/oj	konjug	【化】共役二重結合
PART	kontau^/a vent/o	kontau^	逆風,向かい風
PART	kord/a kvar/tet/o	tet	【楽】弦楽四重奏##偽分解(PIV正式分解)##過細分解 kord/a kvar/t/e/t/o
PART	kore/a lingv/o	kore	（la 〜）朝鮮語,韓国語
PART	kore/a versi/o	kore	（映画・書籍などの）韓国語版,朝鮮語版
PART	korintik/a kapitel/o	korintik	【建】コリント式柱頭
PART	ko/valent/a lig/o	ko	【理】共有結合##偽分解(PIV正式分解)
PART	kreol/a lingv/o	kreol	【語】クレオール語
PART	krist/an/a era/o	krist	キリスト紀元
PART	krist/nask/a arb/o	krist	クリスマスツリー
PART	krist/nask/a kuk/o	krist	クリスマスケーキ
PART	kroat/a lingv/o	kroat	（la 〜）クロアチア語
PART	kuir/i kaf/on	kaf	コーヒーを入れる
PART	labrador/a hund/o	labrador	ラブラドール犬
PART	laos/a lingv/o	laos	（la 〜）ラオス語
PART	latin/a alfabet/o	latin	ラテン語アルファベット,ローマ字
PART	latin/a lingv/o	latin	（la 〜）ラテン語,=latino
PART	latin/a liter/o	latin	ラテン文字,ローマ字
PART	latin/id/aj lingv/oj	latin	【語】ロマンス諸語,ロマン諸語
PART	latin/id/a lingv/o	latin	【語】ロマンス語,ロマン語
PART	lebanon/a cedr/o	lebanon	【植】レバノンスギ
PART	legom/a salat/o	salat	【料】野菜サラダ
PART	lign/a mozaik/o	mozaik	寄せ木細工,=marketraj^o
PART	litov/a lingv/o	litov	（la 〜）リトアニア語
PART	maja/a civil/iz/aci/o	maja	【史】マヤ文明##偽分解
PART	maja/a lingv/o	maja	（la 〜）マヤ語
PART	maj^or/a ton/al/o	al	【楽】長調##偽分解
PART	malaj/a lingv/o	malaj	（la 〜）マレー語
PART	mal/fort/a kaf/o	kaf	薄いコーヒー
PART	mal/grand/a kalori/o	kalori	小カロリー（熱量の単位，cal）,=kalorio
PART	mal/nov/grek/a lingv/o	grek	古代ギリシア語
PART	mal/supr/a makzel/o	makzel	【解】下顎（したあご）
PART	mastrih^t/a traktat/o	mastrih^t	マーストリヒト条約
PART	mediterane/aj land/oj	mediterane	地中海諸国
PART	mend/i kaf/on	kaf	コーヒーを頼む
PART	meteo/logi/a radar/o	radar	【気】気象レーダー##偽分解
PART	minor/a ton/al/o	al	【楽】短調##偽分解
PART	mongol/a lingv/o	mongol	（la 〜）モンゴル語
PART	mors/a alfabet/o	mors	【通】モールス符号
PART	mors/a kod/o	mors	【通】モールス符号
PART	nazi/a parti/o	nazi	（la 〜）【史】ナチス,ナチ党
PART	nederland/a lingv/o	nederland	（la 〜）オランダ語
PART	nepal/a lingv/o	nepal	（la 〜）ネパール語
PART	neu^ton/a mekanik/o	neu^ton	【理】ニュートン力学
PART	nigr/a kaf/o	kaf	【料】ブラックコーヒー
PART	nilon/aj s^trump/oj	nilon	【服】ナイロンストッキング
