判定	語根	鏡像	意味	学習者版に誤り	理由
ACCEPT	aneu^ploid	无ᴬ良ᴱ倍ᴾ	異数性の。PIV/学術版45027「Havanta nenorman nombron de kromosomoj」= 染色体数が正常でない。語源は an-(否定)+eu-(良い・正常な)+ploid(倍数体)。		学習者版45027 an/eu^/ploid/a⟦无ᴬ/良ᴱ/倍ᴾ/a⟧(##偽分解(PIV正式分解))。3成分すべて登録済みで語義と一致: (1) 无ᴬ=privative a-/an- は _inject_final.ps1:112 $privDisp="无ᴬ" で定義、a/fon/i/o(失声)・an/emi/o(貧血)・an/estez/o(無感覚)など多数で同一描画。(2) 良ᴱ=eu^ は sidecar 761行(piv, F=5)、しかも学習者版47475の eu^/ 見出し自身が「Pref. indikanta: 1 Bonan, normalan staton」=良い・正常な状態、と定義しており『正常でない倍数性』という語釈と論理的に一致。(3) 倍ᴾ=ploid は sidecar 180行(piv F=9)、du/ploid=二倍ᴾ・tri/ploid=三倍ᴾ・unu/ploid=一倍ᴾ と整合。裸字衝突なし(无裸=sen、良裸=bon、倍裸=obl はいずれも識別子で分離)。表面同形0。
ACCEPT	antheli	抗ᴬᴺ日ᴴᴱ	対日像(anthelion)。太陽と反対方向に見える拡散した太陽の像という光学現象。学術版45104 `antheli/o:【PIV】Optika aperaj^o, difuza bildo de Suno en la kontrau^a direkto.`		学習者版45104 `ant/heli/o⟦抗ᴬᴺ/日ᴴᴱ/o⟧`。★これは指摘された失敗様式を実際に一度踏んで是正済みの箇所で、_homonym_disp.tsv に「2026-07-26 正本ドリフトで antheli/o→ant/heli/o が露出し heli が气ᴴ(ヘリウム)で描画→disc追加」と記録がある。現行は (1) ant→抗ᴬᴺ が disc=`ant/heli/o` の専用 sep(既定の分詞-ant=在、antonim の 反 とも別)、(2) heli→日ᴴᴱ が disc=`peri/heli/o,pir/heli/o/metr/o,ant/heli/o` の sep(基本形 heli/o=气ᴴ ヘリウムとは別エントリ)。両方とも正規登録済みで、「反+太陽」= 対日像は語義と完全一致。★注記: 識別子を落とすと面が 抗日(中国語の政治的高負荷語)になる。案A通り識別子込みの 抗ᴬᴺ日ᴴᴱ で入れる限り、抗 と 日 の間に非CJK上付き字が入るため第30レンズの CJK極大連続判定でも実在語を形成しない(実測: 学習者版の 抗日 隣接は本行1件のみで、tsv には未計上)。識別子省略版を採用してはならない。
ACCEPT	asistoli	无ᴬ缩ˢ	【医】心収縮(sistolo)の不全に由来する症候群=心収縮不全/心静止。学術版45380 asistoli/o:Simptomaro, kiu dependas de la insuficienco de la kora sistolo。		学習者版45380 a/sistol/i/o⟦无ᴬ/缩ˢ/i/o⟧を実確認。无ᴬ は_inject_final.ps1 L112 $privDisp=否定接頭a-/an-の固定描画(a/fon/i/o⟦无ᴬ/声ᶠᴼ⟧・a/kromat/a⟦无ᴬ/色ᴷᴿ⟧・a/morf/a⟦无ᴬ/形ᴹ⟧と同系列)。缩ˢ はsidecar6572 sistol=缩ˢ(学習者版36815 sistol/o⟦缩ˢ/o⟧=心収縮期、対義diastol=舒ᴰ)。无ᴬ缩ˢ=「収縮が無い」で語釈(収縮の不全)と論理的に一致=R4合格。同綴取り違え・固有名・音訳なし。無漢字の連結分節 i を落とすのは既存鏡像の確立慣行(続62で投入の mikroskopi=微镜ˢᴷ, trikromi=三色ᴷᴵ, endoskopi=内ᴱᴰ镜ˢᴷ が同様に -i を落としている。_bk_map_pre_mirror0801.tsv との差分で実確認)。sidecarに无ᴬ缩ˢ は0件=衝突なし。
ACCEPT	briozo	苔ᴮ兽ᶻ	【動】コケムシ(苔虫)動物門 Bryozoa。学術版46064『Filumo (Bryozoa) de akvaj senvertebraj animaloj, tre malgrandaj, kies kolonioj formas krustecan kovron sur fuko, s^tonoj ks』=群体が海藻や石に痂状の被覆を作る微小な水生無脊椎動物の門。		語源 bryon(コケ)+zoon(動物) と語釈が一致し、苔+兽 は正しい意味計算。①bri=苔ᴮ の接地確認: 学習者版46052 `bri/o⟦苔ᴮ/o⟧`(蘚類 Bryum 属)・46054 `bri/fit/oj⟦苔ᴮ/植ᶠ/oj⟧`(コケ植物門)・4351 `bri/o/fit/oj⟦苔ᴮ/o/植ᶠ/oj⟧` と一貫。同綴別語の取り違えなし(bril=光る等とは分節が別)。②zo=兽ᶻ は sidecar 登録済(basic F=16)、兽群で ᶻ は一意。③先例: 学術版32434 に既存の鏡像 `protozo/oj⟦原兽/oj⟧`(proto+zo) があり、同型の充填。ただし 原兽 は識別子を落とした旧1,828行型で、今回は §3.1続72/§14.2.1続62 の案A(識別子込み)ゆえ 兽ᶻ が正しい。④連結母 o の脱落は既存15件の鏡像と整合(megalosau^r=巨ᴹ爬虫 は megal/o/sau^r の o を落としている)。⑤衝突走査: 苔ᴮ兽ᶻ は全ファイル0件。
ACCEPT	butilhidroksi	丁基水ᴴ氧	ブチルヒドロキシ-(butyl-hydroxy-)。学術版57544 butilhidroksi/anizol/o=C11H16O2(BHA)、61514 butilhidroksi/toluen/o=C15H24O(BHT)、いずれも食品の酸敗を防ぐ酸化防止剤。両行とも⟦⟧無し=語根まるごとラテン残り。		学習者版57544 but/il/hidr/oksi/aniz/ol/o⟦丁/基/水ᴴ/氧/果ᴬ/ol/o⟧を実確認。成分は全て体系内の正規描画: (1)but→丁 は_inline_tokens.tsv記載の$alkylStemトークン(C4=中国化学命名の丁基butyl。バターbut/er=培と二重ゲートで弁別済、_inject_final.ps1 L120/L267)。丁は十干=炭素数4の意味符であり音訳ではない→R4合格。(2)il→基 は_inject_final.ps1 L268の化学-yl規則(【化】タグ+前分節がアルキル語幹の二重ゲート。器具-il=具は不発火)。乙基/丁基は中国化学の実用語。(3)hidr→水ᴴ(sidecar639)、oksi→氧(sidecar5987)は固定描画で、学習者版のhidr/oksid/o⟦水ᴴ/氧化⟧と整合。固有名・音訳・同綴取り違えのいずれも無し。sidecar内に丁基水ᴴ氧の既存描画は0件=衝突なし。★1点だけ注記: 正本mapに既存の legacy 行 8898 piv hidroksi 水氧 / 8899 piv hidroksid 水氧化 は識別子ᴴを付けていない(学術版14333 hidroksid/o⟦水氧化/o⟧)。本件を案A(識別子込み)で入れると学術版内部で 水氧 と 水ᴴ氧 が併存する。案A(続62)が現行標準なので本候補は案A準拠でACCEPTだが、legacy2行を水ᴴ氧/水ᴴ氧化へ格上げして揃えるのが望ましい(別件)。
ACCEPT	cianorat	青金盐ᴬ	シアノ金酸塩(cyanoaurate)。学術版46285 `cianorat/o:【PIV】Vd (vidu) oro.` = 金(oro)の項参照＝金のシアン錯塩		学習者版46285 `cian/or/at/o⟦青/金/盐ᴬ/o⟧`。3成分すべてが正規の固定描画または登録済みトークンで、意味も一致する。cian=青(sidecar 8387行、cyan/シアン=希kyanos青緑で音訳でなく意味由来)、or=金(sidecar 287行、基本形owner・エス or/o=金)、盐ᴬ=at は _inline_tokens.tsv 19行に登録済みの化学塩トークン(受動分詞-at=被 と弁別)。発火経路も確認: _inject_final.ps1 L105 $chemAcid に 'cian' が含まれ、L203 で先頭分節=cian かつ 'at' 分節あり→$chemSaltLine 発火。既存の同型鏡像が map に多数ある: `piv cianat 青盐`(8533)・`piv izocianat 等青盐`(8991)・`piv acetat 醋盐`(8324)・`piv dikromiat 二金盐`(8591)。よって 青金盐ᴬ=「シアン/金/塩」は R4 透明・R2 既存字のみ・音訳なし・固有名でない。注意点1件(阻却理由ではない): 既存の cianat は sidecar で識別子なしの 青盐 で登録されており、本件を案A(識別子込み 盐ᴬ)で入れると兄弟語と表記が揺れる。案A方針(続62)に従うなら 青金盐ᴬ でよいが、cianat 側も 青盐ᴬ に揃えるか要確認。
ACCEPT	cianorit	青金盐ᴵ	シアノ金(I)酸塩。学術版46286は「Vd oro」だけだが、PIV2020 or/o 項(k31978)の派生形に『cian orito: Salo de HAu(CN)3』と明記。すなわちシアン化物+金(Au)の亜酸塩。		学習者版46286 cian/or/it/o⟦青/金/盐ᴵ/o⟧。3成分すべてPIV語釈と一致することを一次資料で確認した。(1) 青=cian は sidecar 8387行(pejvo)の正所有者。学習者版46287の cian/ 見出し自身が接頭辞、4952 cian/o⟦青/o⟧=【化】シアンで、化学のシアン基も同一語根=固定描画で正しい(同綴別語ではない)。(2) 金=or は sidecar 287行(basic F=61)の裸字正所有者で、PIV の HAu(CN)3 の Au と一致。or=金 は or/o⟦金/o⟧で確定。(3) 盐ᴵ=化学 -it(-ite 亜…酸塩)は _inject_final.ps1:108 $saltIt で定義、fosf/it/o(亜リン酸塩)・nitr/it/o(亜硝酸塩)と同型。裸 盐=sal と識別子で分離済み。姉妹語 cianorat/o⟦青/金/盐ᴬ⟧(PIV: Salo de HAu(CN)4)とも整合。音訳ゼロ・固有名でない。表面同形0。
ACCEPT	dietil	二乙基	ジエチル(diethyl)。学術版59939 `dietil/morfin/o:【PIV】Heroino.`(ジアセチル…ではなくPIV表記のジエチルモルヒネ＝ヘロイン)。dietil 自体は「エチル基2個」の化学接頭部		学習者版59939 `di/et/il/morfin/o⟦二/乙/基/morfin/o⟧`。3成分は化学ゲート由来の文脈トークンだが、いずれも意味が分節と厳密に一致し、かつ同型の裸根鏡像が map に多数の先例をもつ。発火経路も確認済み: _inject_final.ps1 L199 の $isSysChem 判定正規表現に `morfin|[Hh]eroin` が含まれるため語釈「Heroino.」で化学行と判定され、L267 で $alkylStem の et→乙(L120 `'et'='乙'`)、-il→基(_homonym.tsv 33行 `il 基 sep` 化学ラジカル)、di→二(_homonym.tsv 53行 `di 二 sep` 数詞di-)が発火する。字の意味と所有者: 二=du(sidecar 148行 num 319回、two)、乙=etil(sidecar 8255行 pejvo、ethyl)、基=baz(sidecar 3622行 basic 47回、化学では基＝ラジカル)。すなわち逆引きしても「二・エチル・基」で diethyl に読め、R4 透明・音訳ゼロ・新字ゼロ。既存の同型鏡像: `piv benzoil 安息香基`(8486)・`piv karbonil 碳基`(9023)・`piv jodil 碘基`(9009)・`piv fosforil 磷基`(9884)・`piv kromiil 金基`(10025)・`piv etoksi 乙氧`(8699)・`content etil 乙`(5766)。中国化学命名でも 二乙基 が diethyl の正式訳語。morfin(モルフェウス由来の固有名)は両版でラテン維持されており §7 も遵守。注意点1件(阻却理由ではない): 既存語根 `etil`=乙(学術版10053 `etil/o⟦乙/o⟧`)との粒度差で、dietil を 二乙基 とすると 二+etil(乙) の素朴合成 二乙 とは表示が食い違う。逆引きは一意なので実害はないが記録しておくべき差分。
ACCEPT	dimetoksi	二甲氧	【化】ジメトキシ(基)。学術版58337 dimetoksi/fenol/o = Gvajakolo(グアヤコール、PIV k?38155: C6H4(OCH3)(OH))。PIV 6234 apiolo の語釈でも「dimetoksi-metilendioksi-alilbenzeno」と生産的な化学接頭辞として使用		3成分すべて化学接頭辞として正しく、中国語の標準訳語 二甲氧(基) と一致する。di=二: 数詞di-(2)は _homonym.tsv:53 / _homonym_disp.tsv:252 に di/met/oksi/fenol/o を含む33語のdisc listで登録、神di/o系(=神, map:716)とは明示分離。加えて _bare_alias_ledger.tsv:133 に di→二 の化学系word-scoped bare alias。met=甲(メチル基): map:257 の動詞 met/i=置 とは _homonym.tsv:57 / _context_sense.tsv:406(met.methoxy, 正規表現 (?:^met/$|(?:^|/)met/oksi(?:/|$)))で厳密に分離、_bare_alias_ledger.tsv:37/108 にも登録。既存描画 met/oksi/o⟦甲/氧/o⟧(学習者版51944=メトキシ基)が直接の先例。oksi=氧 は map:2703(sci)。R4透明・音訳ゼロ・固有名なし。注意点(ACCEPTを妨げないが記録): di は di/kromi/at/o では 二ᴰᴵ(識別子付)、本語では 二(bare alias経路)と識別子の付き方が経路により異なる。学習者版58337の実出力が ⟦二/甲/氧/…⟧ なので鏡像 二甲氧 が『学習者版をそのまま写す』正解だが、案A(識別子込み)の統一を厳格に取るなら 二ᴰᴵ甲ᴹᴱ氧 との二択をユーザーに確認する余地はある。
ACCEPT	ekinozo	海胆兽ᶻ	ウニ綱とナマコ綱を含む棘皮動物の亜門 Echinozoa。学術版47035 `ekinozo/oj:【PIV】Subfilumo (Echinozoa) de ekinodermoj, ampleksanta la ekinoidojn k la holoturioidojn.`		学習者版47035 `ekin/o/zo/oj⟦海胆/o/兽ᶻ/oj⟧`。ekin=海胆 は学術版8219 `ekin/o⟦海胆/o⟧:【動】ウニ` が基本形で sidecar `"ekin" "海胆" pejvo F=4`。zo=兽ᶻ は `content zo 兽`(sidecar 兽ᶻ, basic F=16)で、学術版57034 `zo/o:Animalo vs (en kunmetaj^oj)` の通り複合語用「動物」。Echinozoa = ekin+zo の逐語計であり、実体もウニ類を中核とする亜門なので「海胆+動物」で意味が導ける。同族 ekin/o/derm(海胆/o/皮ᴰ)・ekin/oid(海胆/似ᴼ)と描画が揃う。分類群名は §7 の固有名(人名・地名・作品名・神格)に当たらず、本体系は既に 兽ᴮᴿ/爬虫 等で分類群を漢字化している。
