char	root	band	gloss
或	au^		(語釈なし)
按	lau^		一致した,適合した
鞍	sel	pejvo	［他］鞍（くら）を置く
以	per	prep	間接の;仲介の
尉	leu^tenant		{Ｂ}【軍】中尉
椅	seg^		{Ｂ}いす,腰掛け,座席;席,議席
移	translaci	pejvo	【理】並進運動
域	sektor	pejvo	{Ｏ}【数】扇形;【軍】防衛区域;【経】（産業）部門
一	unu	num	第一の,一番目の,最初の;初めての,初期の;一等の,一級の
咽	faring	pejvo	{Ｏ}【解】咽頭（いんとう）
姻	bo	pref	(語釈なし)
迂	pedant	pejvo	学者ぶった,些事に拘泥する
臼	molar	pejvo	【解】大臼歯,=granda mueldento;臼歯（きゅうし）,=mueldento
援	sponsor	pejvo	［他］〜のスポンサーになる
凹	konkav	pejvo	{Ｏ}【理】【数】凹（おう）の,>>konveksa
牡	bok	pejvo	反すう動物の雄（雄山羊、雄鹿など）
乙	etil	pejvo	【化】エチル基
恩	grac	pejvo	【宗】恩寵,神の恵み,=difavoro
可	ebl	suf	可能な,あり得る
歌	uta	pejvo	【文】短歌,和歌,>>tankao
禾	gramin	pejvo	【PIV】(evi (evitinda)) = gramineo.
蛾	mote	piv	【動】【PIV】Malgranda, malutila, grizeta papilio. Sin. (sinonimo) tineedo.
介	makler	pejvo	{Ｏ}［自］【商】仲買業をする
回	eh^		反響して,こだまして
拐	kidnap	pejvo	［他］誘拐する,=forkapti,>>infans^teli
崖	klif	pejvo	（海岸の）絶壁,がけ,断崖（だんがい）
慨	patos	pejvo	熱情的な,感動的な
葛	arorut	pejvo	【料】くず湯
茅	espart	piv	【植】【PIV】Komuna nomo de diversaj herboj Mediteraneaj (i.a. (interalie, inter aliaj) ligeo, spartio k alfo), uzataj por fa
粥	kac^		{Ｂ}【料】かゆ,ピューレ,かゆ状の食物;《転》まずい食物;《転》かゆ状の物
患	infest	piv	【PIV】(tr (transitiva)) Svarme invadi, pp (se paroli pri) ratoj ks (kaj simile, kaj similaj) en iun lokon, au^ pp (se par
憾	bedau^r		残念にも,気の毒そうに
敢	au^dac		{Ｂ}大胆な,ずぶとい
柑	citrus	pejvo	【植】かんきつ（柑橘）類（の樹木、ミカン・ダイダイ・オレンジ・レモンなど）
棺	c^erk		ひつぎの;《転》陰気な,陰鬱（いんうつ）な
甘	dolc^		{Ｂ}甘い;心地好い;やさしい
眼	mas^	pejvo	{Ｏ}編み目;（網の）目;【理】（定常波の）腹,=ventro
棋	s^ak		【遊】チェスの,将棋の;（キングが）王手のかかった
祈	preg^		{Ｂ}［自］【宗】（神などに）祈る,祈願する
橘	mandarin	pejvo	{Ｏ}【果】マンダリン,ミカン（蜜柑）,>>orang^o
却	tamen	func	(語釈なし)
仇	veng^		報復の,復讐の
弓	arc^	pejvo	{Ｏ}【楽】（弦楽器の）弓
急	urg^		緊急の,火急の,差し迫った,切迫した
旧	eks	pref	前任の,元の
居	setl	piv	【PIV】(ntr (netransitiva)) (pp (se paroli pri) homgrupo) Eklog^i, instali sin en nova loko, regiono au^ lando.
享	g^u		{Ｂ}［他］楽しむ,享受する
卿	lord	pejvo	{Ｏ}卿（英国貴族への敬称）;貴族
仰	supin	piv	【PIV】(tr (transitiva)) Turni la antau^brakon tiel, ke la polmo, se horizontala, rigardas supren al c^ielo. Vd proni.
均	averag^	pejvo	【数】平均の
九	nau^		第九の,九番目の
矩	momant	pejvo	【理】モーメント
串	grapol	pejvo	（花や果実の）房;【植】総状花序
屑	klast	piv	【地質】【PIV】1 Fragmento de rompita kristalo, roko au^ fosilio. 2 = detrito.
屈	fleksi	pejvo	【語】屈折の;屈折した,（語尾の）変化した
桑	morus	pejvo	{Ｏ}【果】桑（くわ）の実;【植】=morusarbo
迎	lof	pejvo	［他］【海】船首を風上にむける
