char	nRoots	roots_with_gloss
歼	1	eksterm({Ｏ}［他］根絶する,皆殺しにする,絶滅させる,全滅させる,壊滅させ)
起	1	start({Ｂ}［自］【運】スタートする;【機】始動する,=ekfunkcii)
狸	1	kastor({Ｏ}【動】ビーバー（属）;ビーバーの毛皮)
枫	1	acer({Ｏ}【植】カエデ（楓）（属）)
洪	1	diluv({Ｏ}【聖】ノアの洪水;《転》大洪水,=inundego)
劫	1	kaper(［他］（敵船を）私掠（しりゃく）する,捕獲する)
赦	1	amnesti(［他］大赦する)
溪	1	roj(【地理】【PIV】Mallarg^a k malprofunda r)
凤	1	feniks({Ｏ}不死鳥,フェニックス;鳳凰（ほうおう）;《転》第一人者)
霍	1	h^oler({Ｏ}【病】コレラ)
劳	1	labor(労働の,仕事の,作業の)
呈	1	prezent({Ｂ}［他］差し出す,見せる,提示する,提出する;紹介する;思い描く)
桦	1	betul({Ｂ}【植】カバノキ（属）,シラカバ（白樺）)
承	1	lagr(【機】軸受)
敲	1	frap({Ｂ}［他］たたく,打つ;たたいて音を出す;はっとさせる,驚かす)
瘦	1	aken(【植】【PIV】1 (ss (striktasence)) Seka)
煎	1	dekokt(［他］（薬草などを）せんじる,煮出す;【化】煎出する)
吝	1	avar({Ｂ}欲の深い,けちな)
仇	1	venĝ()
窃	1	plagiat(［他］盗作する,剽窃（ひょうせつ）する)
炬	1	torc^({Ｏ}たいまつ（松明）,トーチ;《転》光明)
抢	1	rab({Ｂ}［他］奪う,奪い取る,強奪する,（強制的に）取り上げる)
榄	1	oliv({Ｂ}【果】オリーブ)
阀	1	valv(【機】弁,バルブ;（タイヤの）チューブバルブ;【電】整流管;【生】弁)
挣	1	barakt({Ｂ}［自］もがく,じたばたする;《転》苦闘する)
芋	1	amorfofal(【植】コンニャク（蒟蒻）)
鸭	1	anas({Ｂ}【鳥】アヒル（家鴨）)
惑	1	perpleks(当惑した,途方にくれた,まごついた,>>konfuzita)
弧	1	ark({Ｂ}弓形;弓,=pafarko;【数】弧;【建】アーチ;【理】電弧)
灼	1	kau^ter(【医】=kau^terizi（焼灼する）)
穴	1	tru(穴の;穴のあいた)
拴	1	rigl({Ｏ}［他］差し錠をかける,かんぬきをかける)
靴	1	bot(【PIV】Alta leda piedvesto, kiu atin)
矫	1	ortopedi(【医】整形外科)
刹	1	brems(［他］ブレーキをかける;《転》歯止めをかける,抑制する)
叙	1	ordin(［他］【キ】叙階する,聖職につける)
毁	1	detru(破壊的な)
哈	1	ranc({Ｏ}（油脂が）酸敗した,すえた,悪臭のする,嫌な味のする)
永	1	etern({Ｂ}永遠の,永久の,不朽の,不滅の)
铭	1	deviz({Ｏ}標語,モットー,座右の銘;（紋章の）題銘;【経】外国為替)
拦	1	dig(［他］（堤防などで）せき止める)
肋	1	rip({Ｂ}【解】肋骨（ろっこつ）,あばら骨;【植】葉脈,=nervuro)
赠	1	legac(【法】遺贈,遺贈物)
她	1	ŝi()
估	1	stim(【PIV】Taksi per stokastika procedo;)
戒	1	abstin(節制した,禁欲している;精進の)
功	1	funkci(［自］職務を遂行する;機能を果たす)
匙	1	kuret(【医】【PIV】Speco de akra kulero, uzat)
蔗	1	sakar(【植】【PIV】G. (Genro) (Saccharum el p)
裙	1	jup({Ｂ}【服】スカート)
