type	char	root	band	fullKanji	gloss
2根	粟	panic	basic	粟	《Ｎ》【植】キビ（黍）（属）,>>mileo
2根	粟	mili	pejvo	粟	{Ｏ}【植】雑穀（アワ，キビ，ヒエ，モロコシなど）,>>setario,>>panico,>
2根	案	projekt	basic	案	［他］計画する,企画する,立案する
2根	案	pupitr	pejvo	案	{Ｏ}（傾斜した）見台,書見台,記帳台,立ち机;【楽】譜面台
2根	杏	abrikot	basic	杏	アンズの
2根	杏	anzu	piv	杏	【植】【PIV】1 Var. (Vari(aj^)o) de abrikotarbo (Pr
2根	威	impon	basic	威	印象深い,堂々とした,威厳のある
2根	尉	leŭtenant	basic	尉	(無)
2根	易	facil	basic	易	{Ｂ}容易な,簡単な;軽やかな
2根	移	translaci	pejvo	移	［他］【理】並進させる;【数】平行移動させる
2根	井	put	basic	井	井戸の
2根	咽	faring	pejvo	咽	{Ｏ}【解】咽頭（いんとう）
2根	右	dekstr	basic	右	{Ｂ}右の;【政】右翼の,右派の
2根	宇	kosm	basic	宇	宇宙の
2根	宇	univers	basic	宇	宇宙の
2根	臼	molar	pejvo	臼	【解】大臼歯,=granda mueldento;臼歯（きゅうし）,=mueldento
2根	映	kin	basic	映	{Ｂ}映画,映画制作,>>filmo
2根	映	enantio	piv	映	(無)
2根	益	util	basic	益	{Ｂ}有用な,有益な,役に立つ;便利な,実用的な
2根	益	benefic	pejvo	益	慈善興行;【法】（法律で認められた）特典,特権
2根	悦	plaĉ	basic	悦	(無)
2根	悦	delekt	piv	悦	【PIV】(tr (transitiva)) Tre plezurigi: la pas^t
2根	越	ju	pejvo	越	(無)
2根	宴	festen	basic	宴	{Ｂ}［自］ごちそうを食べる;宴会に参加する;祝宴を催す
2根	宴	banked	pejvo	宴	［自］宴会に参加する;会食する
2根	延	prokrast	basic	延	{Ｂ}［他］延期する,延ばす,遅らせる
2根	凹	konkav	pejvo	凹	{Ｏ}【理】【数】凹（おう）の,>>konveksa
2根	央	centr	basic	央	中心の,中央の
2根	央	central	basic	央	{Ｂ}中央施設,本部,=centrejo;【電】発電所;【通】電話交換局
2根	寡	vidv	basic	寡	配偶者を失った,やもめの
2根	寡	oligo	piv	寡	(無)
2根	河	river	basic	河	{Ｂ}川,河川;流れ
2根	蚊	moskit	basic	蚊	{Ｂ}《般》【虫】蚊（か）,>>kulo
2根	蚊	kul	pejvo	蚊	{Ｏ}【虫】カ（蚊）;（特に）イエカ（属）,>>moskito
2根	画	bild	basic	画	絵を用いた
2根	蛾	mote	piv	蛾	【動】【PIV】Malgranda, malutila, grizeta papilio. 
2根	雅	graci	basic	雅	{Ｂ}優雅な,優美な,上品な
2根	雅	elegant	basic	雅	{Ｂ}上品な,趣味のよい,優美な
2根	回	eĥ	basic	回	(無)
2根	悔	pent	basic	悔	{Ｂ}［他］後悔する,悔悟する,改悛する
2根	悔	rimors	piv	悔	【PIV】Konsciencriproc^o: vermo la hau^ton rong^
2根	廓	profil	pejvo	廓	横顔の;縦断面の;輪郭の
2根	廓	kontur	pejvo	廓	［他］輪郭を描く,かたどる
