char	root	band	fullKanji	gloss
鞍	sel	pejvo	鞍	［他］鞍（くら）を置く
慰	konsol	basic	慰	慰めの,慰めを与える
域	sektor	pejvo	域	{Ｏ}【数】扇形;【軍】防衛区域;【経】（産業）部門
迂	pedant	pejvo	迂	学者ぶった,些事に拘泥する
雨	pluv	basic	雨	雨の
永	etern	basic	永	{Ｂ}永遠の,永久の,不朽の,不滅の
怨	grumbl	basic	怨	{Ｂ}［自］ぼやく,ぶつぶつ不平を言う,愚痴をこぼす
援	sponsor	pejvo	援	［他］〜のスポンサーになる
猿	simi	basic	猿	［他］猿まねする
往	ir	basic	往	{Ｂ}［自］行く,行き着く,向かう;（物事が）運ぶ;（機械が）動く
屋	dom	basic	屋	家の
乙	etil	pejvo	乙	【化】エチル基
恩	grac	pejvo	恩	【宗】恩寵,神の恵み,=difavoro
夏	somer	basic	夏	夏の,夏季の
禾	gramin	pejvo	禾	【PIV】(evi (evitinda)) = gramineo.
苛	drakon	pejvo	苛	過酷な,厳格な
茄	tomat	basic	茄	トマトの
戒	abstin	basic	戒	節制した,禁欲している;精進の
拐	kidnap	pejvo	拐	［他］誘拐する,=forkapti,>>infans^teli
崖	klif	pejvo	崖	（海岸の）絶壁,がけ,断崖（だんがい）
慨	patos	pejvo	慨	熱情的な,感動的な
涯	karier	basic	涯	{Ｏ}（一生涯のものとしての）職業,道;経歴,生涯
碍	obstakl	basic	碍	［自］障害となる
街	strat	basic	街	{Ｂ}街路,通り
各	respektiv	basic	各	{Ｏ}それぞれの,各自の
括	parentez	basic	括	かっこで囲んで;余談ながら
葛	arorut	pejvo	葛	【植】クズウコン;【料】アロールートデンプン;（一般に）くず粉
粥	kaĉ	basic	粥	(gloss無)
瓦	tegol	basic	瓦	［他］屋根がわらでふく
刊	revu	basic	刊	［他］評論する;【軍】閲兵する
憾	bedaŭr	basic	憾	(gloss無)
敢	aŭdac	basic	敢	(gloss無)
棺	ĉerk	basic	棺	(gloss無)
看	rigard	basic	看	{Ｂ}［他］見る,眺める,注目する,目を向ける;確かめる,注意を向ける;考える,みなす;
岸	bord	basic	岸	{Ｂ}岸,縁（ふち）
棋	ŝak	basic	棋	(gloss無)
起	start	basic	起	{Ｂ}［自］【運】スタートする;【機】始動する,=ekfunkcii
宜	dec	basic	宜	礼儀にかなった,きちんとした,行儀のよい;ふさわしい,適切な
橘	mandarin	pejvo	橘	{Ｏ}【果】マンダリン,ミカン（蜜柑）,>>orang^o
仇	venĝ	basic	仇	(gloss無)
朽	kaduk	basic	朽	{Ｂ}老朽の,荒廃した;老衰した,老いぼれた;消えていく,はかない;【法】（期限切れで）
