seg	n	head	gloss
c^i	21	c^i	［副］（近接をあらわす）
on!	19	apetit/on!	どうぞ召しあがれ
e!	14	Bon/e!	［間］よし！
u!	4	Help/u!	［間］助けて！
fic	4	bangi/fic/oj	【植】【PIV】Klaso (Bangiophyceae el rodofitoj) de rug^algoj lau^
l	3	l	【PIV】Konsonanto, voc^a laterala likvido.
bangi	3	bangi/o	【植】【PIV】G. (Genro) (Bangia el bangiacoj), kosmopolita, de mu
psilot	3	psilot/o	【植】【PIV】G. (Genro) (Psilotum el psilotacoj) de 2 sp-oj (spec
amarilid	2	amarilid/o	【植】アマリリス
ceb	2	ceb/o	【動】【PIV】G. (Genro) (Cebus) de simioj, kun mezlonga, tute har
c^ot	2	c^ot/o	【魚】カジカ（鰍）（属）
aster	2	aster/o	【植】シオン（紫苑）（属）
harpal	2	harpal/o	【虫】ゴモクムシ（属）
didelf	2	didelf/o	【動】オポッサム（属）,フクロネズミ
dazipod	2	dazipod/o	【動】【PIV】G. (Genro) (Dasypus) de malgrandaj S-Amerikaj mamulo
apocin	2	apocin/o	【植】【PIV】G. (Genro) (Apocynum el apocinacoj) de plurjaraj her
trigl	2	trigl/o	【動】【PIV】G. (Genro) (Trigla) de fis^oj el la ordo de skorpeno
sorik	2	sorik/o	【動】トガリネズミ
d	2	d	【PIV】Konsonanto, voc^a ploziva dentalo.
ile	2	ile/o	【解】回腸,>>maldika intesto
kalciferol	2	kalciferol/o	【生】【化】【PIV】Vitamino D 2, C 28 H 44 O, nenatura, sintezata c^
geotrup	2	geotrup/o	【虫】センチコガネ（属）,=sterkoskarabo
lekant	2	lekant/o	【植】マーガレット,モクシュンギク（種）
mirmekofag	2	mirmekofag/o	【動】オオアリクイ（大蟻喰）,=formikurso
psilofit	2	psilofit/o	【植】【PIV】G. (Genro) (Psilophyton el psilofitacoj) el la psilo
legumen	2	legumen/o	【植】=gus^o（さや）
aizo	2	aizo/o	【植】【PIV】G. (Genro) (Aizoon el aizoacoj) de 11 sp-oj (specioj
hil	2	hil/o	【動】アマガエル（雨蛙）（属）,=verda rano
falanger	2	falanger/o	【動】【PIV】G. (Genro) (Phalanger) de arbolog^aj mamuloj el la o
felis	2	felis/o	【動】ネコ属（の動物）,>>kato
o!	2	ord/o!	［間］オーケー！,よし！
n!	2	Dors/e/n!	［間］下がれ！,バック！
