==== CONFIRMED = 72 ====
au^l	礼=礼堂 -> 大講堂	[（大学などの式典用）大講堂,大ホール]
aerodrom	气道=气道 -> 气场	[飛行場,=flugkampo]
aklimatiz	无=无气候化 -> 适气候化	[= alklimatigi（順化させる/acclimatize）]
akrocianoz	锐=锐青症 -> 末青症	[Blua koloro de la ekstremajxoj（四肢末端の青変]
akronim	锐=锐名 -> 首字名	[Vorto konsistanta el la komencliteroj（]
klau^str	修院=修院 -> 回廊	[=klostro（回廊）]
antigen	生 (bio-の転用)=抗生 -> 抗原	[抗原]
astigmatism	主义 (-ism接尾)=散光主义 -> 散光症	[乱視]
au^tobiografi	自生 (auto-+bio-)=自生志 -> 自叙志	[自伝]
au^tokrati	自治 (auto-+kratos)=自治 -> 専制	[専制政治]
bolometr	沸=沸計 -> 輻計	[Aparato por mezuri temperaturojn（熱放射・温]
deism	从=从主义 -> 神主义	[理神論（神が理性によって知られるとする哲学）]
deist	从=从家 -> 神家	[理神論者]
demonstrativ	证=证被能 -> 指示性	[指示詞（this/thatなどの指示語）]
bibliofil	经=经爱 -> 书爱	[愛書家（本を愛する人）]
diafanoskopi	镜=透镜 -> 透映机	[スライド投影器]
diplokok	板障=板障菌 -> 双球菌	[双球菌属(Diplococcus)]
diplopod	板障=板障足 -> 双対足	[ヤスデ綱(各体節に2対の脚)]
elektroskop	电镜=电镜 -> 验电器	[検電器]
epifenomen	表现=表现 -> 副现象	[付随現象(epiphenomenon)]
eksponometr	展=展计 -> 露计	[露出計(露光計)]
dividend	须=分须 -> 分红	[（株の）配当金]
estrad	长行=长行 -> 台壇	[演壇（podio）]
fekul	粪=粪者 -> 淀粉	[でんぷん（amelfaruno）]
filantrop	爱人=爱人 -> 博愛者	[博愛主義者・慈善家]
filantropi	爱人=爱人 -> 博愛	[博愛・慈善]
filogenez	儿=儿源 -> 系統源	[系統発生（kladogenezo）]
formiat	形=形盐 -> 蚁酸盐	[ギ酸塩（formiata acido の塩）]
formiil	形=形基 -> 蚁酸基	[ギ酸のラジカル（formiata acido のラジカル H-C=O·）]
gastronom	学=胃学 -> 胃道家	[食通,美食家]
heksametr	米=六米 -> 六步格	[六歩格（の詩）]
heliograf	記=日記 -> 日光镜	[光学電信装置（日照計）]
heliografi	志=日志 -> 日光信	[光信号による通信システム]
heteronomi	学=異学 -> 他律	[他律（外部から法を受ける状況）]
hidrodinamik	水力=水力 -> 水动学	[流体力学]
izoglos	注（glos）=等注 -> 等語	[【語】等語線（方言境界線）]
izostaz	滞（staz）=等滞 -> 等衡	[【地質】地殻の静水圧的平衡状態]
jodoform	形（form）=碘形 -> 碘仿	[【化】ヨードホルム（CHI）]
kakografi	屎（kako）=屎志 -> 劣志	[【PIV】醜いまたは誤った書き方（悪筆・誤記）]
kartograf	卡（karto）=卡記 -> 図記	[地図製作者]
kartografi	卡（karto）=卡志 -> 図志	[地図製作法]
klorofic	氯（kloro）=氯藻 -> 緑藻	[【植】緑藻綱（Chlorophyceae）]
klorofit	氯（kloro）=氯植 -> 緑植	[【植】緑藻植物門（Chlorophyta）]
megommetr	兆 (meg-)=兆計 -> 兆欧計	[非常に高い抵抗を測定する装置（メグオームメーター）]
metastaz	滞 (staz)=超滞 -> 超移	[転移（他部位への癌の再発）]
mapotek	包 (-tek)=図包 -> 図庫	[地図を分類・保管する施設（地図文庫）]
meteorism	陨（meteor=隕石・流れ星のSI読み）＋主义（-ism=イデオロギー訳）=陨主义 -> 腸胀	[【医】鼓腸]
metodologi	法（metodo=方法の誤縮約→法律）＋学（-logi）=法学 -> 方法学	[【哲】方法論]
mikroorganism	器（organ=臓器・器官の訳）＋主义（-ism=イデオロギー訳の誤適用）=微器主义 -> 微生物	[【生】微生物]
monoplan	划（plan=翼面/平面を「画く・漕ぐ」と誤訳）=单划 -> 单翼机	[【空】単葉機]
ontologi	在学=在学 -> 存在学	[【哲】存在論]
organism	主义=器主义 -> 有机体	[【生】有機体;生物]
paroksism	主义=极主义 -> 极発作	[最も昂ぶった;【医】発作性の]
pentametr	metr→米=五米 -> 五歩格	[五歩格（の詩）]
poliomjelit	polio→多=多髄炎 -> 灰髄炎	[ポリオ, 急性灰白髄炎, 小児麻痺]
rojalist	王家=王家 -> 王党者	[王政主義者,王党員,王党派]
skizomicet	草（skizo-部分）=草菌 -> 裂菌	[バクテリア（シアノバクテリアを除く）]
superpozici	上位（全体）=上位 -> 叠加	[重ね合せ（物理：superposition）]
termogenez	源（-genez部分）=热源 -> 热生	[熱産生（生物の体熱産生過程）]
titanat	金（titan-部分）=金盐 -> 钛盐	[チタン酸塩（HTiOの塩）]
vaginism	主义（-ism部分）=阴道主义 -> 阴道痉	[膣痙攣（ちつけいれん）]
au^tokrat	治=自治 -> 自権	[専制君主]
demoraliz	从德化=从德化 -> 损德化	[士気をくじく、意気阻喪させる]
deoksi	从=从氧 -> 脱氧	[酸素原子が欠けている（脱酸素）接頭辞]
izoton	调=等调 -> 等渗	[等浸透圧の（isotonic）]
fiziologi	物理学=物理学 -> 生理学	[生理学]
ideografi	意志=意志 -> 意図記	[表意文字の,表意的な]
mitomani	神話=神話狂 -> 虚話狂	[虚言症]
metafizik	物理=超物理 -> 形而上	[形而上学の,形而上の;きわめて抽象的な]
metamorfoz	症=超形症 -> 変形化	[変身させる,変形させる;変貌させる]
renom	再=再名 -> 声名	[名の通った,評判のよい]
rezultat	被=果被 -> 結果	[結果になる（rezultiの名詞/形容詞形）]
==== BORDERLINE = 3 ====
paskvil	批文=批文 -> 讽刺文	[風刺文,=pamfleto]
arsenid	矿 (鉱物)=矿化 -> 砷化	[金属とヒ素の化合物（arsenide）]
reniat	金=金盐 -> 錸盐	[レニウム酸(HReO)の塩]
==== REJECTED = 14 ====
agrafi	志=无志 -> 无书	[Organika perturbo de la kapablo skribi]
biont	将=生将 -> 生者	[vivulo（生物/生きもの）]
bibliografi	经=经志 -> 书志	[文献目録・参考文献一覧・書誌学]
hidrofobi	症=水症 -> 恐水病	[恐水病,=akvofobio]
horoskop	钟=钟镜 -> 时镜	[天宮図,ホロスコープ;星占い]
hipertrofi	养=超养 -> 超大	[肥大]
kriptonim	墓窖 (kript-)=墓窖名 -> 隠名	[カシュノモ（匿名・ペンネーム）]
mediologi	境 (medi-)=境学 -> 環境学	[生物とその環境との関係の研究]
niobat	金=金盐 -> 铌盐	[【化】ニオブ酸の塩（niobate salt）]
osmiat	金=金盐 -> 锇盐	[【化】オスミウム酸の塩（osmate salt）]
paleolitik	学=古石学 -> 古石期	[【考古】旧石器時代]
pistil	pistil→捣具=捣具 -> 雌蘂	[めしべ（雌蘂）]
tantalat	金（tantal-部分）=金盐 -> 钽盐	[タンタル酸の塩（化学）]
tropism	主义（-ism部分）=向主义 -> 向性	[向性（動物）／屈性（植物）の生物学的定向反応]
