aspleni	羊齿	【植】【PIV】G. (Genro) (Asplenium el aspleniacoj) de filikoj kun rozeto el folioj simplaj k in
psilot	羊齿	【植】【PIV】G. (Genro) (Psilotum el psilotacoj) de 2 sp-oj (specioj) tropikaj k subtropikaj.
azol	羊齿	【植】【PIV】G. (Genro) (Azolla el azolacoj) de 6 sp-oj (specioj) de tre etaj, flosantaj akvofi
ceterak	羊齿	【植】【PIV】Sp. (Specio) de asplenio (Asplenium ceterach), filiko kun longformaj, plume sed al
cistopterid	羊齿	【植】【PIV】G. (Genro) (Cystopteris el driopteridacoj) de malgrandaj filikoj kun 2−4-oble plum
davali	羊齿	【植】【PIV】G. (Genro) (Davallia el davaliacoj) de 34 sp-oj (specioj) de tropikaj k subtropika
densteti	羊齿	【植】【PIV】G. (Genro) (Dennstaedtia el denstetiacoj) de c^. (c^irkau^) 45 sp-oj (specioj) de 
driopterid	羊齿	【植】【PIV】G. (Genro) (Dryopteris el driopteridacoj) de filikoj kun 1−4-oble plume kunmetaj f
kriptogram	羊齿	【植】【PIV】G. (Genro) (Cryptogramma el adiantacoj), alpa k boreala, de 2 sp-oj (specioj) de f
nefrolepid	羊齿	【植】【PIV】G. (Genro) (Nephrolepis el nefrolepidacoj) de c^. (c^irkau^) 30 sp-oj (specioj) de
platiceri	羊齿	【植】【PIV】G. (Genro) (Platycerium el polipodiacoj) de epifitaj filikoj kun duformaj folioj, 
polistik	羊齿	【植】【PIV】G. (Genro) (Polystichum el driopteridacoj) de filikoj kun vertikala rizomo, kun ro
selaginel	羊齿	【植】【PIV】G. (Genro) (Selaginella el selaginelacoj) de plejparte herbecaj, tufig^antaj, musk
skolopendri	羊齿	【植】【PIV】Sp. (Specio) de asplenio (Asplenium scolopendrium) el Eu^ropo, pororname kultivata
blizard	雪暴	【PIV】Neg^os^tormo.
atol	环礁	【地理】環礁
asterisk	星号	【印】【情】アステリスク（＊）
avatar	化身	【宗】（ヒンドゥー教・仏教の）化身,権化,権現;《転》化身,具現
bastion	棱堡	{Ｏ}【軍】稜堡（りょうほう）;《転》砦（とりで）
bubal	水牛	{Ｏ}【動】スイギュウ（水牛）
atletik	田径	運動競技;【運】陸上競技
armistic	停战	【法】休戦（交戦当事者の合意による戦闘停止）,=militpau^zo,>>batalpau^zo
au^ditori	讲堂	{Ｏ}講堂
au^l	礼堂	（大学などの式典用）大講堂,大ホール
au^todidakt	自学	独学者,独習者
au^dienc	接见	{Ｏ}（公式の）引見
incest	乱伦	近親相姦（かん）,=sangadulto
kolostr	初乳	初乳
hort	果园	【PIV】G^ardeno de fruktarboj.
suicid	自杀	【法】【PIV】Ago, per kiu mortigas sin memkonscia homo kiu, povante elekti la vivon, elektas ta
oriel	凸窗	【建】【PIV】Speco de elstara fenestro, precipe c^e supra etag^o. Sin. (sinonimo) korbelfenestr
rampl	坡道	【建】【PIV】Dekliva vojo, ebliganta al veturiloj atingi la suprajn etag^ojn de konstruaj^o.
porc^	门廊	【建】【PIV】Antau^konstruaj^o c^e dompordo, destinita por s^irmi kontrau^ pluvo k vento. Vd al
pagod	佛塔	{Ｏ}【建】パゴダ,仏塔,>>stupao
adjutant	副官	{Ｏ}【軍】副官
instruktor	教官	【軍】【PIV】Milit-instruisto: min lasis regimenta instruktoro en lando, g^is miajn vundojn san
epolet	肩章	{Ｏ}【軍】（軍服の）肩章,肩飾り
salv	齐射	{Ｏ}【軍】一斉射撃
konskripci	征兵	【軍】【PIV】Sistemo de militista varbado per deviga servado en s^tata armeo.
okupaci	占领	【軍】【PIV】Uzurpa okupado de loko, lando ks (kaj simile, kaj similaj).
log^istik	后勤	【軍】兵站（へいたん）学,兵站業務,後方補給
c^an	击锤	{Ｏ}【軍】撃鉄
parlamentari	军使	【軍】【PIV】Tiu, kiu dum milito estas komisiita ektrakti kun la malamika komandanto au^ ties d
fortres	堡垒	【軍】（大規模で恒久的な）要塞（ようさい）,砦（とりで）,>>fortikaj^o
metempsikoz	轮回	{Ｏ}【宗】輪廻（りんね）
talisman	护符	{Ｏ}【宗】護符,呪符,（厄よけの）お守り,魔よけ,>>amuleto
duramatr	硬膜	【解】（脳の）硬膜,>>piamatro
piamatr	软膜	【解】（脳）軟膜,>>duramatro,>>araknoido
fasci	筋膜	【解】筋膜
korteks	皮质	【解】【PIV】Supraj^a tavolo de la cerebro k de la cerebelo, sidejo de la inteligento, de la ko
pou^p	船尾	【海】船尾,=s^ipvosto
s^anel	航道	【海】水路,水道,澪（みお）
hold	货舱	【海】船倉,=s^ipkelo
ref	缩帆	［自］【海】帆を縮める
envergur	翼展	【海】帆幅;【空】翼幅;【鳥】翼幅
ekscepci	抗辩	【法】抗弁,異議申立
diskreci	裁量	【法】【PIV】Libereco fari decidon lau^ sia propra jug^o, absolute au^ en certaj limoj: la disk
mediaci	调解	【法】【PIV】Procedo (ekz. (ekzemple) en internaciaj rilatoj, en laborkonfliktoj k.a. (kaj alia
jurisprudenc	判例	【法】（集合的に）判例,法解釈;=juroscienco（法学）
genocid	灭族	集団殺害;【法】ジェノサイド
tembr	音色	【楽】音色;【声】音色,=sonkoloro
moviment	乐章	【楽】楽章
nokturn	夜曲	【楽】夜想曲,ノクターン
uvertur	序曲	{Ｏ}【楽】（オペラ・オラトリオなどの）序曲,>>preludo
partitur	总谱	{Ｏ}【楽】総譜,スコア
refren	副歌	【楽】リフレイン,=rekantaj^o
variaci	变奏	【楽】変奏曲
kle	谱号	【楽】音部記号
dirigent	指挥	【楽】=orkestrestro（オーケストラ指揮者）
ofsajd	越位	《Ｎ》【運】（サッカーの）オフサイド
rau^nd	回合	【運】（ボクシングの）ラウンド,一勝負
remi	平局	《Ｎ》【運】（チェス・スポーツで）引き分け,無勝負,ドロー
kren	辣根	{Ｏ}【植】セイヨウワサビ,ワサビダイコン;【料】わさび大根
demarkaci	划界	【政】（国境などの）境界画定,>>limfiksado
oligark	寡头	{Ｏ}【政】寡頭制の支配者,少数独裁者
memorand	备忘	【政】（外交上の）覚書;（一般に）一件覚書
plebiscit	公投	【政】（居住地の帰属・統治者の選択に関する）国民投票,住民投票,プレビシット,>>referendumo
j^os	假植	［他］【農】仮植する
ajut	喷嘴	【機】噴射管,筒口,ノズル
rotor	转子	【機】回転子;【空】回転翼,ローター
intajl	凹雕	【機】（宝石の）沈み彫り,>>kameo
vajc	台钳	【機】万力（まんりき）,バイス
nimbus	雨云	【気】乱雲,=nimbostratuso;雨雲,>>pluvnubo
aliment	养费	【法】（離婚した配偶者への）扶養料,（子どもへの）養育費
au^tokton	原住	=pralog^anto（原住民）
fjord	峡湾	{Ｏ}【地理】フィヨルド,峡湾
kandelabr	烛台	{Ｏ}枝付き燭台
varang	肋板	【海】肋板（ろくばん）,船底床板;肋根材（ろっこんざい）
itiner	旅程	旅程,行程,=vojplano
denominator	分母	【数】分母,>>numeratoro
hipotenuz	斜边	【数】（直角三角形の）斜辺
nadir	天底	【天】天底,><zenito
timus	胸腺	【解】胸腺
klavikl	锁骨	【解】鎖骨（さこつ）
regeneraci	再生	=regenerado（再生）
mazut	重油	燃料油,=peza oleo
pterid	羊齿	【植】イノモトソウ（井之許草）（属）
alh^emi	炼金	{Ｏ}錬金術,=alkemio
amfibrah^	短长短	《廃》=>amfibrako
anarh^i	无政	{Ｏ}=anarkio
arh^ipelag	群岛	{Ｏ}=arkipelago
arh^itekt	建筑	{Ｏ}=arkitekto
arh^itektur	建筑	{Ｏ}=arkitekturo
hipoh^ondri	疑病	=hipokondrio
ih^tiosau^r	鱼龙	【古生】=iktiosau^ro
monarh^	君主	{Ｏ}=monarko（君主）
monarh^i	君主	{Ｏ}=monarkio（君主制）
oligarh^	寡头	{Ｏ}=oligarko
trih^ofit	毛癣菌	【PIV】= trikofito.
amiant	石棉	【PIV】= asbesto.
celsi	摄氏	【理】セ氏の,摂氏の,=celsiusa
ciklogir	直升机	【PIV】= helikoptero.
delikvesk	潮解	【PIV】(evi (evitinda)) = likveska.
difterit	白喉	{Ｏ}《古》【病】=>difterio（ジフテリア）
disel	柴油	【PIV】= dizelo.
ekzorciz	驱魔	=>ekzorci（悪魔をはらう）
emetrop	正视	【PIV】= eu^metropa.
glicine	大豆	【植】=glicino（ダイズ属）
goelet	帆船	【海】=skuno（スクーナー）
gveril	游击	【PIV】= gerilo.
hemati	红胞	【PIV】= eritrocito, rug^a globulo.
hipnoz	催眠	【PIV】= hipnoto.
hirak	蹄兔	【聖】【PIV】= prokavio.
impetigin	脓疮	【PIV】= impetigo.
ipekakuan	吐根	【PIV】= ipeko.
jahurt	酸乳	【料】=jogurto（ヨーグルト）
jaroviz	春化	【PIV】= vernalizi.
kadastr	地籍	【PIV】= katastro.
kariokinez	等分	【PIV】= mitozo.
kasuar	鹤鸵	【鳥】=kazuaro（ヒクイドリ）
kim	聚伞	【PIV】= cumo.
klau^str	修院	=klostro（回廊）
kolera	霍乱	【PIV】= h^olero.
kolesterin	胆醇	【PIV】= kolesterolo (Vd (vidu) sterolo).
kolimb	潜鸟	{Ｏ}【鳥】アビ（属）,=gavio
kolokint	药瓜	【植】=kolocinto（コロシントウリ）
krampf	抽筋	【医】=kramfo（けいれん）
lilak	丁香	【植】=siringo（ライラック）
limet	甜柠	【PIV】(evi (evitinda)) = limedo.
meringel	蛋白霜	《廃》=meringo（メレンゲ）
metakarpe	掌骨	【解】=metakarpo（中手）
meten	亚甲	【PIV】= metileno.
pasat	信风	【PIV】= alizeo.
paskvil	批文	{Ｏ}風刺文,=pamfleto
patat	甘薯	【植】=batato（サツマイモ）
piel	肾盆	【解】【PIV】= pjelo.
pingvin	企鹅	=>pingveno（ペンギン）
polikro	多色	【PIV】= pleokroa.
precedent	先例	【PIV】= precedenco.
ramfast	巨嘴鸟	【PIV】= tukano.
razen	草坪	芝生（しばふ）,=gazono,=herbotapis^o
rekursi	递归	【PIV】= rikuro.
sekestr	查封	［他］=sekvestri（供託する）
sekvestraci	查封	［他］=sekvestri（供託する）
stadium	赛场	=>stadiono（スタジアム）
urinat	尿酸盐	【PIV】= urato.
venere	性病	【PIV】(evi (evitinda)) = venera.
karbamid	尿素	【化】【PIV】(ark. (arkaismo, arkaisme)) = ureo.
metropoliten	地铁	【PIV】(ark. (arkaismo, arkaisme)) = metroo.
pituitari	垂体	【PIV】(gl. (glandula, glandulae) pituitaria) = hipofizo.
