r	rk	y	yk	r_gloss	y_gloss
adher	附	alg	藻	［自］【理】付着する,=algluig^i	{Ｂ}海藻,も（藻）
adiant	铁线草	har	毛	【植】クジャクシダ（属）,アジアンタム,=harfiliko	{Ｂ}毛（一本）,髪の毛（一本）
adjekt	状	cirkonstanc	况	【Ｇ】状況補語,=cirkonstanca komplemento	{Ｂ}周囲の事情,状況
adolt	成	plen	满	=plenkreska（成熟した）	{Ｂ}いっぱいの,満ちた;十分な,完全な,全部の
advers	敌	kontra	反	=kontrau^aga（敵対している）	
afekci	情	sent	感	感動的な,=emocia	感情の
afid	虫	plant	植	【虫】アブラムシ（油虫）,アリマキ（蟻巻）（科の総称）,=plantla	{Ｂ}［他］植える,植え付ける;（地面に差し込んで）立てる
agrikultur	农	ter	地	農業,=terkultivado,>>bredado	地球の;土の;地上の;【生】陸生の
agr	农	kultiv	栽	農地,=kultivata kampo	［他］（土地を）耕作する,（植物を）栽培する;（生きものなどを）育てる,
ajl	蒜	tub	管	にんにくを含む;にんにく臭い,にんにく味の	管の,管状の
akumulator	蓄电	akumul	累	【電】蓄電池,=akumulilo	［他］蓄積する
ald	中音	kontralt	女低	{Ｏ}【楽】アルト,=kontralto;=aldoviolono（ビオ	{Ｏ}【楽】コントラルト（女声の低音域）,>>aldo,>>sopran
amplif	扩	amplifik	增幅	［他］【理】=amplifiki（増幅する）	［他］【理】増幅する
anagal	草	kamp	田	{Ｏ}【植】ルリハコベ（属）;=kampa anagalo	［自］キャンプする,野営する
anemi	贫血	sang	血	貧血の,貧血症の,=sangomanka	血の,血液の;血まみれの,流血の;血の色をした
anhel	喘	spire	木	［自］あえぐ,息切れする,荒い息をする,=spiregi	【植】【PIV】1 (ss (striktasence)) G. (Ge
apopleksi	卒中	cerb	脑	{Ｏ}【病】卒中,脳卒中,=cerbatako	頭脳的な,脳の
ark	弧	paf	射	{Ｂ}弓形;弓,=pafarko;【数】弧;【建】アーチ;【理】電弧,=	{Ｂ}［他］撃つ,射る,射撃する,射出する,発射する
