sig	r	rk	rb	y	yk	yb
>>	abak	算盘	pejvo	sor	腾	pejvo
>>	abdik	退位	pejvo	demisi	辞	pejvo
>>	abdik	退位	pejvo	eks	旧	pref
>>	abnegaci	弃	pejvo	for	离	func
>>	abnegaci	弃	pejvo	sin	怀	basic
>>	abolici	废	pejvo	nul	零	basic
>>	abon	订	basic	rezerv	储	basic
>>	abon	订	basic	ant	在	suf
>>	abrupt	陡	basic	subit	突	basic
>>	abrupt	陡	basic	ne	不	func
>>	absces	脓肿	pejvo	tumor	瘤	pejvo
>>	absces	脓肿	pejvo	ulcer	疮	pejvo
>>	absces	脓肿	pejvo	pus	脓	basic
>>	absolut	绝	basic	sen	无	prep
>>	absolut	绝	basic	perfekt	完	basic
>>	absolut	绝	basic	nepr	必	basic
=	ad	行	suf	da	份	prep
=	adher	附	pejvo	alg	藻	basic
=	adiant	铁线草	pejvo	har	毛	basic
>>	adici	加	basic	ald	中音	pejvo
=	adjekt	状	pejvo	cirkonstanc	况	basic
>>	adjunkt	助	pejvo	asist	辅	basic
=	adolt	成	pejvo	plen	满	basic
=	advers	敌	pejvo	kontra	反	piv
>>	afekci	情	pejvo	efik	效	basic
=	afekci	情	pejvo	sent	感	basic
=	afekci	情	pejvo	mal	反	pref
>>	afer	事	basic	negoc	贸	pejvo
=	afid	虫	pejvo	plant	植	basic
>>	agl	雕	basic	akcipitr	鹰	pejvo
=	agreg	聚	pejvo	kun	共	prep
=	agrikultur	农	pejvo	ter	地	basic
>>	agrikultur	农	pejvo	bred	养	basic
=	agr	农	pejvo	kultiv	栽	pejvo
=	ajl	蒜	basic	tub	管	basic
=	akapar	囤	pejvo	for	离	func
>>	akar	虫	pejvo	ik	学	pejvo
>>	akcel	促	basic	pli	更	func
>>	akcesor	副	pejvo	flank	侧	basic
>>	akir	获	basic	gajn	赢	basic
>>	akrid	蝗	basic	salt	跳	basic
>>	akrid	蝗	basic	riz	米	basic
>>	aksiom	公理	pejvo	postul	求	basic
=	akumulator	蓄电	pejvo	akumul	累	pejvo
=	ald	中音	pejvo	kontralt	女低	pejvo
>>	almanak	历书	pejvo	kalendar	历	basic
>>	almanak	历书	pejvo	jar	年	basic
>>	alt	高	basic	larg	宽	piv
>>	alt	高	basic	long	长	basic
>>	alveol	槽	pejvo	dent	齿	basic
>>	ambl	踱	pejvo	galop	驰	pejvo
>>	ambl	踱	pejvo	trot	小跑	pejvo
>>	amortiz	偿	pejvo	atenu	衰	pejvo
=	amplif	扩	pejvo	amplifik	增幅	pejvo
=	anagal	草	pejvo	kamp	田	basic
>>	analog	似	pejvo	cifer	数	basic
=	anc^ov	鱼	pejvo	en	内	prep
=	anemi	贫血	pejvo	sang	血	basic
>>	angi	脉	pejvo	limf	淋	pejvo
=	anhel	喘	pejvo	spire	木	piv
>>	ans	柄	pejvo	teni	条虫	pejvo
>>	apelaci	上诉	pejvo	al	向	prep
>>	apendic	虫垂	pejvo	cekum	盲肠	pejvo
>>	aperitiv	开胃酒	pejvo	digest	消	basic
>>	apert	开	pejvo	mal	反	pref
=	apopleksi	卒中	pejvo	cerb	脑	basic
>>	aprez	赏	pejvo	gust	味	basic
>>	arakid	花生	pejvo	tern	喷	basic
>>	araknoid	蛛膜	pejvo	dur	硬	pejvo
>>	argil	粘土	pejvo	pot	壶	basic
>>	arkipelag	群岛	pejvo	insul	岛	basic
=	ark	弧	basic	paf	射	basic
=	ark	弧	basic	lum	光	basic
=	arkt	极	basic	nord	北	basic
=	arnik	羊菊	pejvo	mont	山	basic
>>	arom	香	pejvo	bon	良	basic
>>	artikol	文	basic	par	偶	basic
>>	astat	无定	pejvo	stat	态	basic
=	asteri	海星	pejvo	mar	海	basic
>>	atas^e	随员	pejvo	ambasad	使	basic
=	avanc	进	pejvo	ant	在	suf
=	avanc	进	pejvo	promoci	升	pejvo
>>	azale	杜鹃	pejvo	rod	啃	pejvo
=	bagag^	行李	pejvo	pak	包	basic
=	bajt	字节	pejvo	bit	位	pejvo
>>	bakalau^r	学士	pejvo	licenci	士	pejvo
>>	bakalau^r	学士	pejvo	magistr	硕	pejvo
>>	bakalau^r	学士	pejvo	abi	杉	basic
=	balzam	膏	pejvo	en	内	prep
>>	banal	庸	basic	trivial	卑	pejvo
>>	banal	庸	basic	vulgar	俗	basic
