"Esperanto","Japanese_Trans","Chinese_Trans","Unified_Level"
"Afriko","{Ｂ}【地名】アフリカ","非洲","7.33"
"Ameriko","{Ｂ}【地名】アメリカ（大陸）","美洲","7.33"
"Atlantiko","{Ｂ}【地名】大西洋, =〜a Oceano","大西洋","8.9"
"Azio","{Ｂ}【地名】アジア","亚洲","7.33"
"Aŭstralio","{Ｂ}【国名】オーストラリア（大洋州）","澳大利亚","8.9"
"Esperanto","{Ｂ}国際補助語（1887年にザメンホフが発表した人工言語）","世界语","6.83"
"Eŭropo","{Ｂ}【地名】ヨーロッパ","欧洲","7.33"
"Mediteraneo","{Ｂ}【地名】地中海（ヨーロッパ南）","地中海","8.9"
"Pacifiko","{Ｂ}【地名】太平洋, =〜a Oceano","太平洋","8.9"
"ajn","{Ｂ}［副］～であっても（無差別を示す）","无论，不管；任何","1.77"
"aŭtobuso","{Ｂ}バス","公共汽车","6.33"
"je","{Ｂ}［前］（時刻を示す場合や，他に適当な前置詞がない場合に用いる）","用于表示时刻或在无更合适介词时使用的通用介词","1.77"
"kafo","{Ｂ}【料】コーヒー; コーヒー豆, =kafgrajno","咖啡；咖啡豆","3.77"
"karto","{Ｂ}カード, （紙の）札; はがき; （トランプの）札; 地図; 【電】基板","卡片，纸札；明信片；纸牌；地图；（电）电路板","3.77"
"nilono","{Ｂ}【化】ナイロン","锦纶，尼龙","8.9"
"salato","{Ｂ}【料】サラダ; 《転》ごたまぜ","色拉，沙拉；（转）杂烩，混杂物","8.9"
"sofo","{Ｂ}ソファー, 長いす","长沙发","8.9"
"ĉokolado","{Ｂ}【菓】チョコレート; 【料】ココア（飲料）, >>〜","巧克力（糖果、饮料）","6.33"
"Biblio","{Ｏ}【キ】聖書","[专] 圣经","8.79"
"Islamo","{Ｏ}【宗】イスラム教","[专] 伊斯兰教","8.79"
"Kristo","{Ｏ}【キ】キリスト; 救世主","[专] 基督；救世主","5.67"
"Oceanio","{Ｏ}【地名】オセアニア（＝大洋州）","[地名] 大洋洲","8.79"
"baleto","{Ｏ}バレエ（舞踊）","芭蕾舞","8.79"
"brajlo","{Ｂ}点字","盲文","8.79"
"eŭro","{Ｏ}【貨】ユーロ, >>cendo","欧元","8.79"
"gitaro","{Ｏ}【楽】ギター","吉他","8.79"
"japano","{Ｏ}日本人; 日本国民","日本人","8.79"
"k.t.p.","{Ｏ}［略］「…など」（列挙の後に用いる）","等等","8.79"
"katoliko","{Ｏ}【キ】カトリック教徒","天主教徒","8.79"
"latino","{Ｂ}ラテン語; 【史】ラテン人（古代イタリアの一種族）","拉丁语；古代拉丁人","8.79"
"majonezo","{Ｏ}【料】マヨネーズ","蛋黄酱","8.79"
"mozaiko","{Ｏ}モザイク; 《転》寄せ集め; 【植】モザイク病","马赛克；（转）拼凑体；[植] 花叶病","8.79"
"taksio","{Ｏ}タクシー","出租车","8.79"
"utopio","{Ｏ}ユートピア, 理想郷","乌托邦","8.79"
"viskio","{Ｏ}【料】ウイスキー","威士忌","8.79"
"vitamino","{Ｏ}【生】ビタミン","维生素","8.79"
"ĵazo","{Ｏ}【楽】ジャズ","爵士乐","8.79"
"Pasko","{Ｂ}【キ】復活祭, イースター; 【ユ】過越（すぎこし）の祭り","复活节；逾越节","8"
"asfalto","{Ｂ}アスファルト","沥青，柏油","9"
"cigaro","{Ｂ}葉巻","雪茄","9"
"emajlo","{Ｂ}エナメル, 琺瑯（ほうろう）; 【解】（歯の）エナメル質","珐琅，搪瓷；（解）牙釉质","9"
"fi!","{Ｂ}［間］チェッ！（ふん！）","呸！（表示嫌恶，不满，轻蔑）","9"
"ha!","{Ｂ}［間］はっ！, ああ！","啊！（对突然发现的好事或坏事表示意外，惊异，吃惊）","1"
"he!","{Ｂ}［間］おい！（ねえ！）","喂！","8"
"ho!","{Ｂ}［間］おお！","嗬！啊！","1"
"kakao","{Ｂ}カカオ; ココア（粉・飲料）","可可；可可豆","9"
"ve!","{Ｂ}［間］ああ！","唉！咳！哎呀！","7"
