-a	-a	a
-as	-as	-as
-e	-e	e
-i	-i	i
-is	-is	-is
-j	-j	-j
-n	-n	-n
-o	-o	o
-os	-os	-os
-u	-u	u
-um-	-um-	-um-
-us	-us	-us
-ĉj-	-c^j-	-c^j-
Afriko	Afriko	Afrik/o
Ameriko	Ameriko	Amerik/o
Atlantiko	Atlantiko	Atlantik/o
Azio	Azio	Azi/o
Aŭstralio	Au^stralio	Au^strali/o
Esperanto	Esperanto	Esperant/o
Eŭropo	Eu^ropo	Eu^rop/o
Mediteraneo	Mediteraneo	Mediterane/o
Pacifiko	Pacifiko	Pacifik/o
ajn	ajn	ajn
aŭtobuso	au^tobuso	au^tobus/o
je	je	je
kafo	kafo	kaf/o
karto	karto	kart/o
nilono	nilono	nilon/o
salato	salato	salat/o
sofo	sofo	sof/o
ĉokolado	c^okolado	c^okolad/o
-i-	-i-	i
Biblio	Biblio	Bibli/o
Islamo	Islamo	islam/o
Kristo	Kristo	Krist/o
Oceanio	Oceanio	Oceani/o
baleto	baleto	balet/o
brajlo	brajlo	brajl/o
eŭro	eu^ro	eu^r/o
gitaro	gitaro	gitar/o
japano	japano	japan/o
k.t.p.	k.t.p.	k.t.p.
katoliko	katoliko	katolik/o
latino	latino	latin/o
majonezo	majonezo	majonez/o
mozaiko	mozaiko	mozaik/o
taksio	taksio	taksi/o
utopio	utopio	utopi/o
viskio	viskio	viski/o
vitamino	vitamino	vitamin/o
ĵazo	j^azo	j^az/o
Pasko	Pasko	Pask/o
asfalto	asfalto	asfalt/o
cigaro	cigaro	cigar/o
emajlo	emajlo	emajl/o
fi!	fi!	fi!
ha!	ha!	ha!
he!	he!	he!
ho!	ho!	ho!
kakao	kakao	kaka/o
pa/njo	pa/njo	panj/o
pa/ĉjo	pa/c^jo	pac^j/o
ve!	ve!	ve!
