kanji	root	gloss
藻	fic	【植】【PIV】Klaso (Bangiophyceae el ro
藻	bangi	【植】【PIV】G. (Genro) (Bangia el bang
藻	fuk	【植】ヒバマタ（属）
藻	ulv	【植】【PIV】G. (Genro) (Ulva el ulvaco
苔	bri	【植】【PIV】G. (Genro) (Bryum el briac
禾	gramin	【PIV】(evi (evitinda)) = gramineo.
草	psilot	【植】【PIV】G. (Genro) (Psilotum el ps
草	apocin	【植】【PIV】G. (Genro) (Apocynum el ap
草	aizo	【植】【PIV】G. (Genro) (Aizoon el aizo
草	psilofit	【植】【PIV】G. (Genro) (Psilophyton el
草	umbelifer	【植】散形科（セリ科の古称）,=apiacoj
草	asklepiad	【植】トウワタ（属）;【文】アスクレピアデス格
草	solan	【植】ナス（茄子）（属）
草	arum	【植】【PIV】G. (Genro) (Arum el arumac
草	lentibulari	【植】【PIV】(ark. (arkaismo, arkaisme)
草	borag	【植】ルリジサ
草	niktag	【植】【PIV】Alia nomo (Nyctago), nomen
木	akvifoli	【植】【PIV】1 (ark. (arkaismo, arkaism
木	magnoli	【植】モクレン（木蓮）（属）
木	evonim	【植】ニシキギ（属）
木	berberis	【植】メギ
木	fenik	【植】【PIV】G. (Genro) (Phoenix el are
木	dipterokarp	【植】【PIV】G. (Genro) (Dipterocarpus 
木	kupres	【植】【PIV】G. (Genro) (Cupressus el k
木	hipokastan	【植】【PIV】1 (ark. (arkaismo, arkaism
木	anakardi	【植】【PIV】G. (Genro) (Anacardium el 
木	simarub	【植】【PIV】(ark. (arkaismo, arkaisme)
木	burser	【植】【PIV】G. (Genro) (Bursera el bur
木	grosulari	【植】【PIV】1 (ark. (arkaismo, arkaism
木	gnet	【植】グネツム（属）
木	kluzi	【植】【PIV】G. (Genro) (Clusia el kluz
花	amarilid	【植】アマリリス
花	balzamin	【植】ホウセンカ（鳳仙花）
花	enoter	【植】マツヨイグサ（属）;月見草,宵待草（よいまちぐさ）
菊	aster	【植】シオン（紫苑）（属）
菊	lekant	【植】マーガレット,モクシュンギク（種）
椒	piper	【植】【PIV】G. (Genro) (Piper el piper
辣	kajen	【料】（粉末状の）唐辛子（とうがらし）,>>kapsiko
豆	legumen	【植】=gus^o（さや）
鱼	c^ot	【魚】カジカ（鰍）（属）
鱼	trigl	【動】【PIV】G. (Genro) (Trigla) de fis
鱼	mola	【動】【PIV】Fis^o (unuspecia g. (genro
鱼	labr	【動】【PIV】G. (Genro) (Labrus) de mar
鱼	spar	【魚】クロダイ;鯛
鱼	seran	【動】【PIV】G. (Genro) (Serranus el la
鸟	cinkl	【動】【PIV】G. (Genro) (Cinclus) de bi
鸟	alced	【動】【PIV】G (Alcedo) de birdoj el la
鸟	galbul	【鳥】キリハシ（属）
鸟	tetraon	【鳥】ライチョウ（雷鳥）（属）
鸟	au^k	【動】【PIV】G. (Genro) (Alca) de N-Atl
鸟	oriol	【鳥】コウライウグイス（高麗鶯）（属）;キガシラコウライウグイス（種
鸟	ploce	【動】【PIV】G. (Genro) (Ploceus) de bi
鸟	upup	【鳥】ヤツガシラ（戴勝）（属）
鸟	katart	【動】【PIV】G. (Genro) (Cathartes) de 
鸟	sturn	【鳥】ムクドリ（椋鳥）（属）
鸟	paru	【鳥】シジュウカラ（四十雀）（属）
鸟	ptilonorink	【動】【PIV】Au^stralia birdo (unuspeci
虫	harpal	【虫】ゴモクムシ（属）
虫	geotrup	【虫】センチコガネ（属）,=sterkoskarabo
虫	karab	【動】【PIV】G. (Genro) (Carabus) de in
虫	frigan	【動】【PIV】G. (Genro) (Phryganea) de 
虫	cerambik	【動】【PIV】G. (Genro) (Cerambyx) de i
