行	種別	語根	基礎表記	グループ順位	グループ件数	F	識別子	上付き識別子	識別子付き表記	判定根拠
1	correl	nenio	无o	1	1	2			无o	単独
2	correl	neniu	无u	1	1	2			无u	単独
3	correl	nenia	无a	1	1	1			无a	単独
4	correl	nenie	无e	1	1	2			无e	単独
5	correl	neniam	无时	1	1	1			无时	単独
6	correl	neniom	无量	1	1	2			无量	単独
7	correl	nenies	无之	1	1	2			无之	単独
8	correl	nenial	无因	1	1	1			无因	単独
9	correl	neniel	无样	1	1	1			无样	単独
10	correl	kio	何o	1	1	1			何o	単独
11	correl	kiu	何u	1	1	2			何u	単独
12	correl	kia	何a	1	1	2			何a	単独
13	correl	kie	何e	1	1	2			何e	単独
14	correl	kiam	何时	1	1	7			何时	単独
15	correl	kiom	何量	1	1	10			何量	単独
16	correl	kies	何之	1	1	1			何之	単独
17	correl	kial	何因	1	1	5			何因	単独
18	correl	kiel	何样	1	1	13			何样	単独
19	correl	ĉio	全o	1	1	14			全o	単独
20	correl	ĉiu	全u	1	1	44			全u	単独
21	correl	ĉia	全a	1	1	7			全a	単独
22	correl	ĉie	全e	1	1	5			全e	単独
23	correl	ĉiam	全时	1	1	11			全时	単独
24	correl	ĉiom	全量	1	1	3			全量	単独
25	correl	ĉies	全之	1	1	4			全之	単独
26	correl	ĉial	全因	1	1	1			全因	単独
27	correl	ĉiel	全样	1	1	26			全样	単独
28	correl	io	某o	1	1	2			某o	単独
29	correl	iu	某u	1	1	6			某u	単独
30	correl	ia	某a	1	1	4			某a	単独
31	correl	ie	某e	1	1	2			某e	単独
32	correl	iam	某时	1	1	4			某时	単独
33	correl	iom	某量	1	1	9			某量	単独
34	correl	ies	某之	1	1	1			某之	単独
35	correl	ial	某因	1	1	1			某因	単独
36	correl	iel	某样	1	1	4			某样	単独
37	correl	tio	那o	1	1	19			那o	単独
38	correl	tiu	那u	1	1	13			那u	単独
39	correl	tia	那a	1	1	6			那a	単独
40	correl	tie	那e	1	1	9			那e	単独
41	correl	tiam	那时	1	1	4			那时	単独
42	correl	tiom	那量	1	1	5			那量	単独
43	correl	ties	那之	1	1	2			那之	単独
44	correl	tial	那因	1	1	7			那因	単独
45	correl	tiel	那样	1	1	6			那样	単独
46	prep	pri	于	1	1	161			于	単独
47	prep	el	出	1	2	450			出	基本形
48	prep	po	每	1	1	26			每	単独
49	prep	inter	间	1	1	236			间	単独
50	prep	tra	穿	1	2	140			穿	基本形
51	prep	per	以	1	1	56			以	単独
52	prep	kontraŭ	对	1	4	164			对	基本形
53	prep	al	向	1	1	269			向	単独
54	prep	por	为	1	2	32			为	基本形
55	prep	ĝis	至	1	2	32			至	基本形
56	prep	post	后	1	1	107			后	単独
57	prep	pro	因	2	4	18	p	ᴾ	因ᴾ	頭文字唯一
58	prep	laŭ	按	1	1	89			按	単独
59	prep	sen	无	1	1	689			无	単独
60	prep	sub	下	1	1	231			下	単独
61	prep	ĉirkaŭ	围	1	1	71			围	単独
62	prep	ekster	外	2	2	78	e	ᴱ	外ᴱ	頭文字唯一
63	prep	sur	上	1	2	130			上	基本形
64	prep	trans	越	1	2	154			越	基本形
65	prep	ĉe	在	1	1	22			在	単独
66	prep	apud	旁	1	1	13			旁	単独
67	prep	kun	共	1	3	248			共	基本形
68	prep	malgraŭ	不顾	1	1	6			不顾	単独
69	prep	super	上	2	2	161	sp	ˢᴾ	上ˢᴾ	子音位置1
70	prep	de	从	1	1	413			从	単独
71	prep	anstataŭ	代	2	4	12	an	ᴬᴺ	代ᴬᴺ	子音位置1
72	prep	en	内	1	2	344			内	基本形
73	prep	krom	外	1	2	42			外	基本形
74	prep	da	份	1	2	15			份	基本形
75	prep	antaŭ	前	1	2	174			前	基本形
76	prep	dum	期	3	3	13	dm	ᴰᴹ	期ᴰᴹ	子音位置1
77	prep	preter	过	2	2	39	pr	ᴾᴿ	过ᴾᴿ	子音位置1
78	num	naŭ	九	1	1	11			九	単独
79	num	kvar	四	1	1	75			四	単独
80	num	mil	千	1	2	32			千	基本形
81	num	cent	百	1	1	43			百	単独
82	num	tri	三	1	1	128			三	単独
83	num	ses	六	1	1	35			六	単独
84	num	ok	八	1	1	24			八	単独
85	num	du	二	1	1	318			二	単独
86	num	unu	一	1	1	174			一	単独
87	num	dek	十	1	2	65			十	基本形
88	num	kvin	五	1	1	31			五	単独
89	num	sep	七	1	1	22			七	単独
90	suf	aĉ	劣	1	1	60			劣	単独
91	suf	an	员	1	2	543			员	基本形
92	suf	eg	巨	1	2	270			巨	基本形
93	suf	ig	使	1	5	2033			使	基本形
94	suf	ad	行	1	1	1556			行	単独
95	suf	ul	者	1	1	927			者	単独
96	suf	ebl	可	1	1	433			可	単独
97	suf	obl	倍	1	1	59			倍	単独
98	suf	log	学家	1	1	144			学家	単独
99	suf	et	小	1	2	656			小	基本形
100	suf	em	倾	1	2	438			倾	基本形
101	suf	il	具	1	3	1275			具	基本形
102	suf	end	须	1	1	15			须	単独
103	suf	iĝ	成	1	3	1514			成	基本形
104	suf	id	子	1	2	110			子	基本形
105	suf	on	分	1	5	494			分	基本形
106	suf	er	粒	1	2	88			粒	基本形
107	suf	ej	所	1	1	745			所	単独
108	suf	uj	器	1	5	415			器	基本形
109	suf	ar	群	1	1	502			群	単独
110	suf	ec	性	1	3	1191			性	基本形
111	suf	ind	值	1	3	117			值	基本形
112	suf	ing	座	1	1	64			座	単独
113	suf	estr	长	1	2	91			长	基本形
114	suf	in	女	1	2	359			女	基本形
115	suf	aĵ	物	1	2	1547			物	基本形
116	suf	ist	家	1	3	1292			家	基本形
117	suf	ism	主义	1	1	684			主义	単独
118	suf	op	组	1	3	38			组	基本形
119	pref	fi	卑	1	1	14			卑	単独
120	pref	ĉef	首	1	1	94			首	単独
121	pref	dis	散	1	3	206			散	基本形
122	pref	pra	原	1	3	66			原	基本形
123	pref	mis	误	1	1	80			误	単独
124	pref	bo	姻	1	1	21			姻	単独
125	pref	re	再	1	2	368			再	基本形
126	pref	mal	反	1	2	1359			反	基本形
127	pref	ek	始	1	2	150			始	基本形
128	pref	ge	双	1	1	53			双	単独
129	pref	eks	旧	1	1	46			旧	単独
130	cal	april	四月	1	1	4			四月	単独
131	cal	aŭgust	八月	1	1	2			八月	単独
132	cal	oktobr	十月	1	1	2			十月	単独
133	cal	vendred	周五	1	1	4			周五	単独
134	cal	januar	一月	1	1	2			一月	単独
135	cal	mard	周二	1	1	4			周二	単独
136	cal	dimanĉ	周日	1	1	5			周日	単独
137	cal	novembr	十一月	1	1	2			十一月	単独
138	cal	decembr	十二月	1	1	4			十二月	単独
139	cal	ĵaŭd	周四	1	1	3			周四	単独
140	cal	mart	三月	1	1	4			三月	単独
141	cal	sabat	周六	1	1	5			周六	単独
142	cal	septembr	九月	1	1	2			九月	単独
143	cal	merkred	周三	1	1	4			周三	単独
144	cal	maj	五月	1	1	9			五月	単独
145	cal	juli	七月	1	1	5			七月	単独
146	cal	februar	二月	1	1	2			二月	単独
147	cal	juni	六月	1	1	4			六月	単独
148	cal	lund	周一	1	1	3			周一	単独
149	func	la	该	1	1	38			该	単独
150	func	ajn	任	1	1	8			任	単独
151	func	almenaŭ	至	2	2	1	a	ᴬ	至ᴬ	頭文字唯一
152	func	ambaŭ	两	1	1	13			两	単独
153	func	ankaŭ	也	1	1	1			也	単独
154	func	ankoraŭ	还	2	2	4	a	ᴬ	还ᴬ	頭文字唯一
155	func	apenaŭ	才	3	3	3	a	ᴬ	才ᴬ	頭文字唯一
156	func	aŭ	或	1	1	5			或	単独
157	func	baldaŭ	将	1	1	4			将	単独
158	func	ĉar	因	1	4	35			因	基本形
159	func	ĉu	吗	1	1	3			吗	単独
160	func	do	故	1	1	2			故	単独
161	func	eĉ	连	1	1	2			连	単独
162	func	for	离	1	1	201			离	単独
163	func	ĝi	它	1	1	4			它	単独
164	func	hieraŭ	昨	1	1	6			昨	単独
165	func	hodiaŭ	今	1	1	5			今	単独
166	func	ili	他们	1	1	4			他们	単独
167	func	ja	确	4	4	1	j	ᴶ	确ᴶ	頭文字唯一
168	func	jam	已	1	1	5			已	単独
169	func	jen	这	1	1	4			这	単独
170	func	jes	对	4	4	7	j	ᴶ	对ᴶ	頭文字唯一
171	func	ĵus	刚	1	1	2			刚	単独
172	func	kaj	和	2	3	41	k	ᴷ	和ᴷ	頭文字唯一
173	func	ke	事	2	4	10	k	ᴷ	事ᴷ	頭文字唯一
174	func	kvankam	虽	1	1	1			虽	単独
175	func	kvazaŭ	如	1	1	23			如	単独
176	func	li	他	1	1	7			他	単独
177	func	mem	自	1	1	105			自	単独
178	func	mi	我	1	1	20			我	単独
179	func	morgaŭ	明	1	1	6			明	単独
180	func	ne	不	1	1	497			不	単独
181	func	nek	也不	1	1	1			也不	単独
182	func	ni	我们	1	1	9			我们	単独
183	func	nun	现	3	6	14	n	ᴺ	现ᴺ	頭文字唯一
184	func	nur	仅	1	1	4			仅	単独
185	func	ol	比	1	2	27			比	基本形
186	func	oni	人	3	3	8	o	ᴼ	人ᴼ	頭文字唯一
187	func	plej	最	1	2	35			最	基本形
188	func	pli	更	1	1	87			更	単独
189	func	plu	还	1	2	21			还	基本形
190	func	preskaŭ	几	1	1	3			几	単独
191	func	se	若	1	1	5			若	単独
192	func	sed	但	1	1	3			但	単独
193	func	si	己	1	3	95			己	基本形
194	func	ŝi	她	1	1	5			她	単独
195	func	tamen	却	1	1	2			却	単独
196	func	tre	很	1	1	4			很	単独
197	func	tro	太	1	1	58			太	単独
198	func	tuj	即	1	1	15			即	単独
199	func	vi	你	1	1	13			你	単独
200	func	adiaŭ	再见	1	1	5			再见	単独
201	func	he	喂	1	1	3			喂	単独
202	func	minus	减	3	4	5	m	ᴹ	减ᴹ	頭文字唯一
203	func	plus	加	1	2	8			加	基本形
204	func	bis	再	2	2	5	b	ᴮ	再ᴮ	頭文字唯一
205	content	rest	余	1	2	25			余	基本形
206	content	afer	事	1	4	24			事	基本形
207	content	ali	别	1	1	62			别	単独
208	content	alt	高	1	1	94			高	単独
209	content	am	爱	1	1	81			爱	単独
210	content	amik	友	1	1	40			友	単独
211	content	bel	美	1	1	61			美	単独
212	content	bon	良	1	1	152			良	単独
213	content	ĉambr	室	1	1	68			室	単独
214	content	demand	问	1	3	26			问	基本形
215	content	dev	应	1	1	39			应	単独
216	content	dezir	欲	1	2	16			欲	基本形
217	content	dir	说	1	1	44			说	単独
218	content	don	给	1	1	112			给	単独
219	content	est	是	1	1	51			是	単独
220	content	facil	易	1	1	34			易	単独
221	content	far	做	1	1	104			做	単独
222	content	feliĉ	幸	1	1	20			幸	単独
223	content	fin	终	1	1	50			终	単独
224	content	flank	侧	1	1	83			侧	単独
225	content	foj	次	1	1	38			次	単独
226	content	form	形	1	4	223			形	基本形
227	content	fort	强	1	3	121			强	基本形
228	content	ĝoj	喜	1	2	25			喜	基本形
229	content	grand	大	1	2	105			大	基本形
230	content	grav	重	2	3	19	g	ᴳ	重ᴳ	頭文字唯一
231	content	hav	有	1	2	79			有	基本形
232	content	help	助	1	1	53			助	単独
233	content	hom	人	1	3	90			人	基本形
234	content	infan	童	1	2	59			童	基本形
235	content	ir	往	1	1	138			往	単独
236	content	jar	年	1	1	119			年	単独
237	content	jun	幼	1	1	41			幼	単独
238	content	kamp	田	1	1	66			田	単独
239	content	kap	头	1	1	103			头	単独
240	content	kelk	些	1	1	22			些	単独
241	content	klar	清	1	2	48			清	基本形
242	content	komenc	始	2	2	24	k	ᴷ	始ᴷ	頭文字唯一
243	content	kompren	解	1	2	35			解	基本形
244	content	kon	认	1	2	44			认	基本形
245	content	kor	心	1	3	62			心	基本形
246	content	kred	信	1	5	49			信	基本形
247	content	labor	劳	1	1	175			劳	単独
248	content	land	国	1	3	114			国	基本形
249	content	last	末	1	1	25			末	単独
250	content	leg	读	1	1	46			读	単独
251	content	lern	学	1	4	78			学	基本形
252	content	lev	举	1	2	44			举	基本形
253	content	liber	自由	1	1	93			自由	単独
254	content	loĝ	住	1	1	42			住	単独
255	content	lok	处	1	2	77			处	基本形
256	content	long	长	2	2	82	l	ᴸ	长ᴸ	頭文字唯一
257	content	man	手	1	1	80			手	単独
258	content	met	置	1	1	75			置	単独
259	content	milit	战	1	2	92			战	基本形
260	content	mond	界	2	3	63	m	ᴹ	界ᴹ	頭文字唯一
261	content	montr	示	1	3	36			示	基本形
262	content	mort	死	1	1	100			死	単独
263	content	mov	动	1	6	100			动	基本形
264	content	mult	多	1	2	92			多	基本形
265	content	naci	族	1	3	94			族	基本形
266	content	nom	名	1	3	80			名	基本形
267	content	nov	新	1	2	104			新	基本形
