序号	字	Unicode	画数
0001	一	U+4E00	1
0002	乙	U+4E59	1
0003	二	U+4E8C	2
0004	十	U+5341	2
0005	丁	U+4E01	2
0006	厂	U+5382	2
0007	七	U+4E03	2
0008	卜	U+535C	2
0009	八	U+516B	2
0010	人	U+4EBA	2
0011	入	U+5165	2
0012	儿	U+513F	2
0013	匕	U+5315	2
0014	几	U+51E0	2
0015	九	U+4E5D	2
0016	刁	U+5201	2
0017	了	U+4E86	2
0018	刀	U+5200	2
0019	力	U+529B	2
0020	乃	U+4E43	2
0021	又	U+53C8	2
0022	三	U+4E09	3
0023	干	U+5E72	3
0024	于	U+4E8E	3
0025	亏	U+4E8F	3
0026	工	U+5DE5	3
0027	土	U+571F	3
0028	士	U+58EB	3
0029	才	U+624D	3
0030	下	U+4E0B	3
0031	寸	U+5BF8	3
0032	大	U+5927	3
0033	丈	U+4E08	3
0034	与	U+4E0E	3
0035	万	U+4E07	3
0036	上	U+4E0A	3
0037	小	U+5C0F	3
0038	口	U+53E3	3
0039	山	U+5C71	3
0040	巾	U+5DFE	3
0041	千	U+5343	3
0042	乞	U+4E5E	3
0043	川	U+5DDD	3
0044	亿	U+4EBF	3
0045	个	U+4E2A	3
0046	夕	U+5915	3
0047	久	U+4E45	3
0048	么	U+4E48	3
0049	勺	U+52FA	3
0050	凡	U+51E1	3
0051	丸	U+4E38	3
0052	及	U+53CA	3
0053	广	U+5E7F	3
0054	亡	U+4EA1	3
0055	门	U+95E8	3
0056	丫	U+4E2B	3
0057	义	U+4E49	3
0058	之	U+4E4B	3
0059	尸	U+5C38	3
0060	己	U+5DF1	3
0061	已	U+5DF2	3
0062	巳	U+5DF3	3
0063	弓	U+5F13	3
0064	子	U+5B50	3
0065	卫	U+536B	3
0066	也	U+4E5F	3
0067	女	U+5973	3
0068	刃	U+5203	3
0069	飞	U+98DE	3
0070	习	U+4E60	3
0071	叉	U+53C9	3
0072	马	U+9A6C	3
0073	乡	U+4E61	3
0074	丰	U+4E30	4
0075	王	U+738B	4
0076	开	U+5F00	4
0077	井	U+4E95	4
0078	天	U+5929	4
0079	夫	U+592B	4
0080	元	U+5143	4
0081	无	U+65E0	4
