序号	字	Unicode	画数
3501	乂	U+4E42	2
3502	乜	U+4E5C	2
3503	兀	U+5140	3
3504	弋	U+5F0B	3
3505	孑	U+5B51	3
3506	孓	U+5B53	3
3507	幺	U+5E7A	3
3508	亓	U+4E93	4
3509	韦	U+97E6	4
3510	廿	U+5EFF	4
3511	丏	U+4E0F	4
3512	卅	U+5345	4
3513	仄	U+4EC4	4
3514	厄	U+5384	4
3515	仃	U+4EC3	4
3516	仉	U+4EC9	4
3517	仂	U+4EC2	4
3518	兮	U+516E	4
3519	刈	U+5208	4
3520	爻	U+723B	4
3521	卞	U+535E	4
3522	闩	U+95E9	4
3523	讣	U+8BA3	4
3524	尹	U+5C39	4
3525	夬	U+592C	4
3526	爿	U+723F	4
3527	毋	U+6BCB	4
3528	邗	U+9097	5
3529	邛	U+909B	5
3530	艽	U+827D	5
3531	艿	U+827F	5
3532	札	U+672D	5
3533	叵	U+53F5	5
3534	匝	U+531D	5
3535	丕	U+4E15	5
3536	匜	U+531C	5
3537	劢	U+52A2	5
3538	卟	U+535F	5
3539	叱	U+53F1	5
3540	叻	U+53FB	5
3541	仨	U+4EE8	5
3542	仕	U+4ED5	5
3543	仟	U+4EDF	5
3544	仡	U+4EE1	5
3545	仫	U+4EEB	5
3546	仞	U+4EDE	5
3547	卮	U+536E	5
3548	氐	U+6C10	5
3549	犰	U+72B0	5
3550	刍	U+520D	5
3551	邝	U+909D	5
3552	邙	U+9099	5
3553	汀	U+6C40	5
3554	讦	U+8BA6	5
3555	讧	U+8BA7	5
3556	讪	U+8BAA	5
3557	讫	U+8BAB	5
3558	尻	U+5C3B	5
3559	阡	U+9621	5
3560	尕	U+5C15	5
3561	弁	U+5F01	5
3562	驭	U+9A6D	5
3563	匡	U+5321	6
3564	耒	U+8012	6
3565	玎	U+738E	6
3566	玑	U+7391	6
3567	邢	U+90A2	6
3568	圩	U+5729	6
3569	圬	U+572C	6
3570	圭	U+572D	6
3571	扦	U+6266	6
3572	圪	U+572A	6
3573	圳	U+5733	6
3574	圹	U+5739	6
3575	扪	U+626A	6
3576	圮	U+572E	6
3577	圯	U+572F	6
3578	芊	U+828A	6
3579	芍	U+828D	6
3580	芄	U+8284	6
3581	芨	U+82A8	6
3582	芑	U+8291	6
3583	芎	U+828E	6
3584	芗	U+8297	6
3585	亘	U+4E98	6
3586	厍	U+538D	6
3587	夼	U+593C	6
3588	戍	U+620D	6
3589	尥	U+5C25	6
3590	乩	U+4E69	6
3591	旯	U+65EF	6
3592	曳	U+66F3	6
3593	岌	U+5C8C	6
3594	屺	U+5C7A	6
3595	凼	U+51FC	6
3596	囡	U+56E1	6
3597	钇	U+9487	6
3598	缶	U+7F36	6
3599	氘	U+6C18	6
3600	氖	U+6C16	6
3601	牝	U+725D	6
3602	伎	U+4F0E	6
3603	伛	U+4F1B	6
3604	伢	U+4F22	6
3605	佤	U+4F64	6
3606	仵	U+4EF5	6
3607	伥	U+4F25	6
3608	伧	U+4F27	6
3609	伉	U+4F09	6
3610	伫	U+4F2B	6
3611	囟	U+56DF	6
3612	汆	U+6C46	6
3613	刖	U+5216	6
3614	夙	U+5919	6
3615	旮	U+65EE	6
3616	刎	U+520E	6
3617	犷	U+72B7	6
3618	犸	U+72B8	6
3619	舛	U+821B	6
3620	凫	U+51EB	6
3621	邬	U+90AC	6
3622	饧	U+9967	6
3623	汕	U+6C55	6
3624	汔	U+6C54	6
3625	汐	U+6C50	6
3626	汲	U+6C72	6
3627	汜	U+6C5C	6
3628	汊	U+6C4A	6
3629	忖	U+5FD6	6
3630	忏	U+5FCF	6
3631	讴	U+8BB4	6
3632	讵	U+8BB5	6
3633	祁	U+7941	6
3634	讷	U+8BB7	6
3635	聿	U+807F	6
3636	艮	U+826E	6
3637	厾	U+53BE	6
3638	阱	U+9631	6
3639	阮	U+962E	6
3640	阪	U+962A	6
3641	丞	U+4E1E	6
3642	妁	U+5981	6
3643	牟	U+725F	6
3644	纡	U+7EA1	6
3645	纣	U+7EA3	6
3646	纥	U+7EA5	6
3647	纨	U+7EA8	6
3648	玕	U+7395	7
3649	玙	U+7399	7
3650	抟	U+629F	7
3651	抔	U+6294	7
3652	圻	U+573B	7
3653	坂	U+5742	7
3654	坍	U+574D	7
3655	坞	U+575E	7
3656	抃	U+6283	7
3657	抉	U+6289	7
3658	㧐	U+39D0	7
3659	芫	U+82AB	7
3660	邯	U+90AF	7
3661	芸	U+82B8	7
3662	芾	U+82BE	7
3663	苈	U+82C8	7
3664	苣	U+82E3	7
3665	芷	U+82B7	7
3666	芮	U+82AE	7
3667	苋	U+82CB	7
3668	芼	U+82BC	7
3669	苌	U+82CC	7
3670	苁	U+82C1	7
3671	芩	U+82A9	7
3672	芪	U+82AA	7
3673	芡	U+82A1	7
3674	芟	U+829F	7
3675	苄	U+82C4	7
3676	苎	U+82CE	7
3677	苡	U+82E1	7
3678	杌	U+674C	7
3679	杓	U+6753	7
3680	杞	U+675E	7
3681	杈	U+6748	7
3682	忑	U+5FD1	7
3683	孛	U+5B5B	7
3684	邴	U+90B4	7
3685	邳	U+90B3	7
3686	矶	U+77F6	7
3687	奁	U+5941	7
3688	豕	U+8C55	7
3689	忒	U+5FD2	7
3690	欤	U+6B24	7
3691	轫	U+8F6B	7
3692	迓	U+8FD3	7
3693	邶	U+90B6	7
3694	忐	U+5FD0	7
3695	卣	U+5363	7
3696	邺	U+90BA	7
3697	旰	U+65F0	7
3698	呋	U+544B	7
3699	呒	U+5452	7
3700	呓	U+5453	7
3701	呔	U+5454	7
3702	呖	U+5456	7
